TEAM_ABB,PERIOD,MIN,SEC,ELAPSED TIME
MIN,4.0,4.0,28.0,42.35
SAC,4.0,3.0,32.0,40.04166666666667
ORL,4.0,3.0,21.0,39.71666666666667
OKC,4.0,6.0,16.0,38.86666666666667
SAS,3.0,5.0,31.0,34.416666666666664
BKN,3.0,5.5,31.0,32.43333333333334
CHA,3.0,4.0,20.0,32.18333333333333
CLE,3.0,4.0,27.0,31.383333333333333
LAL,3.0,5.0,22.5,31.1
MEM,3.0,4.0,30.0,30.516666666666666
TOR,3.0,6.0,29.0,30.066666666666666
MIA,3.0,5.0,25.0,29.95
WAS,3.0,4.0,24.5,29.866666666666667
POR,3.0,5.0,26.5,29.025
IND,3.0,5.0,34.0,28.941666666666666
NOP,3.0,3.0,35.0,28.833333333333332
NYK,3.0,3.5,30.0,28.175
HOU,3.0,4.0,14.5,25.891666666666666
BOS,3.0,6.0,19.0,25.85
ATL,3.0,6.5,23.5,25.200000000000003
PHX,2.5,3.5,33.0,24.833333333333336
DET,2.0,5.0,28.0,23.1
GSW,2.5,6.0,29.0,22.383333333333333
DAL,2.0,5.0,29.0,22.34166666666667
LAC,2.0,6.0,21.0,21.8
PHI,2.0,4.0,25.0,19.716666666666665
DEN,2.0,5.0,30.5,19.425
CHI,2.0,4.0,35.0,19.25
MIL,2.0,6.0,33.0,15.1
UTA,1.5,7.0,31.0,11.808333333333334
