,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0052100101,19,203083,Andre Drummond,1610612751,Brooklyn Nets,1,10,35,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,13,1,1,20220412,BKN,CLE
1,Shot Chart Detail,0052100101,42,203083,Andre Drummond,1610612751,Brooklyn Nets,1,8,48,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,8,1,0,20220412,BKN,CLE
2,Shot Chart Detail,0052100101,46,203083,Andre Drummond,1610612751,Brooklyn Nets,1,8,21,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-1,21,1,0,20220412,BKN,CLE
3,Shot Chart Detail,0052100101,48,203083,Andre Drummond,1610612751,Brooklyn Nets,1,8,17,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20220412,BKN,CLE
4,Shot Chart Detail,0052100101,64,203083,Andre Drummond,1610612751,Brooklyn Nets,1,6,52,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,1,1,1,20220412,BKN,CLE
5,Shot Chart Detail,0052100101,333,203083,Andre Drummond,1610612751,Brooklyn Nets,3,11,1,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-11,19,1,1,20220412,BKN,CLE
6,Shot Chart Detail,0052100101,336,203083,Andre Drummond,1610612751,Brooklyn Nets,3,10,31,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,-1,1,1,20220412,BKN,CLE
7,Shot Chart Detail,0052100101,342,203083,Andre Drummond,1610612751,Brooklyn Nets,3,10,6,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20220412,BKN,CLE
8,Shot Chart Detail,0052100101,351,203083,Andre Drummond,1610612751,Brooklyn Nets,3,9,33,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-34,-2,1,0,20220412,BKN,CLE
9,Shot Chart Detail,0052100101,372,203083,Andre Drummond,1610612751,Brooklyn Nets,3,8,19,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,26,-2,1,1,20220412,BKN,CLE
10,Shot Chart Detail,0052100101,400,203083,Andre Drummond,1610612751,Brooklyn Nets,3,6,20,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,3,1,1,20220412,BKN,CLE
