,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0052100131,27,1627742,Brandon Ingram,1610612740,New Orleans Pelicans,1,9,36,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,4,159,1,0,20220413,NOP,SAS
1,Shot Chart Detail,0052100131,35,1627742,Brandon Ingram,1610612740,New Orleans Pelicans,1,9,18,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,-114,149,1,1,20220413,NOP,SAS
2,Shot Chart Detail,0052100131,46,1627742,Brandon Ingram,1610612740,New Orleans Pelicans,1,8,21,Missed Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-176,185,1,0,20220413,NOP,SAS
3,Shot Chart Detail,0052100131,59,1627742,Brandon Ingram,1610612740,New Orleans Pelicans,1,7,8,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,21,5,1,0,20220413,NOP,SAS
4,Shot Chart Detail,0052100131,73,1627742,Brandon Ingram,1610612740,New Orleans Pelicans,1,6,33,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-7,15,1,1,20220413,NOP,SAS
5,Shot Chart Detail,0052100131,77,1627742,Brandon Ingram,1610612740,New Orleans Pelicans,1,6,4,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,-131,0,1,0,20220413,NOP,SAS
6,Shot Chart Detail,0052100131,81,1627742,Brandon Ingram,1610612740,New Orleans Pelicans,1,5,35,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-7,25,1,1,20220413,NOP,SAS
7,Shot Chart Detail,0052100131,110,1627742,Brandon Ingram,1610612740,New Orleans Pelicans,1,3,11,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,-20,193,1,0,20220413,NOP,SAS
8,Shot Chart Detail,0052100131,119,1627742,Brandon Ingram,1610612740,New Orleans Pelicans,1,2,50,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,-118,-1,1,1,20220413,NOP,SAS
9,Shot Chart Detail,0052100131,207,1627742,Brandon Ingram,1610612740,New Orleans Pelicans,2,8,8,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,-99,21,1,1,20220413,NOP,SAS
