,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0052100131,9,203468,CJ McCollum,1610612740,New Orleans Pelicans,1,11,38,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,12,1,1,20220413,NOP,SAS
1,Shot Chart Detail,0052100131,17,203468,CJ McCollum,1610612740,New Orleans Pelicans,1,10,40,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,-125,71,1,0,20220413,NOP,SAS
2,Shot Chart Detail,0052100131,54,203468,CJ McCollum,1610612740,New Orleans Pelicans,1,7,41,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-153,202,1,0,20220413,NOP,SAS
3,Shot Chart Detail,0052100131,87,203468,CJ McCollum,1610612740,New Orleans Pelicans,1,4,58,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,16,15,1,1,20220413,NOP,SAS
4,Shot Chart Detail,0052100131,139,203468,CJ McCollum,1610612740,New Orleans Pelicans,1,0,57,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,10,18,1,1,20220413,NOP,SAS
5,Shot Chart Detail,0052100131,164,203468,CJ McCollum,1610612740,New Orleans Pelicans,2,11,14,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-7,184,1,1,20220413,NOP,SAS
6,Shot Chart Detail,0052100131,167,203468,CJ McCollum,1610612740,New Orleans Pelicans,2,10,48,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,21,51,206,1,1,20220413,NOP,SAS
7,Shot Chart Detail,0052100131,183,203468,CJ McCollum,1610612740,New Orleans Pelicans,2,9,15,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,9,-56,79,1,1,20220413,NOP,SAS
8,Shot Chart Detail,0052100131,266,203468,CJ McCollum,1610612740,New Orleans Pelicans,2,3,12,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-113,228,1,1,20220413,NOP,SAS
9,Shot Chart Detail,0052100131,289,203468,CJ McCollum,1610612740,New Orleans Pelicans,2,1,27,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-15,7,1,1,20220413,NOP,SAS
10,Shot Chart Detail,0052100131,293,203468,CJ McCollum,1610612740,New Orleans Pelicans,2,0,57,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-119,232,1,1,20220413,NOP,SAS
11,Shot Chart Detail,0052100131,299,203468,CJ McCollum,1610612740,New Orleans Pelicans,2,0,11,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,4,1,1,20220413,NOP,SAS
12,Shot Chart Detail,0052100131,320,203468,CJ McCollum,1610612740,New Orleans Pelicans,3,11,21,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,47,10,1,0,20220413,NOP,SAS
13,Shot Chart Detail,0052100131,362,203468,CJ McCollum,1610612740,New Orleans Pelicans,3,7,59,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,15,69,135,1,1,20220413,NOP,SAS
14,Shot Chart Detail,0052100131,370,203468,CJ McCollum,1610612740,New Orleans Pelicans,3,7,32,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,-98,0,1,0,20220413,NOP,SAS
15,Shot Chart Detail,0052100131,388,203468,CJ McCollum,1610612740,New Orleans Pelicans,3,5,25,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,-162,119,1,0,20220413,NOP,SAS
16,Shot Chart Detail,0052100131,427,203468,CJ McCollum,1610612740,New Orleans Pelicans,3,2,44,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,5,79,1,0,20220413,NOP,SAS
17,Shot Chart Detail,0052100131,449,203468,CJ McCollum,1610612740,New Orleans Pelicans,3,1,56,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-86,237,1,0,20220413,NOP,SAS
18,Shot Chart Detail,0052100131,464,203468,CJ McCollum,1610612740,New Orleans Pelicans,3,0,49,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,136,215,1,1,20220413,NOP,SAS
19,Shot Chart Detail,0052100131,467,203468,CJ McCollum,1610612740,New Orleans Pelicans,3,0,16,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-42,26,1,0,20220413,NOP,SAS
20,Shot Chart Detail,0052100131,557,203468,CJ McCollum,1610612740,New Orleans Pelicans,4,6,28,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,10,176,1,0,20220413,NOP,SAS
21,Shot Chart Detail,0052100131,593,203468,CJ McCollum,1610612740,New Orleans Pelicans,4,2,41,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-1,40,1,0,20220413,NOP,SAS
22,Shot Chart Detail,0052100131,599,203468,CJ McCollum,1610612740,New Orleans Pelicans,4,2,8,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,-74,34,1,0,20220413,NOP,SAS
23,Shot Chart Detail,0052100211,7,203468,CJ McCollum,1610612740,New Orleans Pelicans,1,11,40,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,-50,130,1,0,20220415,LAC,NOP
24,Shot Chart Detail,0052100211,19,203468,CJ McCollum,1610612740,New Orleans Pelicans,1,10,6,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,175,203,1,0,20220415,LAC,NOP
25,Shot Chart Detail,0052100211,32,203468,CJ McCollum,1610612740,New Orleans Pelicans,1,8,50,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,-32,174,1,1,20220415,LAC,NOP
26,Shot Chart Detail,0052100211,48,203468,CJ McCollum,1610612740,New Orleans Pelicans,1,6,48,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,167,84,1,1,20220415,LAC,NOP
