,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0052100101,24,1627747,Caris LeVert,1610612739,Cleveland Cavaliers,1,9,51,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-50,48,1,0,20220412,BKN,CLE
1,Shot Chart Detail,0052100101,49,1627747,Caris LeVert,1610612739,Cleveland Cavaliers,1,8,5,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,9,-71,63,1,1,20220412,BKN,CLE
2,Shot Chart Detail,0052100101,70,1627747,Caris LeVert,1610612739,Cleveland Cavaliers,1,6,36,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-118,222,1,0,20220412,BKN,CLE
3,Shot Chart Detail,0052100101,105,1627747,Caris LeVert,1610612739,Cleveland Cavaliers,1,3,58,Missed Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,6,1,0,20220412,BKN,CLE
4,Shot Chart Detail,0052100101,184,1627747,Caris LeVert,1610612739,Cleveland Cavaliers,2,9,55,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-40,34,1,0,20220412,BKN,CLE
5,Shot Chart Detail,0052100101,210,1627747,Caris LeVert,1610612739,Cleveland Cavaliers,2,8,33,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-15,93,1,0,20220412,BKN,CLE
6,Shot Chart Detail,0052100101,214,1627747,Caris LeVert,1610612739,Cleveland Cavaliers,2,7,59,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-31,10,1,0,20220412,BKN,CLE
7,Shot Chart Detail,0052100101,216,1627747,Caris LeVert,1610612739,Cleveland Cavaliers,2,7,55,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-15,9,1,0,20220412,BKN,CLE
8,Shot Chart Detail,0052100101,245,1627747,Caris LeVert,1610612739,Cleveland Cavaliers,2,5,38,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,-70,56,1,0,20220412,BKN,CLE
9,Shot Chart Detail,0052100101,374,1627747,Caris LeVert,1610612739,Cleveland Cavaliers,3,8,6,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,227,21,1,1,20220412,BKN,CLE
