,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0052100111,24,201568,Danilo Gallinari,1610612737,Atlanta Hawks,1,9,55,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,123,137,1,1,20220413,ATL,CHA
1,Shot Chart Detail,0052100111,242,201568,Danilo Gallinari,1610612737,Atlanta Hawks,2,8,0,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-223,65,1,0,20220413,ATL,CHA
2,Shot Chart Detail,0052100111,286,201568,Danilo Gallinari,1610612737,Atlanta Hawks,2,5,35,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,152,220,1,0,20220413,ATL,CHA
3,Shot Chart Detail,0052100111,298,201568,Danilo Gallinari,1610612737,Atlanta Hawks,2,4,50,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,-232,75,1,1,20220413,ATL,CHA
4,Shot Chart Detail,0052100111,306,201568,Danilo Gallinari,1610612737,Atlanta Hawks,2,4,17,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,15,1,1,20220413,ATL,CHA
5,Shot Chart Detail,0052100111,316,201568,Danilo Gallinari,1610612737,Atlanta Hawks,2,3,14,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,170,191,1,1,20220413,ATL,CHA
6,Shot Chart Detail,0052100111,331,201568,Danilo Gallinari,1610612737,Atlanta Hawks,2,1,27,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,97,155,1,0,20220413,ATL,CHA
7,Shot Chart Detail,0052100111,337,201568,Danilo Gallinari,1610612737,Atlanta Hawks,2,1,8,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20220413,ATL,CHA
8,Shot Chart Detail,0052100111,546,201568,Danilo Gallinari,1610612737,Atlanta Hawks,4,10,39,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,0,1,0,20220413,ATL,CHA
9,Shot Chart Detail,0052100111,572,201568,Danilo Gallinari,1610612737,Atlanta Hawks,4,8,42,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,-148,89,1,1,20220413,ATL,CHA
10,Shot Chart Detail,0052100111,627,201568,Danilo Gallinari,1610612737,Atlanta Hawks,4,5,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-112,230,1,0,20220413,ATL,CHA
11,Shot Chart Detail,0052100111,645,201568,Danilo Gallinari,1610612737,Atlanta Hawks,4,3,59,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,94,53,1,1,20220413,ATL,CHA
12,Shot Chart Detail,0052100201,40,201568,Danilo Gallinari,1610612737,Atlanta Hawks,1,8,50,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20220415,CLE,ATL
13,Shot Chart Detail,0052100201,46,201568,Danilo Gallinari,1610612737,Atlanta Hawks,1,7,37,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,12,26,1,0,20220415,CLE,ATL
14,Shot Chart Detail,0052100201,60,201568,Danilo Gallinari,1610612737,Atlanta Hawks,1,6,45,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-230,22,1,0,20220415,CLE,ATL
15,Shot Chart Detail,0052100201,135,201568,Danilo Gallinari,1610612737,Atlanta Hawks,1,0,44,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,118,220,1,1,20220415,CLE,ATL
16,Shot Chart Detail,0052100201,156,201568,Danilo Gallinari,1610612737,Atlanta Hawks,2,11,45,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,-120,101,1,0,20220415,CLE,ATL
17,Shot Chart Detail,0052100201,160,201568,Danilo Gallinari,1610612737,Atlanta Hawks,2,11,14,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,159,193,1,0,20220415,CLE,ATL
18,Shot Chart Detail,0052100201,175,201568,Danilo Gallinari,1610612737,Atlanta Hawks,2,9,46,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-5,101,1,1,20220415,CLE,ATL
19,Shot Chart Detail,0052100201,182,201568,Danilo Gallinari,1610612737,Atlanta Hawks,2,8,55,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,109,1,1,1,20220415,CLE,ATL
20,Shot Chart Detail,0052100201,213,201568,Danilo Gallinari,1610612737,Atlanta Hawks,2,7,10,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-188,192,1,0,20220415,CLE,ATL
21,Shot Chart Detail,0052100201,437,201568,Danilo Gallinari,1610612737,Atlanta Hawks,3,3,2,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,29,-141,256,1,1,20220415,CLE,ATL
22,Shot Chart Detail,0052100201,490,201568,Danilo Gallinari,1610612737,Atlanta Hawks,4,10,6,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,-48,123,1,0,20220415,CLE,ATL
23,Shot Chart Detail,0052100201,548,201568,Danilo Gallinari,1610612737,Atlanta Hawks,4,5,9,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,134,6,1,0,20220415,CLE,ATL
24,Shot Chart Detail,0052100201,569,201568,Danilo Gallinari,1610612737,Atlanta Hawks,4,3,5,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,232,1,1,0,20220415,CLE,ATL
