,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0052100111,9,1629631,De'Andre Hunter,1610612737,Atlanta Hawks,1,11,21,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,127,23,1,0,20220413,ATL,CHA
1,Shot Chart Detail,0052100111,30,1629631,De'Andre Hunter,1610612737,Atlanta Hawks,1,9,20,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,97,153,1,0,20220413,ATL,CHA
2,Shot Chart Detail,0052100111,55,1629631,De'Andre Hunter,1610612737,Atlanta Hawks,1,7,26,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,22,253,1,1,20220413,ATL,CHA
3,Shot Chart Detail,0052100111,88,1629631,De'Andre Hunter,1610612737,Atlanta Hawks,1,5,34,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-17,26,1,0,20220413,ATL,CHA
4,Shot Chart Detail,0052100111,276,1629631,De'Andre Hunter,1610612737,Atlanta Hawks,2,6,4,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,22,26,1,0,20220413,ATL,CHA
5,Shot Chart Detail,0052100111,320,1629631,De'Andre Hunter,1610612737,Atlanta Hawks,2,2,47,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,228,-5,1,0,20220413,ATL,CHA
6,Shot Chart Detail,0052100111,377,1629631,De'Andre Hunter,1610612737,Atlanta Hawks,3,10,35,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,3,1,1,20220413,ATL,CHA
7,Shot Chart Detail,0052100111,388,1629631,De'Andre Hunter,1610612737,Atlanta Hawks,3,9,38,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,-6,1,1,20220413,ATL,CHA
8,Shot Chart Detail,0052100111,395,1629631,De'Andre Hunter,1610612737,Atlanta Hawks,3,9,16,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,99,162,1,0,20220413,ATL,CHA
9,Shot Chart Detail,0052100111,415,1629631,De'Andre Hunter,1610612737,Atlanta Hawks,3,7,36,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-43,21,1,1,20220413,ATL,CHA
10,Shot Chart Detail,0052100111,426,1629631,De'Andre Hunter,1610612737,Atlanta Hawks,3,7,9,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-10,21,1,1,20220413,ATL,CHA
11,Shot Chart Detail,0052100111,434,1629631,De'Andre Hunter,1610612737,Atlanta Hawks,3,6,46,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,4,1,1,20220413,ATL,CHA
12,Shot Chart Detail,0052100111,441,1629631,De'Andre Hunter,1610612737,Atlanta Hawks,3,6,4,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-20,37,1,1,20220413,ATL,CHA
13,Shot Chart Detail,0052100111,453,1629631,De'Andre Hunter,1610612737,Atlanta Hawks,3,4,50,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,233,20,1,1,20220413,ATL,CHA
14,Shot Chart Detail,0052100111,593,1629631,De'Andre Hunter,1610612737,Atlanta Hawks,4,7,23,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,92,-2,1,0,20220413,ATL,CHA
15,Shot Chart Detail,0052100111,606,1629631,De'Andre Hunter,1610612737,Atlanta Hawks,4,6,39,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,10,1,1,20220413,ATL,CHA
16,Shot Chart Detail,0052100201,25,1629631,De'Andre Hunter,1610612737,Atlanta Hawks,1,9,54,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,-167,219,1,0,20220415,CLE,ATL
17,Shot Chart Detail,0052100201,34,1629631,De'Andre Hunter,1610612737,Atlanta Hawks,1,9,20,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,-241,25,1,0,20220415,CLE,ATL
18,Shot Chart Detail,0052100201,38,1629631,De'Andre Hunter,1610612737,Atlanta Hawks,1,8,51,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,4,1,0,20220415,CLE,ATL
19,Shot Chart Detail,0052100201,62,1629631,De'Andre Hunter,1610612737,Atlanta Hawks,1,6,36,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-65,0,1,1,20220415,CLE,ATL
20,Shot Chart Detail,0052100201,74,1629631,De'Andre Hunter,1610612737,Atlanta Hawks,1,4,41,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,5,1,1,20220415,CLE,ATL
21,Shot Chart Detail,0052100201,116,1629631,De'Andre Hunter,1610612737,Atlanta Hawks,1,2,12,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-152,211,1,0,20220415,CLE,ATL
22,Shot Chart Detail,0052100201,256,1629631,De'Andre Hunter,1610612737,Atlanta Hawks,2,4,3,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,153,195,1,0,20220415,CLE,ATL
23,Shot Chart Detail,0052100201,267,1629631,De'Andre Hunter,1610612737,Atlanta Hawks,2,3,8,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,5,13,1,0,20220415,CLE,ATL
24,Shot Chart Detail,0052100201,343,1629631,De'Andre Hunter,1610612737,Atlanta Hawks,3,9,52,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,-110,112,1,1,20220415,CLE,ATL
25,Shot Chart Detail,0052100201,375,1629631,De'Andre Hunter,1610612737,Atlanta Hawks,3,8,2,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,4,1,1,20220415,CLE,ATL
26,Shot Chart Detail,0052100201,383,1629631,De'Andre Hunter,1610612737,Atlanta Hawks,3,6,59,Missed Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,-1,1,0,20220415,CLE,ATL
27,Shot Chart Detail,0052100201,398,1629631,De'Andre Hunter,1610612737,Atlanta Hawks,3,5,46,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-11,63,1,0,20220415,CLE,ATL
28,Shot Chart Detail,0052100201,419,1629631,De'Andre Hunter,1610612737,Atlanta Hawks,3,4,17,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-126,233,1,0,20220415,CLE,ATL
29,Shot Chart Detail,0052100201,425,1629631,De'Andre Hunter,1610612737,Atlanta Hawks,3,3,34,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,7,1,1,20220415,CLE,ATL
