,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0052100131,16,1627749,Dejounte Murray,1610612759,San Antonio Spurs,1,10,50,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-26,3,1,1,20220413,NOP,SAS
1,Shot Chart Detail,0052100131,33,1627749,Dejounte Murray,1610612759,San Antonio Spurs,1,9,26,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,18,9,1,0,20220413,NOP,SAS
2,Shot Chart Detail,0052100131,79,1627749,Dejounte Murray,1610612759,San Antonio Spurs,1,5,54,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,34,252,1,0,20220413,NOP,SAS
3,Shot Chart Detail,0052100131,152,1627749,Dejounte Murray,1610612759,San Antonio Spurs,1,0,8,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,-89,142,1,0,20220413,NOP,SAS
4,Shot Chart Detail,0052100131,165,1627749,Dejounte Murray,1610612759,San Antonio Spurs,2,11,0,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,26,4,1,0,20220413,NOP,SAS
5,Shot Chart Detail,0052100131,318,1627749,Dejounte Murray,1610612759,San Antonio Spurs,3,11,33,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-71,17,1,0,20220413,NOP,SAS
6,Shot Chart Detail,0052100131,331,1627749,Dejounte Murray,1610612759,San Antonio Spurs,3,10,22,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,13,1,1,20220413,NOP,SAS
7,Shot Chart Detail,0052100131,345,1627749,Dejounte Murray,1610612759,San Antonio Spurs,3,9,30,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-129,230,1,0,20220413,NOP,SAS
8,Shot Chart Detail,0052100131,373,1627749,Dejounte Murray,1610612759,San Antonio Spurs,3,7,12,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,2,59,1,1,20220413,NOP,SAS
9,Shot Chart Detail,0052100131,387,1627749,Dejounte Murray,1610612759,San Antonio Spurs,3,5,41,Made Shot,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-36,-3,1,1,20220413,NOP,SAS
10,Shot Chart Detail,0052100131,401,1627749,Dejounte Murray,1610612759,San Antonio Spurs,3,4,20,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,78,4,1,0,20220413,NOP,SAS
11,Shot Chart Detail,0052100131,456,1627749,Dejounte Murray,1610612759,San Antonio Spurs,3,1,38,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,42,17,1,0,20220413,NOP,SAS
12,Shot Chart Detail,0052100131,500,1627749,Dejounte Murray,1610612759,San Antonio Spurs,4,10,49,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-15,0,1,0,20220413,NOP,SAS
13,Shot Chart Detail,0052100131,553,1627749,Dejounte Murray,1610612759,San Antonio Spurs,4,6,54,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-26,4,1,0,20220413,NOP,SAS
14,Shot Chart Detail,0052100131,565,1627749,Dejounte Murray,1610612759,San Antonio Spurs,4,5,44,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-2,102,1,0,20220413,NOP,SAS
15,Shot Chart Detail,0052100131,575,1627749,Dejounte Murray,1610612759,San Antonio Spurs,4,4,49,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,2,1,0,20220413,NOP,SAS
16,Shot Chart Detail,0052100131,580,1627749,Dejounte Murray,1610612759,San Antonio Spurs,4,4,14,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,29,228,189,1,0,20220413,NOP,SAS
17,Shot Chart Detail,0052100131,608,1627749,Dejounte Murray,1610612759,San Antonio Spurs,4,1,32,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,70,258,1,0,20220413,NOP,SAS
18,Shot Chart Detail,0052100131,620,1627749,Dejounte Murray,1610612759,San Antonio Spurs,4,0,20,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-175,197,1,1,20220413,NOP,SAS
