,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0052100131,234,202685,Jonas Valanciunas,1610612740,New Orleans Pelicans,2,5,29,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20220413,NOP,SAS
1,Shot Chart Detail,0052100131,329,202685,Jonas Valanciunas,1610612740,New Orleans Pelicans,3,10,28,Missed Shot,Turnaround Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-7,32,1,0,20220413,NOP,SAS
2,Shot Chart Detail,0052100131,353,202685,Jonas Valanciunas,1610612740,New Orleans Pelicans,3,8,20,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,15,1,1,20220413,NOP,SAS
3,Shot Chart Detail,0052100131,372,202685,Jonas Valanciunas,1610612740,New Orleans Pelicans,3,7,28,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-27,101,1,1,20220413,NOP,SAS
4,Shot Chart Detail,0052100131,381,202685,Jonas Valanciunas,1610612740,New Orleans Pelicans,3,6,24,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,3,1,1,20220413,NOP,SAS
5,Shot Chart Detail,0052100131,385,202685,Jonas Valanciunas,1610612740,New Orleans Pelicans,3,5,57,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,120,43,1,1,20220413,NOP,SAS
6,Shot Chart Detail,0052100131,392,202685,Jonas Valanciunas,1610612740,New Orleans Pelicans,3,5,3,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-151,214,1,0,20220413,NOP,SAS
7,Shot Chart Detail,0052100131,399,202685,Jonas Valanciunas,1610612740,New Orleans Pelicans,3,4,35,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-1,103,1,1,20220413,NOP,SAS
8,Shot Chart Detail,0052100131,403,202685,Jonas Valanciunas,1610612740,New Orleans Pelicans,3,4,5,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-6,87,1,1,20220413,NOP,SAS
9,Shot Chart Detail,0052100131,447,202685,Jonas Valanciunas,1610612740,New Orleans Pelicans,3,2,0,Missed Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,-51,71,1,0,20220413,NOP,SAS
