,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0052100121,35,1626157,Karl-Anthony Towns,1610612750,Minnesota Timberwolves,1,9,9,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,6,95,1,0,20220412,MIN,LAC
1,Shot Chart Detail,0052100121,50,1626157,Karl-Anthony Towns,1610612750,Minnesota Timberwolves,1,7,47,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,28,23,1,0,20220412,MIN,LAC
2,Shot Chart Detail,0052100121,87,1626157,Karl-Anthony Towns,1610612750,Minnesota Timberwolves,1,4,24,Missed Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,9,62,1,0,20220412,MIN,LAC
3,Shot Chart Detail,0052100121,115,1626157,Karl-Anthony Towns,1610612750,Minnesota Timberwolves,1,3,20,Missed Shot,Hook Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,87,34,1,0,20220412,MIN,LAC
4,Shot Chart Detail,0052100121,143,1626157,Karl-Anthony Towns,1610612750,Minnesota Timberwolves,1,2,20,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-5,89,1,0,20220412,MIN,LAC
5,Shot Chart Detail,0052100121,239,1626157,Karl-Anthony Towns,1610612750,Minnesota Timberwolves,2,7,6,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,-229,100,1,0,20220412,MIN,LAC
6,Shot Chart Detail,0052100121,266,1626157,Karl-Anthony Towns,1610612750,Minnesota Timberwolves,2,5,3,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-107,228,1,0,20220412,MIN,LAC
7,Shot Chart Detail,0052100121,429,1626157,Karl-Anthony Towns,1610612750,Minnesota Timberwolves,3,7,6,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-2,14,1,1,20220412,MIN,LAC
8,Shot Chart Detail,0052100121,457,1626157,Karl-Anthony Towns,1610612750,Minnesota Timberwolves,3,4,20,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,0,1,1,20220412,MIN,LAC
9,Shot Chart Detail,0052100121,593,1626157,Karl-Anthony Towns,1610612750,Minnesota Timberwolves,4,9,11,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,82,159,1,0,20220412,MIN,LAC
10,Shot Chart Detail,0052100121,599,1626157,Karl-Anthony Towns,1610612750,Minnesota Timberwolves,4,8,40,Made Shot,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,24,4,1,1,20220412,MIN,LAC
