,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0052100101,142,201567,Kevin Love,1610612739,Cleveland Cavaliers,1,2,6,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,9,253,1,1,20220412,BKN,CLE
1,Shot Chart Detail,0052100101,168,201567,Kevin Love,1610612739,Cleveland Cavaliers,2,11,36,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,115,120,1,0,20220412,BKN,CLE
2,Shot Chart Detail,0052100101,172,201567,Kevin Love,1610612739,Cleveland Cavaliers,2,10,59,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-11,66,1,1,20220412,BKN,CLE
3,Shot Chart Detail,0052100101,186,201567,Kevin Love,1610612739,Cleveland Cavaliers,2,9,52,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,36,37,1,1,20220412,BKN,CLE
4,Shot Chart Detail,0052100101,206,201567,Kevin Love,1610612739,Cleveland Cavaliers,2,8,37,Missed Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-17,15,1,0,20220412,BKN,CLE
5,Shot Chart Detail,0052100101,218,201567,Kevin Love,1610612739,Cleveland Cavaliers,2,7,51,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-4,256,1,1,20220412,BKN,CLE
6,Shot Chart Detail,0052100101,370,201567,Kevin Love,1610612739,Cleveland Cavaliers,3,8,31,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,125,33,1,0,20220412,BKN,CLE
7,Shot Chart Detail,0052100101,465,201567,Kevin Love,1610612739,Cleveland Cavaliers,3,1,3,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-148,210,1,1,20220412,BKN,CLE
8,Shot Chart Detail,0052100101,511,201567,Kevin Love,1610612739,Cleveland Cavaliers,4,10,40,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,13,102,1,0,20220412,BKN,CLE
9,Shot Chart Detail,0052100101,528,201567,Kevin Love,1610612739,Cleveland Cavaliers,4,9,49,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,51,31,1,0,20220412,BKN,CLE
10,Shot Chart Detail,0052100101,611,201567,Kevin Love,1610612739,Cleveland Cavaliers,4,3,14,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,129,218,1,0,20220412,BKN,CLE
11,Shot Chart Detail,0052100201,113,201567,Kevin Love,1610612739,Cleveland Cavaliers,1,2,26,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,30,227,201,1,0,20220415,CLE,ATL
12,Shot Chart Detail,0052100201,211,201567,Kevin Love,1610612739,Cleveland Cavaliers,2,7,25,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,146,239,1,1,20220415,CLE,ATL
