,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0052100101,11,202681,Kyrie Irving,1610612751,Brooklyn Nets,1,11,11,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-9,0,1,1,20220412,BKN,CLE
1,Shot Chart Detail,0052100101,104,202681,Kyrie Irving,1610612751,Brooklyn Nets,1,4,6,Made Shot,Turnaround Fadeaway Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,49,53,1,1,20220412,BKN,CLE
2,Shot Chart Detail,0052100101,108,202681,Kyrie Irving,1610612751,Brooklyn Nets,1,3,52,Made Shot,Running Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,10,1,1,20220412,BKN,CLE
3,Shot Chart Detail,0052100101,140,202681,Kyrie Irving,1610612751,Brooklyn Nets,1,2,17,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,181,186,1,1,20220412,BKN,CLE
4,Shot Chart Detail,0052100101,144,202681,Kyrie Irving,1610612751,Brooklyn Nets,1,1,51,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-20,86,1,1,20220412,BKN,CLE
5,Shot Chart Detail,0052100101,202,202681,Kyrie Irving,1610612751,Brooklyn Nets,2,8,52,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,21,39,209,1,1,20220412,BKN,CLE
6,Shot Chart Detail,0052100101,309,202681,Kyrie Irving,1610612751,Brooklyn Nets,2,0,46,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-223,-26,1,1,20220412,BKN,CLE
7,Shot Chart Detail,0052100101,318,202681,Kyrie Irving,1610612751,Brooklyn Nets,2,0,26,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,96,41,1,1,20220412,BKN,CLE
8,Shot Chart Detail,0052100101,320,202681,Kyrie Irving,1610612751,Brooklyn Nets,2,0,0,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,-169,31,1,1,20220412,BKN,CLE
9,Shot Chart Detail,0052100101,363,202681,Kyrie Irving,1610612751,Brooklyn Nets,3,8,47,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,81,242,1,1,20220412,BKN,CLE
10,Shot Chart Detail,0052100101,445,202681,Kyrie Irving,1610612751,Brooklyn Nets,3,2,49,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,13,1,1,20220412,BKN,CLE
11,Shot Chart Detail,0052100101,504,202681,Kyrie Irving,1610612751,Brooklyn Nets,4,11,42,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,-145,75,1,1,20220412,BKN,CLE
12,Shot Chart Detail,0052100101,517,202681,Kyrie Irving,1610612751,Brooklyn Nets,4,10,9,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-228,32,1,0,20220412,BKN,CLE
13,Shot Chart Detail,0052100101,560,202681,Kyrie Irving,1610612751,Brooklyn Nets,4,7,18,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,100,227,1,0,20220412,BKN,CLE
14,Shot Chart Detail,0052100101,620,202681,Kyrie Irving,1610612751,Brooklyn Nets,4,1,45,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,-142,204,1,0,20220412,BKN,CLE
