,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0052100101,57,1628374,Lauri Markkanen,1610612739,Cleveland Cavaliers,1,7,28,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,233,53,1,0,20220412,BKN,CLE
1,Shot Chart Detail,0052100101,61,1628374,Lauri Markkanen,1610612739,Cleveland Cavaliers,1,7,0,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,-4,1,0,20220412,BKN,CLE
2,Shot Chart Detail,0052100101,242,1628374,Lauri Markkanen,1610612739,Cleveland Cavaliers,2,6,5,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-12,51,1,1,20220412,BKN,CLE
3,Shot Chart Detail,0052100101,249,1628374,Lauri Markkanen,1610612739,Cleveland Cavaliers,2,5,14,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,23,15,1,0,20220412,BKN,CLE
4,Shot Chart Detail,0052100101,265,1628374,Lauri Markkanen,1610612739,Cleveland Cavaliers,2,4,6,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,1,1,1,20220412,BKN,CLE
5,Shot Chart Detail,0052100101,349,1628374,Lauri Markkanen,1610612739,Cleveland Cavaliers,3,9,50,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,99,251,1,0,20220412,BKN,CLE
6,Shot Chart Detail,0052100101,425,1628374,Lauri Markkanen,1610612739,Cleveland Cavaliers,3,4,3,Missed Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,12,1,0,20220412,BKN,CLE
7,Shot Chart Detail,0052100101,457,1628374,Lauri Markkanen,1610612739,Cleveland Cavaliers,3,1,50,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,4,18,1,1,20220412,BKN,CLE
8,Shot Chart Detail,0052100101,538,1628374,Lauri Markkanen,1610612739,Cleveland Cavaliers,4,9,6,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,18,22,1,0,20220412,BKN,CLE
9,Shot Chart Detail,0052100101,552,1628374,Lauri Markkanen,1610612739,Cleveland Cavaliers,4,9,5,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,5,14,1,0,20220412,BKN,CLE
