,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0052100111,26,1628970,Miles Bridges,1610612766,Charlotte Hornets,1,9,35,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-162,206,1,0,20220413,ATL,CHA
1,Shot Chart Detail,0052100111,49,1628970,Miles Bridges,1610612766,Charlotte Hornets,1,7,55,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,5,-2,1,1,20220413,ATL,CHA
2,Shot Chart Detail,0052100111,53,1628970,Miles Bridges,1610612766,Charlotte Hornets,1,7,36,Missed Shot,Running Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,228,4,1,0,20220413,ATL,CHA
3,Shot Chart Detail,0052100111,91,1628970,Miles Bridges,1610612766,Charlotte Hornets,1,5,17,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,6,1,0,20220413,ATL,CHA
4,Shot Chart Detail,0052100111,275,1628970,Miles Bridges,1610612766,Charlotte Hornets,2,6,17,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20220413,ATL,CHA
5,Shot Chart Detail,0052100111,285,1628970,Miles Bridges,1610612766,Charlotte Hornets,2,5,46,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,5,1,1,20220413,ATL,CHA
6,Shot Chart Detail,0052100111,375,1628970,Miles Bridges,1610612766,Charlotte Hornets,3,11,1,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,142,211,1,0,20220413,ATL,CHA
7,Shot Chart Detail,0052100111,439,1628970,Miles Bridges,1610612766,Charlotte Hornets,3,6,31,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,17,1,1,20220413,ATL,CHA
8,Shot Chart Detail,0052100111,446,1628970,Miles Bridges,1610612766,Charlotte Hornets,3,5,43,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-4,64,1,0,20220413,ATL,CHA
9,Shot Chart Detail,0052100111,492,1628970,Miles Bridges,1610612766,Charlotte Hornets,3,2,37,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,12,1,1,20220413,ATL,CHA
10,Shot Chart Detail,0052100111,595,1628970,Miles Bridges,1610612766,Charlotte Hornets,4,7,11,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,230,2,1,0,20220413,ATL,CHA
