,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0052100121,10,202331,Paul George,1610612746,LA Clippers,1,11,16,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,7,159,1,0,20220412,MIN,LAC
1,Shot Chart Detail,0052100121,23,202331,Paul George,1610612746,LA Clippers,1,10,12,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,80,192,1,1,20220412,MIN,LAC
2,Shot Chart Detail,0052100121,38,202331,Paul George,1610612746,LA Clippers,1,8,56,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,-147,51,1,0,20220412,MIN,LAC
3,Shot Chart Detail,0052100121,55,202331,Paul George,1610612746,LA Clippers,1,6,55,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,165,178,1,1,20220412,MIN,LAC
4,Shot Chart Detail,0052100121,218,202331,Paul George,1610612746,LA Clippers,2,8,49,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,-125,125,1,0,20220412,MIN,LAC
5,Shot Chart Detail,0052100121,224,202331,Paul George,1610612746,LA Clippers,2,7,38,Missed Shot,Driving Floating Bank Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-27,29,1,0,20220412,MIN,LAC
6,Shot Chart Detail,0052100121,283,202331,Paul George,1610612746,LA Clippers,2,3,48,Missed Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,6,1,0,20220412,MIN,LAC
7,Shot Chart Detail,0052100121,298,202331,Paul George,1610612746,LA Clippers,2,3,24,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-53,92,1,0,20220412,MIN,LAC
8,Shot Chart Detail,0052100121,332,202331,Paul George,1610612746,LA Clippers,2,1,27,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,45,250,1,0,20220412,MIN,LAC
9,Shot Chart Detail,0052100121,349,202331,Paul George,1610612746,LA Clippers,2,0,33,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-58,252,1,0,20220412,MIN,LAC
10,Shot Chart Detail,0052100121,373,202331,Paul George,1610612746,LA Clippers,3,11,28,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,-136,17,1,0,20220412,MIN,LAC
11,Shot Chart Detail,0052100121,389,202331,Paul George,1610612746,LA Clippers,3,10,58,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,173,191,1,0,20220412,MIN,LAC
12,Shot Chart Detail,0052100121,406,202331,Paul George,1610612746,LA Clippers,3,9,17,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-16,18,1,1,20220412,MIN,LAC
13,Shot Chart Detail,0052100121,420,202331,Paul George,1610612746,LA Clippers,3,7,37,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,-92,232,1,0,20220412,MIN,LAC
14,Shot Chart Detail,0052100121,443,202331,Paul George,1610612746,LA Clippers,3,5,18,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-99,247,1,1,20220412,MIN,LAC
15,Shot Chart Detail,0052100121,455,202331,Paul George,1610612746,LA Clippers,3,4,45,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,120,231,1,1,20220412,MIN,LAC
16,Shot Chart Detail,0052100121,477,202331,Paul George,1610612746,LA Clippers,3,3,18,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-19,15,1,1,20220412,MIN,LAC
17,Shot Chart Detail,0052100121,493,202331,Paul George,1610612746,LA Clippers,3,2,20,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,-201,143,1,1,20220412,MIN,LAC
18,Shot Chart Detail,0052100121,601,202331,Paul George,1610612746,LA Clippers,4,8,24,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,-217,122,1,0,20220412,MIN,LAC
19,Shot Chart Detail,0052100121,635,202331,Paul George,1610612746,LA Clippers,4,6,19,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,157,52,1,1,20220412,MIN,LAC
20,Shot Chart Detail,0052100121,646,202331,Paul George,1610612746,LA Clippers,4,4,55,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,-141,4,1,0,20220412,MIN,LAC
21,Shot Chart Detail,0052100121,709,202331,Paul George,1610612746,LA Clippers,4,1,24,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-137,215,1,1,20220412,MIN,LAC
22,Shot Chart Detail,0052100121,730,202331,Paul George,1610612746,LA Clippers,4,0,35,Missed Shot,Step Back Jump shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-233,28,1,0,20220412,MIN,LAC
23,Shot Chart Detail,0052100121,748,202331,Paul George,1610612746,LA Clippers,4,0,13,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,30,113,283,1,1,20220412,MIN,LAC
