,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0052100101,150,200765,Rajon Rondo,1610612739,Cleveland Cavaliers,1,0,53,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-11,257,1,0,20220412,BKN,CLE
1,Shot Chart Detail,0052100101,175,200765,Rajon Rondo,1610612739,Cleveland Cavaliers,2,10,34,Made Shot,Running Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,16,-8,1,1,20220412,BKN,CLE
2,Shot Chart Detail,0052100101,228,200765,Rajon Rondo,1610612739,Cleveland Cavaliers,2,6,44,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,165,189,1,0,20220412,BKN,CLE
3,Shot Chart Detail,0052100101,414,200765,Rajon Rondo,1610612739,Cleveland Cavaliers,3,5,10,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,184,178,1,1,20220412,BKN,CLE
4,Shot Chart Detail,0052100101,421,200765,Rajon Rondo,1610612739,Cleveland Cavaliers,3,4,33,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-185,180,1,0,20220412,BKN,CLE
5,Shot Chart Detail,0052100101,472,200765,Rajon Rondo,1610612739,Cleveland Cavaliers,3,0,38,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,21,16,1,0,20220412,BKN,CLE
6,Shot Chart Detail,0052100101,615,200765,Rajon Rondo,1610612739,Cleveland Cavaliers,4,2,42,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,6,1,1,20220412,BKN,CLE
7,Shot Chart Detail,0052100101,661,200765,Rajon Rondo,1610612739,Cleveland Cavaliers,4,0,1,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-142,221,1,0,20220412,BKN,CLE
8,Shot Chart Detail,0052100201,109,200765,Rajon Rondo,1610612739,Cleveland Cavaliers,1,2,44,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,5,1,0,20220415,CLE,ATL
9,Shot Chart Detail,0052100201,146,200765,Rajon Rondo,1610612739,Cleveland Cavaliers,1,0,1,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,33,217,259,1,0,20220415,CLE,ATL
10,Shot Chart Detail,0052100201,173,200765,Rajon Rondo,1610612739,Cleveland Cavaliers,2,10,2,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-235,-6,1,0,20220415,CLE,ATL
