,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0052100111,7,1626179,Terry Rozier,1610612766,Charlotte Hornets,1,11,40,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,14,-75,126,1,0,20220413,ATL,CHA
1,Shot Chart Detail,0052100111,69,1626179,Terry Rozier,1610612766,Charlotte Hornets,1,6,47,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,16,45,1,0,20220413,ATL,CHA
2,Shot Chart Detail,0052100111,85,1626179,Terry Rozier,1610612766,Charlotte Hornets,1,5,50,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,6,1,0,20220413,ATL,CHA
3,Shot Chart Detail,0052100111,106,1626179,Terry Rozier,1610612766,Charlotte Hornets,1,4,42,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,93,152,1,0,20220413,ATL,CHA
4,Shot Chart Detail,0052100111,110,1626179,Terry Rozier,1610612766,Charlotte Hornets,1,4,21,Missed Shot,Pullup Jump shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,225,16,1,0,20220413,ATL,CHA
5,Shot Chart Detail,0052100111,253,1626179,Terry Rozier,1610612766,Charlotte Hornets,2,7,46,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-232,21,1,0,20220413,ATL,CHA
6,Shot Chart Detail,0052100111,311,1626179,Terry Rozier,1610612766,Charlotte Hornets,2,3,59,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-18,100,1,0,20220413,ATL,CHA
7,Shot Chart Detail,0052100111,329,1626179,Terry Rozier,1610612766,Charlotte Hornets,2,1,50,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,1,1,1,20220413,ATL,CHA
8,Shot Chart Detail,0052100111,338,1626179,Terry Rozier,1610612766,Charlotte Hornets,2,1,1,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-5,22,1,1,20220413,ATL,CHA
9,Shot Chart Detail,0052100111,354,1626179,Terry Rozier,1610612766,Charlotte Hornets,2,0,0,Missed Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Back Court(BC),Back Court Shot,40,-77,400,1,0,20220413,ATL,CHA
10,Shot Chart Detail,0052100111,382,1626179,Terry Rozier,1610612766,Charlotte Hornets,3,10,18,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,232,89,1,0,20220413,ATL,CHA
11,Shot Chart Detail,0052100111,385,1626179,Terry Rozier,1610612766,Charlotte Hornets,3,9,56,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,6,1,1,20220413,ATL,CHA
12,Shot Chart Detail,0052100111,397,1626179,Terry Rozier,1610612766,Charlotte Hornets,3,9,3,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,229,25,1,1,20220413,ATL,CHA
13,Shot Chart Detail,0052100111,404,1626179,Terry Rozier,1610612766,Charlotte Hornets,3,8,27,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,114,7,1,1,20220413,ATL,CHA
14,Shot Chart Detail,0052100111,430,1626179,Terry Rozier,1610612766,Charlotte Hornets,3,7,4,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,225,11,1,0,20220413,ATL,CHA
15,Shot Chart Detail,0052100111,452,1626179,Terry Rozier,1610612766,Charlotte Hornets,3,5,12,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,15,1,1,20220413,ATL,CHA
16,Shot Chart Detail,0052100111,463,1626179,Terry Rozier,1610612766,Charlotte Hornets,3,4,10,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,2,15,1,0,20220413,ATL,CHA
17,Shot Chart Detail,0052100111,559,1626179,Terry Rozier,1610612766,Charlotte Hornets,4,9,35,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,16,18,1,0,20220413,ATL,CHA
18,Shot Chart Detail,0052100111,573,1626179,Terry Rozier,1610612766,Charlotte Hornets,4,8,21,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,-13,172,1,0,20220413,ATL,CHA
19,Shot Chart Detail,0052100111,646,1626179,Terry Rozier,1610612766,Charlotte Hornets,4,3,48,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-12,97,1,1,20220413,ATL,CHA
20,Shot Chart Detail,0052100111,688,1626179,Terry Rozier,1610612766,Charlotte Hornets,4,1,19,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,168,201,1,1,20220413,ATL,CHA
21,Shot Chart Detail,0052100111,696,1626179,Terry Rozier,1610612766,Charlotte Hornets,4,0,33,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,147,214,1,0,20220413,ATL,CHA
