,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0052100131,121,1630530,Trey Murphy III,1610612740,New Orleans Pelicans,1,2,6,Made Shot,Cutting Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,38,13,1,1,20220413,NOP,SAS
1,Shot Chart Detail,0052100131,195,1630530,Trey Murphy III,1610612740,New Orleans Pelicans,2,8,37,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,230,-3,1,0,20220413,NOP,SAS
2,Shot Chart Detail,0052100131,416,1630530,Trey Murphy III,1610612740,New Orleans Pelicans,3,3,38,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-28,264,1,0,20220413,NOP,SAS
3,Shot Chart Detail,0052100131,527,1630530,Trey Murphy III,1610612740,New Orleans Pelicans,4,8,44,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Back Court(BC),Back Court Shot,39,12,399,1,0,20220413,NOP,SAS
4,Shot Chart Detail,0052100211,471,1630530,Trey Murphy III,1610612740,New Orleans Pelicans,3,1,45,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-169,209,1,0,20220415,LAC,NOP
5,Shot Chart Detail,0052100211,483,1630530,Trey Murphy III,1610612740,New Orleans Pelicans,3,1,22,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-237,10,1,1,20220415,LAC,NOP
6,Shot Chart Detail,0052100211,553,1630530,Trey Murphy III,1610612740,New Orleans Pelicans,4,8,42,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-164,207,1,1,20220415,LAC,NOP
7,Shot Chart Detail,0052100211,593,1630530,Trey Murphy III,1610612740,New Orleans Pelicans,4,4,40,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-235,37,1,1,20220415,LAC,NOP
8,Shot Chart Detail,0052100211,618,1630530,Trey Murphy III,1610612740,New Orleans Pelicans,4,2,10,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,202,160,1,1,20220415,LAC,NOP
9,Shot Chart Detail,0052100211,623,1630530,Trey Murphy III,1610612740,New Orleans Pelicans,4,1,27,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-32,49,1,0,20220415,LAC,NOP
10,Shot Chart Detail,0052100211,635,1630530,Trey Murphy III,1610612740,New Orleans Pelicans,4,0,37,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-183,191,1,0,20220415,LAC,NOP
