,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0042100161,26,203932,Aaron Gordon,1610612743,Denver Nuggets,1,9,25,Missed Shot,Reverse Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-51,29,1,0,20220416,GSW,DEN
1,Shot Chart Detail,0042100161,29,203932,Aaron Gordon,1610612743,Denver Nuggets,1,9,18,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-6,73,1,0,20220416,GSW,DEN
2,Shot Chart Detail,0042100161,52,203932,Aaron Gordon,1610612743,Denver Nuggets,1,5,58,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-16,17,1,1,20220416,GSW,DEN
3,Shot Chart Detail,0042100161,221,203932,Aaron Gordon,1610612743,Denver Nuggets,2,6,51,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-164,197,1,0,20220416,GSW,DEN
4,Shot Chart Detail,0042100161,234,203932,Aaron Gordon,1610612743,Denver Nuggets,2,6,13,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,10,260,1,0,20220416,GSW,DEN
5,Shot Chart Detail,0042100161,264,203932,Aaron Gordon,1610612743,Denver Nuggets,2,3,55,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,113,5,1,0,20220416,GSW,DEN
6,Shot Chart Detail,0042100161,272,203932,Aaron Gordon,1610612743,Denver Nuggets,2,2,59,Missed Shot,Cutting Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,43,29,1,0,20220416,GSW,DEN
7,Shot Chart Detail,0042100161,366,203932,Aaron Gordon,1610612743,Denver Nuggets,3,8,47,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-230,18,1,0,20220416,GSW,DEN
8,Shot Chart Detail,0042100161,411,203932,Aaron Gordon,1610612743,Denver Nuggets,3,5,33,Made Shot,Putback Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-44,-8,1,1,20220416,GSW,DEN
9,Shot Chart Detail,0042100161,433,203932,Aaron Gordon,1610612743,Denver Nuggets,3,3,54,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-43,36,1,1,20220416,GSW,DEN
10,Shot Chart Detail,0042100162,27,203932,Aaron Gordon,1610612743,Denver Nuggets,1,10,10,Missed Shot,Step Back Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,4,106,1,0,20220418,GSW,DEN
11,Shot Chart Detail,0042100162,50,203932,Aaron Gordon,1610612743,Denver Nuggets,1,8,13,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,18,29,1,0,20220418,GSW,DEN
12,Shot Chart Detail,0042100162,81,203932,Aaron Gordon,1610612743,Denver Nuggets,1,5,39,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,132,215,1,0,20220418,GSW,DEN
13,Shot Chart Detail,0042100162,95,203932,Aaron Gordon,1610612743,Denver Nuggets,1,4,19,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,230,-5,1,1,20220418,GSW,DEN
14,Shot Chart Detail,0042100162,277,203932,Aaron Gordon,1610612743,Denver Nuggets,2,4,46,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,-138,69,1,0,20220418,GSW,DEN
15,Shot Chart Detail,0042100162,377,203932,Aaron Gordon,1610612743,Denver Nuggets,3,10,33,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,44,268,1,0,20220418,GSW,DEN
16,Shot Chart Detail,0042100162,441,203932,Aaron Gordon,1610612743,Denver Nuggets,3,4,33,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20220418,GSW,DEN
17,Shot Chart Detail,0042100162,444,203932,Aaron Gordon,1610612743,Denver Nuggets,3,3,52,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,191,176,1,0,20220418,GSW,DEN
18,Shot Chart Detail,0042100162,623,203932,Aaron Gordon,1610612743,Denver Nuggets,4,5,42,Made Shot,Driving Dunk Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-9,57,1,1,20220418,GSW,DEN
19,Shot Chart Detail,0042100163,10,203932,Aaron Gordon,1610612743,Denver Nuggets,1,11,11,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,13,1,1,20220421,DEN,GSW
20,Shot Chart Detail,0042100163,25,203932,Aaron Gordon,1610612743,Denver Nuggets,1,9,42,Missed Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-39,25,1,0,20220421,DEN,GSW
21,Shot Chart Detail,0042100163,32,203932,Aaron Gordon,1610612743,Denver Nuggets,1,8,54,Missed Shot,Running Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,36,46,1,0,20220421,DEN,GSW
