,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0042100144,649,1628988,Aaron Holiday,1610612756,Phoenix Suns,4,2,18,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-195,182,1,1,20220424,NOP,PHX
1,Shot Chart Detail,0042100144,659,1628988,Aaron Holiday,1610612756,Phoenix Suns,4,1,48,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-25,26,1,1,20220424,NOP,PHX
2,Shot Chart Detail,0042100144,664,1628988,Aaron Holiday,1610612756,Phoenix Suns,4,1,45,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,25,30,1,1,20220424,NOP,PHX
3,Shot Chart Detail,0042100145,257,1628988,Aaron Holiday,1610612756,Phoenix Suns,2,5,5,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-26,261,1,1,20220426,PHX,NOP
4,Shot Chart Detail,0042100223,607,1628988,Aaron Holiday,1610612756,Phoenix Suns,4,0,6,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,-229,98,1,0,20220506,DAL,PHX
5,Shot Chart Detail,0042100224,642,1628988,Aaron Holiday,1610612756,Phoenix Suns,4,0,2,Made Shot,Driving Layup Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,89,19,1,1,20220508,DAL,PHX
6,Shot Chart Detail,0042100225,592,1628988,Aaron Holiday,1610612756,Phoenix Suns,4,3,43,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,123,-7,1,0,20220510,PHX,DAL
7,Shot Chart Detail,0042100225,596,1628988,Aaron Holiday,1610612756,Phoenix Suns,4,3,7,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,148,224,1,1,20220510,PHX,DAL
8,Shot Chart Detail,0042100225,611,1628988,Aaron Holiday,1610612756,Phoenix Suns,4,1,22,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,18,34,1,0,20220510,PHX,DAL
9,Shot Chart Detail,0042100227,569,1628988,Aaron Holiday,1610612756,Phoenix Suns,4,3,53,Missed Shot,Running Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,20,25,1,0,20220515,PHX,DAL
10,Shot Chart Detail,0042100227,587,1628988,Aaron Holiday,1610612756,Phoenix Suns,4,2,39,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,-45,71,1,0,20220515,PHX,DAL
11,Shot Chart Detail,0042100227,615,1628988,Aaron Holiday,1610612756,Phoenix Suns,4,0,25,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-179,188,1,0,20220515,PHX,DAL
12,Shot Chart Detail,0042100227,619,1628988,Aaron Holiday,1610612756,Phoenix Suns,4,0,10,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-176,183,1,1,20220515,PHX,DAL
13,Shot Chart Detail,0042100227,623,1628988,Aaron Holiday,1610612756,Phoenix Suns,4,0,1,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,28,15,288,1,1,20220515,PHX,DAL
