,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0042100211,723,1630174,Aaron Nesmith,1610612738,Boston Celtics,4,1,19,Missed Shot,Running Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,43,20,1,0,20220501,BOS,MIL
1,Shot Chart Detail,0042100217,678,1630174,Aaron Nesmith,1610612738,Boston Celtics,4,1,20,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-60,257,1,1,20220515,BOS,MIL
2,Shot Chart Detail,0042100301,458,1630174,Aaron Nesmith,1610612738,Boston Celtics,3,1,31,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,211,154,1,0,20220517,MIA,BOS
3,Shot Chart Detail,0042100301,486,1630174,Aaron Nesmith,1610612738,Boston Celtics,3,0,48,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-222,-8,1,0,20220517,MIA,BOS
4,Shot Chart Detail,0042100301,521,1630174,Aaron Nesmith,1610612738,Boston Celtics,4,10,50,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-237,18,1,0,20220517,MIA,BOS
5,Shot Chart Detail,0042100302,582,1630174,Aaron Nesmith,1610612738,Boston Celtics,4,2,52,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-113,232,1,0,20220519,MIA,BOS
6,Shot Chart Detail,0042100302,593,1630174,Aaron Nesmith,1610612738,Boston Celtics,4,2,3,Missed Shot,Driving Bank Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-18,8,1,0,20220519,MIA,BOS
7,Shot Chart Detail,0042100302,618,1630174,Aaron Nesmith,1610612738,Boston Celtics,4,0,32,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,237,68,1,0,20220519,MIA,BOS
8,Shot Chart Detail,0042100303,689,1630174,Aaron Nesmith,1610612738,Boston Celtics,4,0,12,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,138,229,1,0,20220521,BOS,MIA
9,Shot Chart Detail,0042100304,579,1630174,Aaron Nesmith,1610612738,Boston Celtics,4,5,51,Made Shot,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,-126,84,1,1,20220523,BOS,MIA
10,Shot Chart Detail,0042100304,630,1630174,Aaron Nesmith,1610612738,Boston Celtics,4,1,25,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-241,88,1,0,20220523,BOS,MIA
11,Shot Chart Detail,0042100402,547,1630174,Aaron Nesmith,1610612738,Boston Celtics,4,10,24,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-201,172,1,0,20220605,GSW,BOS
12,Shot Chart Detail,0042100402,552,1630174,Aaron Nesmith,1610612738,Boston Celtics,4,9,50,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,29,21,1,1,20220605,GSW,BOS
13,Shot Chart Detail,0042100402,638,1630174,Aaron Nesmith,1610612738,Boston Celtics,4,3,1,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-54,25,1,1,20220605,GSW,BOS
14,Shot Chart Detail,0042100402,648,1630174,Aaron Nesmith,1610612738,Boston Celtics,4,1,54,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,125,224,1,0,20220605,GSW,BOS
15,Shot Chart Detail,0042100403,648,1630174,Aaron Nesmith,1610612738,Boston Celtics,4,1,29,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,-33,188,1,0,20220608,BOS,GSW
16,Shot Chart Detail,0042100405,643,1630174,Aaron Nesmith,1610612738,Boston Celtics,4,0,41,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,185,178,1,0,20220613,GSW,BOS
