,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0042100121,37,1627936,Alex Caruso,1610612741,Chicago Bulls,1,8,22,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,230,16,1,0,20220417,MIL,CHI
1,Shot Chart Detail,0042100121,47,1627936,Alex Caruso,1610612741,Chicago Bulls,1,7,14,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,237,11,1,0,20220417,MIL,CHI
2,Shot Chart Detail,0042100121,204,1627936,Alex Caruso,1610612741,Chicago Bulls,2,8,41,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-147,221,1,0,20220417,MIL,CHI
3,Shot Chart Detail,0042100121,234,1627936,Alex Caruso,1610612741,Chicago Bulls,2,7,23,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,1,1,1,20220417,MIL,CHI
4,Shot Chart Detail,0042100121,546,1627936,Alex Caruso,1610612741,Chicago Bulls,4,10,20,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,228,5,1,1,20220417,MIL,CHI
5,Shot Chart Detail,0042100121,632,1627936,Alex Caruso,1610612741,Chicago Bulls,4,3,43,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,239,20,1,0,20220417,MIL,CHI
6,Shot Chart Detail,0042100121,660,1627936,Alex Caruso,1610612741,Chicago Bulls,4,1,36,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,15,1,1,20220417,MIL,CHI
7,Shot Chart Detail,0042100122,75,1627936,Alex Caruso,1610612741,Chicago Bulls,1,5,7,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-239,-1,1,1,20220420,MIL,CHI
8,Shot Chart Detail,0042100122,82,1627936,Alex Caruso,1610612741,Chicago Bulls,1,3,57,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-164,199,1,0,20220420,MIL,CHI
9,Shot Chart Detail,0042100122,246,1627936,Alex Caruso,1610612741,Chicago Bulls,2,4,31,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,-96,105,1,0,20220420,MIL,CHI
10,Shot Chart Detail,0042100122,273,1627936,Alex Caruso,1610612741,Chicago Bulls,2,2,19,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,61,262,1,1,20220420,MIL,CHI
11,Shot Chart Detail,0042100122,305,1627936,Alex Caruso,1610612741,Chicago Bulls,2,0,5,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,210,134,1,0,20220420,MIL,CHI
12,Shot Chart Detail,0042100122,523,1627936,Alex Caruso,1610612741,Chicago Bulls,4,7,38,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-230,-21,1,1,20220420,MIL,CHI
13,Shot Chart Detail,0042100122,604,1627936,Alex Caruso,1610612741,Chicago Bulls,4,2,58,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,233,29,1,0,20220420,MIL,CHI
14,Shot Chart Detail,0042100122,626,1627936,Alex Caruso,1610612741,Chicago Bulls,4,1,13,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-230,2,1,0,20220420,MIL,CHI
