,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0042100111,18,203083,Andre Drummond,1610612751,Brooklyn Nets,1,10,41,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,6,1,1,20220417,BOS,BKN
1,Shot Chart Detail,0042100111,110,203083,Andre Drummond,1610612751,Brooklyn Nets,1,4,26,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-6,31,1,1,20220417,BOS,BKN
2,Shot Chart Detail,0042100111,260,203083,Andre Drummond,1610612751,Brooklyn Nets,2,7,41,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,36,11,1,0,20220417,BOS,BKN
3,Shot Chart Detail,0042100111,266,203083,Andre Drummond,1610612751,Brooklyn Nets,2,7,26,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-9,26,1,1,20220417,BOS,BKN
4,Shot Chart Detail,0042100112,244,203083,Andre Drummond,1610612751,Brooklyn Nets,2,6,21,Made Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-10,19,1,1,20220420,BOS,BKN
5,Shot Chart Detail,0042100112,248,203083,Andre Drummond,1610612751,Brooklyn Nets,2,5,36,Missed Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-15,32,1,0,20220420,BOS,BKN
6,Shot Chart Detail,0042100112,353,203083,Andre Drummond,1610612751,Brooklyn Nets,3,10,49,Missed Shot,Cutting Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-34,26,1,0,20220420,BOS,BKN
7,Shot Chart Detail,0042100112,378,203083,Andre Drummond,1610612751,Brooklyn Nets,3,8,44,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-5,25,1,1,20220420,BOS,BKN
8,Shot Chart Detail,0042100113,53,203083,Andre Drummond,1610612751,Brooklyn Nets,1,6,58,Missed Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,6,1,0,20220423,BKN,BOS
9,Shot Chart Detail,0042100113,167,203083,Andre Drummond,1610612751,Brooklyn Nets,2,10,36,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-31,9,1,0,20220423,BKN,BOS
10,Shot Chart Detail,0042100113,187,203083,Andre Drummond,1610612751,Brooklyn Nets,2,8,45,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,49,19,1,1,20220423,BKN,BOS
