,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0042100151,27,1630162,Anthony Edwards,1610612750,Minnesota Timberwolves,1,10,37,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,135,236,1,1,20220416,MEM,MIN
1,Shot Chart Detail,0042100151,31,1630162,Anthony Edwards,1610612750,Minnesota Timberwolves,1,10,7,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,23,83,218,1,1,20220416,MEM,MIN
2,Shot Chart Detail,0042100151,37,1630162,Anthony Edwards,1610612750,Minnesota Timberwolves,1,9,28,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,-214,122,1,0,20220416,MEM,MIN
3,Shot Chart Detail,0042100151,48,1630162,Anthony Edwards,1610612750,Minnesota Timberwolves,1,8,20,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,121,169,1,1,20220416,MEM,MIN
4,Shot Chart Detail,0042100151,111,1630162,Anthony Edwards,1610612750,Minnesota Timberwolves,1,4,39,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,6,1,1,20220416,MEM,MIN
5,Shot Chart Detail,0042100151,128,1630162,Anthony Edwards,1610612750,Minnesota Timberwolves,1,3,55,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,21,181,123,1,1,20220416,MEM,MIN
6,Shot Chart Detail,0042100151,130,1630162,Anthony Edwards,1610612750,Minnesota Timberwolves,1,3,29,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,21,74,207,1,0,20220416,MEM,MIN
7,Shot Chart Detail,0042100151,234,1630162,Anthony Edwards,1610612750,Minnesota Timberwolves,2,10,12,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,26,107,1,1,20220416,MEM,MIN
8,Shot Chart Detail,0042100151,243,1630162,Anthony Edwards,1610612750,Minnesota Timberwolves,2,9,44,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,34,123,1,0,20220416,MEM,MIN
9,Shot Chart Detail,0042100151,295,1630162,Anthony Edwards,1610612750,Minnesota Timberwolves,2,6,8,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,50,94,1,0,20220416,MEM,MIN
10,Shot Chart Detail,0042100151,340,1630162,Anthony Edwards,1610612750,Minnesota Timberwolves,2,3,48,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,7,2,1,1,20220416,MEM,MIN
