,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0042100161,182,203085,Austin Rivers,1610612743,Denver Nuggets,2,8,42,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,206,152,1,0,20220416,GSW,DEN
1,Shot Chart Detail,0042100161,536,203085,Austin Rivers,1610612743,Denver Nuggets,4,9,36,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,230,-11,1,0,20220416,GSW,DEN
2,Shot Chart Detail,0042100161,639,203085,Austin Rivers,1610612743,Denver Nuggets,4,3,21,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,21,42,1,1,20220416,GSW,DEN
3,Shot Chart Detail,0042100161,667,203085,Austin Rivers,1610612743,Denver Nuggets,4,1,16,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-140,220,1,0,20220416,GSW,DEN
4,Shot Chart Detail,0042100161,674,203085,Austin Rivers,1610612743,Denver Nuggets,4,0,28,Made Shot,Running Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-50,28,1,1,20220416,GSW,DEN
5,Shot Chart Detail,0042100162,197,203085,Austin Rivers,1610612743,Denver Nuggets,2,10,49,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-229,56,1,0,20220418,GSW,DEN
6,Shot Chart Detail,0042100162,200,203085,Austin Rivers,1610612743,Denver Nuggets,2,10,20,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,-56,68,1,0,20220418,GSW,DEN
7,Shot Chart Detail,0042100162,542,203085,Austin Rivers,1610612743,Denver Nuggets,4,11,4,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,-168,214,1,1,20220418,GSW,DEN
8,Shot Chart Detail,0042100162,562,203085,Austin Rivers,1610612743,Denver Nuggets,4,9,12,Made Shot,Running Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-50,20,1,1,20220418,GSW,DEN
9,Shot Chart Detail,0042100162,651,203085,Austin Rivers,1610612743,Denver Nuggets,4,3,51,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,-67,59,1,1,20220418,GSW,DEN
10,Shot Chart Detail,0042100163,78,203085,Austin Rivers,1610612743,Denver Nuggets,1,4,31,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-229,33,1,1,20220421,DEN,GSW
11,Shot Chart Detail,0042100163,202,203085,Austin Rivers,1610612743,Denver Nuggets,2,7,49,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-152,205,1,1,20220421,DEN,GSW
12,Shot Chart Detail,0042100164,208,203085,Austin Rivers,1610612743,Denver Nuggets,2,11,19,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-227,55,1,0,20220424,DEN,GSW
13,Shot Chart Detail,0042100164,343,203085,Austin Rivers,1610612743,Denver Nuggets,2,2,24,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,233,31,1,0,20220424,DEN,GSW
14,Shot Chart Detail,0042100164,389,203085,Austin Rivers,1610612743,Denver Nuggets,2,0,0,Missed Shot,Running Jump Shot,3PT Field Goal,Backcourt,Back Court(BC),Back Court Shot,48,-118,470,1,0,20220424,DEN,GSW
15,Shot Chart Detail,0042100164,518,203085,Austin Rivers,1610612743,Denver Nuggets,3,3,11,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-230,30,1,1,20220424,DEN,GSW
16,Shot Chart Detail,0042100164,554,203085,Austin Rivers,1610612743,Denver Nuggets,3,2,12,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,56,23,1,0,20220424,DEN,GSW
17,Shot Chart Detail,0042100165,84,203085,Austin Rivers,1610612743,Denver Nuggets,1,6,15,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,228,53,1,0,20220427,GSW,DEN
