,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0042100101,22,1628389,Bam Adebayo,1610612748,Miami Heat,1,10,16,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,28,14,1,0,20220417,MIA,ATL
1,Shot Chart Detail,0042100101,94,1628389,Bam Adebayo,1610612748,Miami Heat,1,5,10,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,96,182,1,1,20220417,MIA,ATL
2,Shot Chart Detail,0042100101,355,1628389,Bam Adebayo,1610612748,Miami Heat,3,11,39,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,86,139,1,0,20220417,MIA,ATL
3,Shot Chart Detail,0042100101,426,1628389,Bam Adebayo,1610612748,Miami Heat,3,5,31,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,26,112,1,0,20220417,MIA,ATL
4,Shot Chart Detail,0042100101,546,1628389,Bam Adebayo,1610612748,Miami Heat,4,8,21,Missed Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,31,10,1,0,20220417,MIA,ATL
5,Shot Chart Detail,0042100102,7,1628389,Bam Adebayo,1610612748,Miami Heat,1,11,36,Missed Shot,Driving Reverse Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-1,40,1,0,20220419,MIA,ATL
6,Shot Chart Detail,0042100102,18,1628389,Bam Adebayo,1610612748,Miami Heat,1,10,23,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,33,108,1,1,20220419,MIA,ATL
7,Shot Chart Detail,0042100102,44,1628389,Bam Adebayo,1610612748,Miami Heat,1,8,14,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-21,38,1,0,20220419,MIA,ATL
8,Shot Chart Detail,0042100102,69,1628389,Bam Adebayo,1610612748,Miami Heat,1,6,14,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,5,34,1,1,20220419,MIA,ATL
9,Shot Chart Detail,0042100102,589,1628389,Bam Adebayo,1610612748,Miami Heat,4,7,23,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,40,60,1,0,20220419,MIA,ATL
10,Shot Chart Detail,0042100102,627,1628389,Bam Adebayo,1610612748,Miami Heat,4,3,42,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,16,1,1,20220419,MIA,ATL
11,Shot Chart Detail,0042100103,18,1628389,Bam Adebayo,1610612748,Miami Heat,1,10,37,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,4,1,1,20220422,ATL,MIA
12,Shot Chart Detail,0042100103,84,1628389,Bam Adebayo,1610612748,Miami Heat,1,4,20,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-9,50,1,1,20220422,ATL,MIA
13,Shot Chart Detail,0042100103,97,1628389,Bam Adebayo,1610612748,Miami Heat,1,3,8,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,7,-1,1,1,20220422,ATL,MIA
14,Shot Chart Detail,0042100103,251,1628389,Bam Adebayo,1610612748,Miami Heat,2,4,40,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,75,147,1,0,20220422,ATL,MIA
15,Shot Chart Detail,0042100103,292,1628389,Bam Adebayo,1610612748,Miami Heat,2,1,38,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,10,27,1,0,20220422,ATL,MIA
