,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0042100171,29,202711,Bojan Bogdanovic,1610612762,Utah Jazz,1,9,24,Missed Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,85,245,1,0,20220416,DAL,UTA
1,Shot Chart Detail,0042100171,39,202711,Bojan Bogdanovic,1610612762,Utah Jazz,1,8,7,Made Shot,Turnaround Fadeaway Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,41,35,1,1,20220416,DAL,UTA
2,Shot Chart Detail,0042100171,58,202711,Bojan Bogdanovic,1610612762,Utah Jazz,1,5,55,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,20,1,1,20220416,DAL,UTA
3,Shot Chart Detail,0042100171,74,202711,Bojan Bogdanovic,1610612762,Utah Jazz,1,4,39,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-49,21,1,1,20220416,DAL,UTA
4,Shot Chart Detail,0042100171,93,202711,Bojan Bogdanovic,1610612762,Utah Jazz,1,2,43,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,41,104,1,1,20220416,DAL,UTA
5,Shot Chart Detail,0042100171,198,202711,Bojan Bogdanovic,1610612762,Utah Jazz,2,7,53,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,-99,44,1,1,20220416,DAL,UTA
6,Shot Chart Detail,0042100171,248,202711,Bojan Bogdanovic,1610612762,Utah Jazz,2,4,24,Missed Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,23,38,1,0,20220416,DAL,UTA
7,Shot Chart Detail,0042100171,252,202711,Bojan Bogdanovic,1610612762,Utah Jazz,2,3,55,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-124,233,1,0,20220416,DAL,UTA
8,Shot Chart Detail,0042100171,262,202711,Bojan Bogdanovic,1610612762,Utah Jazz,2,3,10,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-229,36,1,1,20220416,DAL,UTA
9,Shot Chart Detail,0042100171,266,202711,Bojan Bogdanovic,1610612762,Utah Jazz,2,2,30,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,12,17,1,1,20220416,DAL,UTA
