,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0042100151,228,1629634,Brandon Clarke,1610612763,Memphis Grizzlies,2,10,26,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,5,1,1,20220416,MEM,MIN
1,Shot Chart Detail,0042100151,285,1629634,Brandon Clarke,1610612763,Memphis Grizzlies,2,6,52,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,6,1,1,20220416,MEM,MIN
2,Shot Chart Detail,0042100151,372,1629634,Brandon Clarke,1610612763,Memphis Grizzlies,2,1,29,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,5,1,1,20220416,MEM,MIN
3,Shot Chart Detail,0042100151,386,1629634,Brandon Clarke,1610612763,Memphis Grizzlies,2,0,35,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20220416,MEM,MIN
4,Shot Chart Detail,0042100151,658,1629634,Brandon Clarke,1610612763,Memphis Grizzlies,4,6,25,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,44,80,1,0,20220416,MEM,MIN
5,Shot Chart Detail,0042100151,684,1629634,Brandon Clarke,1610612763,Memphis Grizzlies,4,4,19,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,5,6,1,1,20220416,MEM,MIN
6,Shot Chart Detail,0042100151,695,1629634,Brandon Clarke,1610612763,Memphis Grizzlies,4,3,34,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20220416,MEM,MIN
7,Shot Chart Detail,0042100152,115,1629634,Brandon Clarke,1610612763,Memphis Grizzlies,1,4,20,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,6,1,1,20220419,MEM,MIN
8,Shot Chart Detail,0042100152,293,1629634,Brandon Clarke,1610612763,Memphis Grizzlies,2,5,34,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-4,69,1,0,20220419,MEM,MIN
9,Shot Chart Detail,0042100152,311,1629634,Brandon Clarke,1610612763,Memphis Grizzlies,2,4,13,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,1,53,1,0,20220419,MEM,MIN
