,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0042100111,283,1628971,Bruce Brown,1610612751,Brooklyn Nets,2,6,3,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,-235,78,1,1,20220417,BOS,BKN
1,Shot Chart Detail,0042100111,514,1628971,Bruce Brown,1610612751,Brooklyn Nets,3,0,52,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,9,23,1,0,20220417,BOS,BKN
2,Shot Chart Detail,0042100111,533,1628971,Bruce Brown,1610612751,Brooklyn Nets,4,11,45,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,17,1,1,20220417,BOS,BKN
3,Shot Chart Detail,0042100112,7,1628971,Bruce Brown,1610612751,Brooklyn Nets,1,11,37,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,232,20,1,1,20220420,BOS,BKN
4,Shot Chart Detail,0042100112,21,1628971,Bruce Brown,1610612751,Brooklyn Nets,1,9,55,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,14,-67,127,1,1,20220420,BOS,BKN
5,Shot Chart Detail,0042100112,27,1628971,Bruce Brown,1610612751,Brooklyn Nets,1,9,27,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-22,24,1,1,20220420,BOS,BKN
6,Shot Chart Detail,0042100112,74,1628971,Bruce Brown,1610612751,Brooklyn Nets,1,6,28,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-234,93,1,1,20220420,BOS,BKN
7,Shot Chart Detail,0042100112,137,1628971,Bruce Brown,1610612751,Brooklyn Nets,1,2,46,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,40,75,1,0,20220420,BOS,BKN
8,Shot Chart Detail,0042100112,176,1628971,Bruce Brown,1610612751,Brooklyn Nets,1,0,1,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,-2,163,1,0,20220420,BOS,BKN
9,Shot Chart Detail,0042100112,220,1628971,Bruce Brown,1610612751,Brooklyn Nets,2,8,38,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,8,1,1,20220420,BOS,BKN
