,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0042100141,27,203468,CJ McCollum,1610612740,New Orleans Pelicans,1,10,9,Missed Shot,Step Back Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,18,101,1,0,20220417,PHX,NOP
1,Shot Chart Detail,0042100141,31,203468,CJ McCollum,1610612740,New Orleans Pelicans,1,9,54,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,10,1,0,20220417,PHX,NOP
2,Shot Chart Detail,0042100141,72,203468,CJ McCollum,1610612740,New Orleans Pelicans,1,6,27,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,-116,130,1,0,20220417,PHX,NOP
3,Shot Chart Detail,0042100141,81,203468,CJ McCollum,1610612740,New Orleans Pelicans,1,5,28,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,22,100,1,0,20220417,PHX,NOP
4,Shot Chart Detail,0042100141,108,203468,CJ McCollum,1610612740,New Orleans Pelicans,1,4,22,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,69,249,1,0,20220417,PHX,NOP
5,Shot Chart Detail,0042100141,147,203468,CJ McCollum,1610612740,New Orleans Pelicans,1,1,15,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-157,214,1,0,20220417,PHX,NOP
6,Shot Chart Detail,0042100141,165,203468,CJ McCollum,1610612740,New Orleans Pelicans,1,0,22,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-45,256,1,1,20220417,PHX,NOP
7,Shot Chart Detail,0042100141,180,203468,CJ McCollum,1610612740,New Orleans Pelicans,2,11,15,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,15,110,1,1,20220417,PHX,NOP
8,Shot Chart Detail,0042100141,191,203468,CJ McCollum,1610612740,New Orleans Pelicans,2,10,7,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,20,272,1,0,20220417,PHX,NOP
9,Shot Chart Detail,0042100141,258,203468,CJ McCollum,1610612740,New Orleans Pelicans,2,5,23,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,11,-78,80,1,0,20220417,PHX,NOP
10,Shot Chart Detail,0042100141,314,203468,CJ McCollum,1610612740,New Orleans Pelicans,2,1,40,Missed Shot,Driving Floating Bank Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-18,20,1,0,20220417,PHX,NOP
11,Shot Chart Detail,0042100141,388,203468,CJ McCollum,1610612740,New Orleans Pelicans,3,9,22,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,28,-1,287,1,0,20220417,PHX,NOP
12,Shot Chart Detail,0042100141,420,203468,CJ McCollum,1610612740,New Orleans Pelicans,3,7,12,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,158,236,1,1,20220417,PHX,NOP
13,Shot Chart Detail,0042100141,435,203468,CJ McCollum,1610612740,New Orleans Pelicans,3,5,12,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,-154,-7,1,1,20220417,PHX,NOP
14,Shot Chart Detail,0042100141,451,203468,CJ McCollum,1610612740,New Orleans Pelicans,3,4,36,Missed Shot,Tip Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-9,57,1,0,20220417,PHX,NOP
15,Shot Chart Detail,0042100141,472,203468,CJ McCollum,1610612740,New Orleans Pelicans,3,3,2,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,102,41,1,0,20220417,PHX,NOP
