,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0042100141,203,1626166,Cameron Payne,1610612756,Phoenix Suns,2,9,20,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,28,-50,283,1,0,20220417,PHX,NOP
1,Shot Chart Detail,0042100141,236,1626166,Cameron Payne,1610612756,Phoenix Suns,2,6,29,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,199,162,1,0,20220417,PHX,NOP
2,Shot Chart Detail,0042100141,455,1626166,Cameron Payne,1610612756,Phoenix Suns,3,4,24,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-115,232,1,0,20220417,PHX,NOP
3,Shot Chart Detail,0042100141,468,1626166,Cameron Payne,1610612756,Phoenix Suns,3,3,39,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,23,16,1,1,20220417,PHX,NOP
4,Shot Chart Detail,0042100141,496,1626166,Cameron Payne,1610612756,Phoenix Suns,3,1,15,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-21,27,1,0,20220417,PHX,NOP
5,Shot Chart Detail,0042100141,505,1626166,Cameron Payne,1610612756,Phoenix Suns,3,0,28,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,0,1,0,20220417,PHX,NOP
6,Shot Chart Detail,0042100142,126,1626166,Cameron Payne,1610612756,Phoenix Suns,1,2,30,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,56,263,1,0,20220419,PHX,NOP
7,Shot Chart Detail,0042100142,131,1626166,Cameron Payne,1610612756,Phoenix Suns,1,1,54,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-26,19,1,1,20220419,PHX,NOP
8,Shot Chart Detail,0042100142,165,1626166,Cameron Payne,1610612756,Phoenix Suns,2,10,59,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-5,19,1,1,20220419,PHX,NOP
9,Shot Chart Detail,0042100142,198,1626166,Cameron Payne,1610612756,Phoenix Suns,2,7,53,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,75,263,1,0,20220419,PHX,NOP
10,Shot Chart Detail,0042100142,445,1626166,Cameron Payne,1610612756,Phoenix Suns,3,3,1,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-16,15,1,0,20220419,PHX,NOP
11,Shot Chart Detail,0042100142,487,1626166,Cameron Payne,1610612756,Phoenix Suns,3,0,2,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,17,16,1,1,20220419,PHX,NOP
