,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0042100131,100,1628449,Chris Boucher,1610612761,Toronto Raptors,1,4,24,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-163,215,1,1,20220416,PHI,TOR
1,Shot Chart Detail,0042100131,147,1628449,Chris Boucher,1610612761,Toronto Raptors,1,0,29,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,13,1,1,20220416,PHI,TOR
2,Shot Chart Detail,0042100131,506,1628449,Chris Boucher,1610612761,Toronto Raptors,4,10,6,Made Shot,Tip Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,4,19,1,1,20220416,PHI,TOR
3,Shot Chart Detail,0042100132,131,1628449,Chris Boucher,1610612761,Toronto Raptors,1,2,10,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,17,12,1,1,20220418,PHI,TOR
4,Shot Chart Detail,0042100132,358,1628449,Chris Boucher,1610612761,Toronto Raptors,3,8,55,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,5,29,1,1,20220418,PHI,TOR
5,Shot Chart Detail,0042100132,368,1628449,Chris Boucher,1610612761,Toronto Raptors,3,7,51,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,125,220,1,0,20220418,PHI,TOR
6,Shot Chart Detail,0042100132,385,1628449,Chris Boucher,1610612761,Toronto Raptors,3,5,23,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,140,220,1,0,20220418,PHI,TOR
7,Shot Chart Detail,0042100132,417,1628449,Chris Boucher,1610612761,Toronto Raptors,3,3,7,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20220418,PHI,TOR
8,Shot Chart Detail,0042100132,479,1628449,Chris Boucher,1610612761,Toronto Raptors,4,10,35,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,4,31,1,0,20220418,PHI,TOR
9,Shot Chart Detail,0042100132,482,1628449,Chris Boucher,1610612761,Toronto Raptors,4,10,33,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,4,25,1,1,20220418,PHI,TOR
10,Shot Chart Detail,0042100132,500,1628449,Chris Boucher,1610612761,Toronto Raptors,4,9,2,Made Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20220418,PHI,TOR
11,Shot Chart Detail,0042100132,509,1628449,Chris Boucher,1610612761,Toronto Raptors,4,8,21,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,2,247,1,1,20220418,PHI,TOR
12,Shot Chart Detail,0042100132,528,1628449,Chris Boucher,1610612761,Toronto Raptors,4,5,47,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20,205,29,1,0,20220418,PHI,TOR
13,Shot Chart Detail,0042100132,541,1628449,Chris Boucher,1610612761,Toronto Raptors,4,4,49,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,26,-4,1,0,20220418,PHI,TOR
14,Shot Chart Detail,0042100132,556,1628449,Chris Boucher,1610612761,Toronto Raptors,4,4,2,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,0,1,1,20220418,PHI,TOR
15,Shot Chart Detail,0042100132,580,1628449,Chris Boucher,1610612761,Toronto Raptors,4,2,15,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,7,26,1,1,20220418,PHI,TOR
16,Shot Chart Detail,0042100133,100,1628449,Chris Boucher,1610612761,Toronto Raptors,1,3,52,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,-113,1,1,0,20220420,TOR,PHI
17,Shot Chart Detail,0042100133,137,1628449,Chris Boucher,1610612761,Toronto Raptors,1,1,28,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-230,12,1,1,20220420,TOR,PHI
18,Shot Chart Detail,0042100133,486,1628449,Chris Boucher,1610612761,Toronto Raptors,4,7,2,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-121,232,1,0,20220420,TOR,PHI
19,Shot Chart Detail,0042100134,174,1628449,Chris Boucher,1610612761,Toronto Raptors,2,9,34,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,4,-10,1,1,20220423,TOR,PHI
