,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0042100151,18,1626156,D'Angelo Russell,1610612750,Minnesota Timberwolves,1,11,17,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,4,1,1,20220416,MEM,MIN
1,Shot Chart Detail,0042100151,23,1626156,D'Angelo Russell,1610612750,Minnesota Timberwolves,1,10,44,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,6,122,1,0,20220416,MEM,MIN
2,Shot Chart Detail,0042100151,209,1626156,D'Angelo Russell,1610612750,Minnesota Timberwolves,2,11,23,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,49,111,1,0,20220416,MEM,MIN
3,Shot Chart Detail,0042100151,213,1626156,D'Angelo Russell,1610612750,Minnesota Timberwolves,2,11,7,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,12,90,1,0,20220416,MEM,MIN
4,Shot Chart Detail,0042100151,249,1626156,D'Angelo Russell,1610612750,Minnesota Timberwolves,2,9,13,Missed Shot,Step Back Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,14,65,128,1,0,20220416,MEM,MIN
5,Shot Chart Detail,0042100151,287,1626156,D'Angelo Russell,1610612750,Minnesota Timberwolves,2,6,39,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,26,42,1,0,20220416,MEM,MIN
6,Shot Chart Detail,0042100151,415,1626156,D'Angelo Russell,1610612750,Minnesota Timberwolves,3,10,48,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,-119,135,1,0,20220416,MEM,MIN
7,Shot Chart Detail,0042100151,431,1626156,D'Angelo Russell,1610612750,Minnesota Timberwolves,3,9,18,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,97,225,1,0,20220416,MEM,MIN
8,Shot Chart Detail,0042100151,495,1626156,D'Angelo Russell,1610612750,Minnesota Timberwolves,3,4,51,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,6,35,1,0,20220416,MEM,MIN
9,Shot Chart Detail,0042100151,525,1626156,D'Angelo Russell,1610612750,Minnesota Timberwolves,3,2,58,Missed Shot,Jump Bank Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-48,242,1,0,20220416,MEM,MIN
10,Shot Chart Detail,0042100151,656,1626156,D'Angelo Russell,1610612750,Minnesota Timberwolves,4,6,44,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-4,260,1,1,20220416,MEM,MIN
11,Shot Chart Detail,0042100152,15,1626156,D'Angelo Russell,1610612750,Minnesota Timberwolves,1,11,10,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,132,222,1,0,20220419,MEM,MIN
12,Shot Chart Detail,0042100152,57,1626156,D'Angelo Russell,1610612750,Minnesota Timberwolves,1,8,43,Made Shot,Fadeaway Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-1,267,1,1,20220419,MEM,MIN
13,Shot Chart Detail,0042100152,81,1626156,D'Angelo Russell,1610612750,Minnesota Timberwolves,1,7,5,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,235,-1,1,0,20220419,MEM,MIN
14,Shot Chart Detail,0042100152,390,1626156,D'Angelo Russell,1610612750,Minnesota Timberwolves,3,10,46,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,-61,157,1,1,20220419,MEM,MIN
