,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0042100171,214,202722,Davis Bertans,1610612742,Dallas Mavericks,2,6,29,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,48,246,1,1,20220416,DAL,UTA
1,Shot Chart Detail,0042100171,402,202722,Davis Bertans,1610612742,Dallas Mavericks,3,3,13,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,121,231,1,0,20220416,DAL,UTA
2,Shot Chart Detail,0042100171,472,202722,Davis Bertans,1610612742,Dallas Mavericks,4,11,13,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,70,253,1,0,20220416,DAL,UTA
3,Shot Chart Detail,0042100172,137,202722,Davis Bertans,1610612742,Dallas Mavericks,1,0,3,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-70,240,1,0,20220418,DAL,UTA
4,Shot Chart Detail,0042100173,155,202722,Davis Bertans,1610612742,Dallas Mavericks,1,0,33,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,225,73,1,0,20220421,UTA,DAL
5,Shot Chart Detail,0042100173,169,202722,Davis Bertans,1610612742,Dallas Mavericks,2,11,41,Made Shot,Jump Bank Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,186,164,1,1,20220421,UTA,DAL
6,Shot Chart Detail,0042100173,202,202722,Davis Bertans,1610612742,Dallas Mavericks,2,9,7,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,136,210,1,0,20220421,UTA,DAL
7,Shot Chart Detail,0042100173,334,202722,Davis Bertans,1610612742,Dallas Mavericks,2,0,55,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,230,-20,1,1,20220421,UTA,DAL
8,Shot Chart Detail,0042100173,340,202722,Davis Bertans,1610612742,Dallas Mavericks,2,0,31,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,232,-27,1,1,20220421,UTA,DAL
9,Shot Chart Detail,0042100173,488,202722,Davis Bertans,1610612742,Dallas Mavericks,3,3,6,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-138,232,1,1,20220421,UTA,DAL
10,Shot Chart Detail,0042100173,505,202722,Davis Bertans,1610612742,Dallas Mavericks,3,1,37,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-135,220,1,0,20220421,UTA,DAL
11,Shot Chart Detail,0042100174,151,202722,Davis Bertans,1610612742,Dallas Mavericks,1,0,23,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,28,-11,283,1,0,20220423,UTA,DAL
12,Shot Chart Detail,0042100174,259,202722,Davis Bertans,1610612742,Dallas Mavericks,2,5,38,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,225,6,1,0,20220423,UTA,DAL
13,Shot Chart Detail,0042100176,126,202722,Davis Bertans,1610612742,Dallas Mavericks,1,1,57,Missed Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-183,180,1,0,20220428,UTA,DAL
14,Shot Chart Detail,0042100221,152,202722,Davis Bertans,1610612742,Dallas Mavericks,2,11,48,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,211,120,1,0,20220502,PHX,DAL
