,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0042100101,31,1629631,De'Andre Hunter,1610612737,Atlanta Hawks,1,9,52,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-7,88,1,1,20220417,MIA,ATL
1,Shot Chart Detail,0042100101,88,1629631,De'Andre Hunter,1610612737,Atlanta Hawks,1,5,57,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,21,-22,211,1,0,20220417,MIA,ATL
2,Shot Chart Detail,0042100101,357,1629631,De'Andre Hunter,1610612737,Atlanta Hawks,3,11,18,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,152,4,1,0,20220417,MIA,ATL
3,Shot Chart Detail,0042100101,416,1629631,De'Andre Hunter,1610612737,Atlanta Hawks,3,6,10,Made Shot,Turnaround Fadeaway Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,40,30,1,1,20220417,MIA,ATL
4,Shot Chart Detail,0042100101,428,1629631,De'Andre Hunter,1610612737,Atlanta Hawks,3,5,22,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,243,15,1,1,20220417,MIA,ATL
5,Shot Chart Detail,0042100101,477,1629631,De'Andre Hunter,1610612737,Atlanta Hawks,3,1,38,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-239,14,1,1,20220417,MIA,ATL
6,Shot Chart Detail,0042100101,514,1629631,De'Andre Hunter,1610612737,Atlanta Hawks,4,11,45,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,-148,110,1,1,20220417,MIA,ATL
7,Shot Chart Detail,0042100101,572,1629631,De'Andre Hunter,1610612737,Atlanta Hawks,4,6,28,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,11,1,1,20220417,MIA,ATL
8,Shot Chart Detail,0042100102,42,1629631,De'Andre Hunter,1610612737,Atlanta Hawks,1,8,28,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-229,102,1,0,20220419,MIA,ATL
9,Shot Chart Detail,0042100102,62,1629631,De'Andre Hunter,1610612737,Atlanta Hawks,1,6,56,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,225,110,1,1,20220419,MIA,ATL
10,Shot Chart Detail,0042100102,71,1629631,De'Andre Hunter,1610612737,Atlanta Hawks,1,5,51,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-47,58,1,1,20220419,MIA,ATL
11,Shot Chart Detail,0042100102,143,1629631,De'Andre Hunter,1610612737,Atlanta Hawks,1,2,21,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-7,74,1,0,20220419,MIA,ATL
12,Shot Chart Detail,0042100102,160,1629631,De'Andre Hunter,1610612737,Atlanta Hawks,1,1,12,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,233,-9,1,0,20220419,MIA,ATL
13,Shot Chart Detail,0042100102,182,1629631,De'Andre Hunter,1610612737,Atlanta Hawks,1,0,0,Made Shot,Running Alley Oop Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-31,27,1,1,20220419,MIA,ATL
