,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0042100151,89,1629001,De'Anthony Melton,1610612763,Memphis Grizzlies,1,6,11,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-120,224,1,0,20220416,MEM,MIN
1,Shot Chart Detail,0042100151,181,1629001,De'Anthony Melton,1610612763,Memphis Grizzlies,1,0,40,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,9,1,1,20220416,MEM,MIN
2,Shot Chart Detail,0042100151,185,1629001,De'Anthony Melton,1610612763,Memphis Grizzlies,1,0,15,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-119,230,1,0,20220416,MEM,MIN
3,Shot Chart Detail,0042100151,548,1629001,De'Anthony Melton,1610612763,Memphis Grizzlies,3,0,54,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,148,217,1,0,20220416,MEM,MIN
4,Shot Chart Detail,0042100152,235,1629001,De'Anthony Melton,1610612763,Memphis Grizzlies,2,9,4,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-126,222,1,1,20220419,MEM,MIN
5,Shot Chart Detail,0042100152,270,1629001,De'Anthony Melton,1610612763,Memphis Grizzlies,2,6,52,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,109,225,1,0,20220419,MEM,MIN
6,Shot Chart Detail,0042100152,553,1629001,De'Anthony Melton,1610612763,Memphis Grizzlies,4,11,26,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,229,20,1,1,20220419,MEM,MIN
7,Shot Chart Detail,0042100152,570,1629001,De'Anthony Melton,1610612763,Memphis Grizzlies,4,10,2,Missed Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,142,209,1,0,20220419,MEM,MIN
8,Shot Chart Detail,0042100152,613,1629001,De'Anthony Melton,1610612763,Memphis Grizzlies,4,6,38,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-47,262,1,0,20220419,MEM,MIN
9,Shot Chart Detail,0042100152,671,1629001,De'Anthony Melton,1610612763,Memphis Grizzlies,4,3,35,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-26,27,1,0,20220419,MEM,MIN
10,Shot Chart Detail,0042100152,682,1629001,De'Anthony Melton,1610612763,Memphis Grizzlies,4,2,36,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,233,27,1,0,20220419,MEM,MIN
11,Shot Chart Detail,0042100152,702,1629001,De'Anthony Melton,1610612763,Memphis Grizzlies,4,1,5,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,22,95,1,0,20220419,MEM,MIN
12,Shot Chart Detail,0042100153,180,1629001,De'Anthony Melton,1610612763,Memphis Grizzlies,1,0,16,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,184,169,1,0,20220421,MIN,MEM
13,Shot Chart Detail,0042100153,232,1629001,De'Anthony Melton,1610612763,Memphis Grizzlies,2,8,20,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,167,190,1,0,20220421,MIN,MEM
14,Shot Chart Detail,0042100154,167,1629001,De'Anthony Melton,1610612763,Memphis Grizzlies,1,1,21,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,229,3,1,0,20220423,MIN,MEM
15,Shot Chart Detail,0042100154,236,1629001,De'Anthony Melton,1610612763,Memphis Grizzlies,2,9,28,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,28,145,1,0,20220423,MIN,MEM
16,Shot Chart Detail,0042100154,530,1629001,De'Anthony Melton,1610612763,Memphis Grizzlies,3,1,55,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,105,239,1,0,20220423,MIN,MEM
17,Shot Chart Detail,0042100154,555,1629001,De'Anthony Melton,1610612763,Memphis Grizzlies,3,0,52,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,183,172,1,0,20220423,MIN,MEM
18,Shot Chart Detail,0042100231,134,1629001,De'Anthony Melton,1610612763,Memphis Grizzlies,1,3,45,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-1,255,1,1,20220501,MEM,GSW
19,Shot Chart Detail,0042100231,150,1629001,De'Anthony Melton,1610612763,Memphis Grizzlies,1,2,40,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,229,32,1,0,20220501,MEM,GSW
20,Shot Chart Detail,0042100231,165,1629001,De'Anthony Melton,1610612763,Memphis Grizzlies,1,1,44,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-232,-7,1,1,20220501,MEM,GSW
21,Shot Chart Detail,0042100231,287,1629001,De'Anthony Melton,1610612763,Memphis Grizzlies,2,5,38,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,27,13,1,1,20220501,MEM,GSW
22,Shot Chart Detail,0042100231,312,1629001,De'Anthony Melton,1610612763,Memphis Grizzlies,2,4,2,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,5,-2,1,1,20220501,MEM,GSW
23,Shot Chart Detail,0042100231,339,1629001,De'Anthony Melton,1610612763,Memphis Grizzlies,2,2,44,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,87,242,1,0,20220501,MEM,GSW
24,Shot Chart Detail,0042100231,500,1629001,De'Anthony Melton,1610612763,Memphis Grizzlies,3,3,54,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,119,238,1,1,20220501,MEM,GSW
