,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0042100121,16,201942,DeMar DeRozan,1610612741,Chicago Bulls,1,10,56,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,72,148,1,0,20220417,MIL,CHI
1,Shot Chart Detail,0042100121,19,201942,DeMar DeRozan,1610612741,Chicago Bulls,1,10,34,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,-10,200,1,0,20220417,MIL,CHI
2,Shot Chart Detail,0042100121,29,201942,DeMar DeRozan,1610612741,Chicago Bulls,1,9,10,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,22,-59,219,1,1,20220417,MIL,CHI
3,Shot Chart Detail,0042100121,89,201942,DeMar DeRozan,1610612741,Chicago Bulls,1,4,37,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,14,74,121,1,1,20220417,MIL,CHI
4,Shot Chart Detail,0042100121,92,201942,DeMar DeRozan,1610612741,Chicago Bulls,1,4,7,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,-93,178,1,0,20220417,MIL,CHI
5,Shot Chart Detail,0042100121,97,201942,DeMar DeRozan,1610612741,Chicago Bulls,1,3,21,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,234,48,1,0,20220417,MIL,CHI
6,Shot Chart Detail,0042100121,183,201942,DeMar DeRozan,1610612741,Chicago Bulls,2,10,9,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,-16,192,1,1,20220417,MIL,CHI
7,Shot Chart Detail,0042100121,191,201942,DeMar DeRozan,1610612741,Chicago Bulls,2,9,39,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,-1,179,1,1,20220417,MIL,CHI
8,Shot Chart Detail,0042100121,230,201942,DeMar DeRozan,1610612741,Chicago Bulls,2,7,50,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-20,184,1,0,20220417,MIL,CHI
9,Shot Chart Detail,0042100121,269,201942,DeMar DeRozan,1610612741,Chicago Bulls,2,5,29,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,-20,197,1,0,20220417,MIL,CHI
10,Shot Chart Detail,0042100121,304,201942,DeMar DeRozan,1610612741,Chicago Bulls,2,2,58,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,12,66,101,1,0,20220417,MIL,CHI
11,Shot Chart Detail,0042100121,306,201942,DeMar DeRozan,1610612741,Chicago Bulls,2,2,42,Missed Shot,Turnaround Fadeaway Bank Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,-104,98,1,0,20220417,MIL,CHI
12,Shot Chart Detail,0042100121,362,201942,DeMar DeRozan,1610612741,Chicago Bulls,3,11,22,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,-33,107,1,1,20220417,MIL,CHI
13,Shot Chart Detail,0042100121,374,201942,DeMar DeRozan,1610612741,Chicago Bulls,3,9,46,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,102,-1,1,0,20220417,MIL,CHI
