,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0042100121,582,1627884,Derrick Jones Jr.,1610612741,Chicago Bulls,4,8,1,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-225,0,1,0,20220417,MIL,CHI
1,Shot Chart Detail,0042100122,114,1627884,Derrick Jones Jr.,1610612741,Chicago Bulls,1,1,30,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,221,140,1,1,20220420,MIL,CHI
2,Shot Chart Detail,0042100123,420,1627884,Derrick Jones Jr.,1610612741,Chicago Bulls,3,1,7,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,222,14,1,0,20220422,CHI,MIL
3,Shot Chart Detail,0042100123,583,1627884,Derrick Jones Jr.,1610612741,Chicago Bulls,4,2,10,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20220422,CHI,MIL
4,Shot Chart Detail,0042100124,152,1627884,Derrick Jones Jr.,1610612741,Chicago Bulls,2,11,36,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-27,4,1,0,20220424,CHI,MIL
5,Shot Chart Detail,0042100124,160,1627884,Derrick Jones Jr.,1610612741,Chicago Bulls,2,11,13,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,5,1,1,20220424,CHI,MIL
6,Shot Chart Detail,0042100124,197,1627884,Derrick Jones Jr.,1610612741,Chicago Bulls,2,7,42,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-232,10,1,1,20220424,CHI,MIL
7,Shot Chart Detail,0042100124,201,1627884,Derrick Jones Jr.,1610612741,Chicago Bulls,2,7,23,Missed Shot,Pullup Jump shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,228,58,1,0,20220424,CHI,MIL
8,Shot Chart Detail,0042100124,424,1627884,Derrick Jones Jr.,1610612741,Chicago Bulls,3,4,6,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,229,-1,1,0,20220424,CHI,MIL
9,Shot Chart Detail,0042100125,112,1627884,Derrick Jones Jr.,1610612741,Chicago Bulls,1,2,49,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,232,101,1,1,20220427,MIL,CHI
10,Shot Chart Detail,0042100125,137,1627884,Derrick Jones Jr.,1610612741,Chicago Bulls,1,1,14,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,15,21,1,1,20220427,MIL,CHI
11,Shot Chart Detail,0042100125,141,1627884,Derrick Jones Jr.,1610612741,Chicago Bulls,1,0,37,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-233,26,1,0,20220427,MIL,CHI
12,Shot Chart Detail,0042100125,273,1627884,Derrick Jones Jr.,1610612741,Chicago Bulls,2,3,16,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,230,69,1,0,20220427,MIL,CHI
13,Shot Chart Detail,0042100125,277,1627884,Derrick Jones Jr.,1610612741,Chicago Bulls,2,2,49,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,241,63,1,0,20220427,MIL,CHI
14,Shot Chart Detail,0042100125,413,1627884,Derrick Jones Jr.,1610612741,Chicago Bulls,3,5,1,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,232,42,1,0,20220427,MIL,CHI
15,Shot Chart Detail,0042100125,431,1627884,Derrick Jones Jr.,1610612741,Chicago Bulls,3,3,56,Missed Shot,Cutting Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-28,74,1,0,20220427,MIL,CHI
16,Shot Chart Detail,0042100125,622,1627884,Derrick Jones Jr.,1610612741,Chicago Bulls,4,2,41,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,15,1,1,20220427,MIL,CHI
