,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0042100171,21,1628378,Donovan Mitchell,1610612762,Utah Jazz,1,10,12,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-23,254,1,0,20220416,DAL,UTA
1,Shot Chart Detail,0042100171,25,1628378,Donovan Mitchell,1610612762,Utah Jazz,1,9,41,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,-97,57,1,0,20220416,DAL,UTA
2,Shot Chart Detail,0042100171,33,1628378,Donovan Mitchell,1610612762,Utah Jazz,1,8,46,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,10,1,0,20220416,DAL,UTA
3,Shot Chart Detail,0042100171,83,1628378,Donovan Mitchell,1610612762,Utah Jazz,1,3,58,Missed Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,12,25,1,0,20220416,DAL,UTA
4,Shot Chart Detail,0042100171,194,1628378,Donovan Mitchell,1610612762,Utah Jazz,2,8,21,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,-93,112,1,0,20220416,DAL,UTA
5,Shot Chart Detail,0042100171,228,1628378,Donovan Mitchell,1610612762,Utah Jazz,2,5,40,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,37,37,1,0,20220416,DAL,UTA
6,Shot Chart Detail,0042100171,233,1628378,Donovan Mitchell,1610612762,Utah Jazz,2,5,19,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-16,106,1,1,20220416,DAL,UTA
7,Shot Chart Detail,0042100171,260,1628378,Donovan Mitchell,1610612762,Utah Jazz,2,3,20,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,30,104,289,1,0,20220416,DAL,UTA
8,Shot Chart Detail,0042100171,280,1628378,Donovan Mitchell,1610612762,Utah Jazz,2,0,49,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-34,52,1,0,20220416,DAL,UTA
9,Shot Chart Detail,0042100171,298,1628378,Donovan Mitchell,1610612762,Utah Jazz,3,11,21,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,-90,128,1,1,20220416,DAL,UTA
10,Shot Chart Detail,0042100171,305,1628378,Donovan Mitchell,1610612762,Utah Jazz,3,10,1,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-5,14,1,1,20220416,DAL,UTA
11,Shot Chart Detail,0042100171,308,1628378,Donovan Mitchell,1610612762,Utah Jazz,3,9,30,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,149,111,1,0,20220416,DAL,UTA
12,Shot Chart Detail,0042100171,334,1628378,Donovan Mitchell,1610612762,Utah Jazz,3,7,57,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-13,32,1,1,20220416,DAL,UTA
13,Shot Chart Detail,0042100171,344,1628378,Donovan Mitchell,1610612762,Utah Jazz,3,7,17,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,13,252,1,0,20220416,DAL,UTA
14,Shot Chart Detail,0042100171,348,1628378,Donovan Mitchell,1610612762,Utah Jazz,3,6,31,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,174,192,1,1,20220416,DAL,UTA
15,Shot Chart Detail,0042100171,362,1628378,Donovan Mitchell,1610612762,Utah Jazz,3,5,44,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-1,129,1,0,20220416,DAL,UTA
16,Shot Chart Detail,0042100171,368,1628378,Donovan Mitchell,1610612762,Utah Jazz,3,5,14,Missed Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,158,213,1,0,20220416,DAL,UTA
17,Shot Chart Detail,0042100171,372,1628378,Donovan Mitchell,1610612762,Utah Jazz,3,4,53,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-4,22,1,1,20220416,DAL,UTA
18,Shot Chart Detail,0042100171,384,1628378,Donovan Mitchell,1610612762,Utah Jazz,3,4,5,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,18,13,1,0,20220416,DAL,UTA
19,Shot Chart Detail,0042100171,395,1628378,Donovan Mitchell,1610612762,Utah Jazz,3,3,36,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,5,1,1,20220416,DAL,UTA
20,Shot Chart Detail,0042100171,404,1628378,Donovan Mitchell,1610612762,Utah Jazz,3,2,50,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,4,25,1,1,20220416,DAL,UTA
21,Shot Chart Detail,0042100171,432,1628378,Donovan Mitchell,1610612762,Utah Jazz,3,1,54,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,25,26,1,0,20220416,DAL,UTA
22,Shot Chart Detail,0042100171,512,1628378,Donovan Mitchell,1610612762,Utah Jazz,4,8,42,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,-97,172,1,0,20220416,DAL,UTA
23,Shot Chart Detail,0042100171,521,1628378,Donovan Mitchell,1610612762,Utah Jazz,4,8,4,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-124,234,1,1,20220416,DAL,UTA
