,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0042100161,85,203110,Draymond Green,1610612744,Golden State Warriors,1,3,53,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-18,26,1,1,20220416,GSW,DEN
1,Shot Chart Detail,0042100161,343,203110,Draymond Green,1610612744,Golden State Warriors,3,9,48,Made Shot,Cutting Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-40,26,1,1,20220416,GSW,DEN
2,Shot Chart Detail,0042100161,416,203110,Draymond Green,1610612744,Golden State Warriors,3,5,17,Made Shot,Cutting Dunk Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-42,17,1,1,20220416,GSW,DEN
3,Shot Chart Detail,0042100161,431,203110,Draymond Green,1610612744,Golden State Warriors,3,4,6,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-22,78,1,0,20220416,GSW,DEN
4,Shot Chart Detail,0042100161,450,203110,Draymond Green,1610612744,Golden State Warriors,3,2,56,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-26,251,1,0,20220416,GSW,DEN
5,Shot Chart Detail,0042100161,470,203110,Draymond Green,1610612744,Golden State Warriors,3,1,47,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,51,271,1,1,20220416,GSW,DEN
6,Shot Chart Detail,0042100161,597,203110,Draymond Green,1610612744,Golden State Warriors,4,5,14,Made Shot,Cutting Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,42,14,1,1,20220416,GSW,DEN
7,Shot Chart Detail,0042100162,15,203110,Draymond Green,1610612744,Golden State Warriors,1,10,55,Missed Shot,Reverse Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,50,7,1,0,20220418,GSW,DEN
8,Shot Chart Detail,0042100162,44,203110,Draymond Green,1610612744,Golden State Warriors,1,9,15,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-189,180,1,0,20220418,GSW,DEN
9,Shot Chart Detail,0042100162,65,203110,Draymond Green,1610612744,Golden State Warriors,1,6,57,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-17,262,1,0,20220418,GSW,DEN
10,Shot Chart Detail,0042100162,402,203110,Draymond Green,1610612744,Golden State Warriors,3,8,40,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,48,251,1,1,20220418,GSW,DEN
11,Shot Chart Detail,0042100162,615,203110,Draymond Green,1610612744,Golden State Warriors,4,6,5,Made Shot,Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,-53,63,1,1,20220418,GSW,DEN
12,Shot Chart Detail,0042100163,27,203110,Draymond Green,1610612744,Golden State Warriors,1,9,26,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-5,252,1,1,20220421,DEN,GSW
13,Shot Chart Detail,0042100163,38,203110,Draymond Green,1610612744,Golden State Warriors,1,8,14,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,9,252,1,0,20220421,DEN,GSW
14,Shot Chart Detail,0042100163,59,203110,Draymond Green,1610612744,Golden State Warriors,1,6,2,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-25,27,1,1,20220421,DEN,GSW
15,Shot Chart Detail,0042100163,359,203110,Draymond Green,1610612744,Golden State Warriors,3,9,26,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,234,15,1,0,20220421,DEN,GSW
16,Shot Chart Detail,0042100163,458,203110,Draymond Green,1610612744,Golden State Warriors,3,1,52,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-25,15,1,0,20220421,DEN,GSW
17,Shot Chart Detail,0042100163,587,203110,Draymond Green,1610612744,Golden State Warriors,4,7,38,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,-50,102,1,0,20220421,DEN,GSW
18,Shot Chart Detail,0042100164,38,203110,Draymond Green,1610612744,Golden State Warriors,1,9,18,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,228,16,1,0,20220424,DEN,GSW
19,Shot Chart Detail,0042100164,341,203110,Draymond Green,1610612744,Golden State Warriors,2,2,46,Made Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,47,15,1,1,20220424,DEN,GSW
20,Shot Chart Detail,0042100164,441,203110,Draymond Green,1610612744,Golden State Warriors,3,8,24,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,7,1,1,20220424,DEN,GSW
21,Shot Chart Detail,0042100164,492,203110,Draymond Green,1610612744,Golden State Warriors,3,4,54,Made Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-25,62,1,1,20220424,DEN,GSW
22,Shot Chart Detail,0042100164,547,203110,Draymond Green,1610612744,Golden State Warriors,3,1,55,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,31,11,1,1,20220424,DEN,GSW
23,Shot Chart Detail,0042100164,648,203110,Draymond Green,1610612744,Golden State Warriors,4,7,53,Made Shot,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,4,36,1,1,20220424,DEN,GSW
24,Shot Chart Detail,0042100165,42,203110,Draymond Green,1610612744,Golden State Warriors,1,9,0,Made Shot,Cutting Dunk Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-18,39,1,1,20220427,GSW,DEN
25,Shot Chart Detail,0042100165,95,203110,Draymond Green,1610612744,Golden State Warriors,1,4,52,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-6,75,1,0,20220427,GSW,DEN
26,Shot Chart Detail,0042100165,103,203110,Draymond Green,1610612744,Golden State Warriors,1,4,31,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,1,86,1,0,20220427,GSW,DEN
27,Shot Chart Detail,0042100165,199,203110,Draymond Green,1610612744,Golden State Warriors,2,10,34,Missed Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-6,38,1,0,20220427,GSW,DEN
28,Shot Chart Detail,0042100165,293,203110,Draymond Green,1610612744,Golden State Warriors,2,4,41,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,15,68,1,0,20220427,GSW,DEN
29,Shot Chart Detail,0042100165,334,203110,Draymond Green,1610612744,Golden State Warriors,2,1,31,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,234,6,1,0,20220427,GSW,DEN
30,Shot Chart Detail,0042100165,420,203110,Draymond Green,1610612744,Golden State Warriors,3,7,43,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,29,26,1,1,20220427,GSW,DEN
31,Shot Chart Detail,0042100165,424,203110,Draymond Green,1610612744,Golden State Warriors,3,7,14,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,40,21,1,0,20220427,GSW,DEN
32,Shot Chart Detail,0042100165,439,203110,Draymond Green,1610612744,Golden State Warriors,3,6,20,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,42,257,1,1,20220427,GSW,DEN
33,Shot Chart Detail,0042100165,547,203110,Draymond Green,1610612744,Golden State Warriors,4,9,59,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,7,32,1,1,20220427,GSW,DEN
34,Shot Chart Detail,0042100231,54,203110,Draymond Green,1610612744,Golden State Warriors,1,8,10,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,-48,75,1,0,20220501,MEM,GSW
35,Shot Chart Detail,0042100231,121,203110,Draymond Green,1610612744,Golden State Warriors,1,4,29,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,7,18,1,1,20220501,MEM,GSW
36,Shot Chart Detail,0042100231,330,203110,Draymond Green,1610612744,Golden State Warriors,2,2,49,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,21,15,1,1,20220501,MEM,GSW
37,Shot Chart Detail,0042100232,210,203110,Draymond Green,1610612744,Golden State Warriors,2,9,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,164,195,1,0,20220503,MEM,GSW
38,Shot Chart Detail,0042100232,404,203110,Draymond Green,1610612744,Golden State Warriors,3,10,33,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,2,51,1,1,20220503,MEM,GSW
39,Shot Chart Detail,0042100232,407,203110,Draymond Green,1610612744,Golden State Warriors,3,10,12,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,9,1,1,20220503,MEM,GSW
40,Shot Chart Detail,0042100232,457,203110,Draymond Green,1610612744,Golden State Warriors,3,6,46,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-6,68,1,0,20220503,MEM,GSW
41,Shot Chart Detail,0042100232,704,203110,Draymond Green,1610612744,Golden State Warriors,4,0,40,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,10,1,1,20220503,MEM,GSW
42,Shot Chart Detail,0042100233,14,203110,Draymond Green,1610612744,Golden State Warriors,1,11,1,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-28,30,1,0,20220507,GSW,MEM
43,Shot Chart Detail,0042100233,80,203110,Draymond Green,1610612744,Golden State Warriors,1,5,36,Made Shot,Cutting Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,43,22,1,1,20220507,GSW,MEM
44,Shot Chart Detail,0042100233,364,203110,Draymond Green,1610612744,Golden State Warriors,3,9,16,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,-28,111,1,1,20220507,GSW,MEM
45,Shot Chart Detail,0042100234,33,203110,Draymond Green,1610612744,Golden State Warriors,1,9,16,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,51,25,1,1,20220509,GSW,MEM
46,Shot Chart Detail,0042100234,219,203110,Draymond Green,1610612744,Golden State Warriors,2,7,39,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-13,35,1,0,20220509,GSW,MEM
47,Shot Chart Detail,0042100235,11,203110,Draymond Green,1610612744,Golden State Warriors,1,11,15,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,76,244,1,0,20220511,MEM,GSW
48,Shot Chart Detail,0042100235,15,203110,Draymond Green,1610612744,Golden State Warriors,1,10,48,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,1,117,1,1,20220511,MEM,GSW
49,Shot Chart Detail,0042100235,77,203110,Draymond Green,1610612744,Golden State Warriors,1,5,32,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,4,1,1,20220511,MEM,GSW
50,Shot Chart Detail,0042100235,355,203110,Draymond Green,1610612744,Golden State Warriors,2,0,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,30,142,275,1,0,20220511,MEM,GSW
51,Shot Chart Detail,0042100236,23,203110,Draymond Green,1610612744,Golden State Warriors,1,9,50,Made Shot,Running Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-39,22,1,1,20220513,GSW,MEM
52,Shot Chart Detail,0042100236,43,203110,Draymond Green,1610612744,Golden State Warriors,1,8,23,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,37,14,1,1,20220513,GSW,MEM
53,Shot Chart Detail,0042100236,65,203110,Draymond Green,1610612744,Golden State Warriors,1,6,39,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-175,195,1,0,20220513,GSW,MEM
54,Shot Chart Detail,0042100236,75,203110,Draymond Green,1610612744,Golden State Warriors,1,5,48,Missed Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,55,35,1,0,20220513,GSW,MEM
55,Shot Chart Detail,0042100236,189,203110,Draymond Green,1610612744,Golden State Warriors,2,10,11,Missed Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-51,31,1,0,20220513,GSW,MEM
56,Shot Chart Detail,0042100236,284,203110,Draymond Green,1610612744,Golden State Warriors,2,4,12,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-31,22,1,1,20220513,GSW,MEM
57,Shot Chart Detail,0042100236,364,203110,Draymond Green,1610612744,Golden State Warriors,3,11,40,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,131,235,1,0,20220513,GSW,MEM
58,Shot Chart Detail,0042100236,435,203110,Draymond Green,1610612744,Golden State Warriors,3,6,3,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,10,-70,81,1,1,20220513,GSW,MEM
59,Shot Chart Detail,0042100236,584,203110,Draymond Green,1610612744,Golden State Warriors,4,7,48,Missed Shot,Cutting Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-47,12,1,0,20220513,GSW,MEM
60,Shot Chart Detail,0042100236,587,203110,Draymond Green,1610612744,Golden State Warriors,4,7,37,Made Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-37,27,1,1,20220513,GSW,MEM
61,Shot Chart Detail,0042100236,613,203110,Draymond Green,1610612744,Golden State Warriors,4,5,4,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-6,37,1,1,20220513,GSW,MEM
62,Shot Chart Detail,0042100236,620,203110,Draymond Green,1610612744,Golden State Warriors,4,4,28,Missed Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-23,33,1,0,20220513,GSW,MEM
63,Shot Chart Detail,0042100236,645,203110,Draymond Green,1610612744,Golden State Warriors,4,4,25,Missed Shot,Tip Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-10,46,1,0,20220513,GSW,MEM
64,Shot Chart Detail,0042100236,638,203110,Draymond Green,1610612744,Golden State Warriors,4,2,19,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,172,196,1,0,20220513,GSW,MEM
65,Shot Chart Detail,0042100311,24,203110,Draymond Green,1610612744,Golden State Warriors,1,9,42,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,1,130,1,1,20220518,GSW,DAL
66,Shot Chart Detail,0042100311,91,203110,Draymond Green,1610612744,Golden State Warriors,1,4,29,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-233,53,1,0,20220518,GSW,DAL
67,Shot Chart Detail,0042100311,236,203110,Draymond Green,1610612744,Golden State Warriors,2,5,37,Made Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,42,42,1,1,20220518,GSW,DAL
68,Shot Chart Detail,0042100311,327,203110,Draymond Green,1610612744,Golden State Warriors,3,11,45,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,22,1,0,20220518,GSW,DAL
