,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0042100135,594,1627788,Furkan Korkmaz,1610612755,Philadelphia 76ers,4,0,16,Made Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,134,242,1,1,20220425,PHI,TOR
1,Shot Chart Detail,0042100201,528,1627788,Furkan Korkmaz,1610612755,Philadelphia 76ers,4,8,34,Missed Shot,Step Back Jump shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,229,43,1,0,20220502,MIA,PHI
2,Shot Chart Detail,0042100201,601,1627788,Furkan Korkmaz,1610612755,Philadelphia 76ers,4,4,10,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,-152,24,1,1,20220502,MIA,PHI
3,Shot Chart Detail,0042100201,604,1627788,Furkan Korkmaz,1610612755,Philadelphia 76ers,4,3,45,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,5,1,1,20220502,MIA,PHI
4,Shot Chart Detail,0042100201,614,1627788,Furkan Korkmaz,1610612755,Philadelphia 76ers,4,2,45,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,-96,104,1,0,20220502,MIA,PHI
5,Shot Chart Detail,0042100201,628,1627788,Furkan Korkmaz,1610612755,Philadelphia 76ers,4,1,31,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,141,218,1,1,20220502,MIA,PHI
6,Shot Chart Detail,0042100202,157,1627788,Furkan Korkmaz,1610612755,Philadelphia 76ers,2,11,28,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,132,233,1,1,20220504,MIA,PHI
7,Shot Chart Detail,0042100202,175,1627788,Furkan Korkmaz,1610612755,Philadelphia 76ers,2,9,31,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,12,1,1,20220504,MIA,PHI
8,Shot Chart Detail,0042100202,374,1627788,Furkan Korkmaz,1610612755,Philadelphia 76ers,3,6,2,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-18,17,1,0,20220504,MIA,PHI
9,Shot Chart Detail,0042100202,400,1627788,Furkan Korkmaz,1610612755,Philadelphia 76ers,3,4,27,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-234,-5,1,1,20220504,MIA,PHI
10,Shot Chart Detail,0042100202,406,1627788,Furkan Korkmaz,1610612755,Philadelphia 76ers,3,3,47,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,12,51,1,0,20220504,MIA,PHI
11,Shot Chart Detail,0042100202,445,1627788,Furkan Korkmaz,1610612755,Philadelphia 76ers,3,1,28,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-232,26,1,0,20220504,MIA,PHI
12,Shot Chart Detail,0042100202,555,1627788,Furkan Korkmaz,1610612755,Philadelphia 76ers,4,6,7,Missed Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-7,11,1,0,20220504,MIA,PHI
13,Shot Chart Detail,0042100202,569,1627788,Furkan Korkmaz,1610612755,Philadelphia 76ers,4,4,30,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-237,-5,1,0,20220504,MIA,PHI
14,Shot Chart Detail,0042100205,520,1627788,Furkan Korkmaz,1610612755,Philadelphia 76ers,4,7,2,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,143,215,1,0,20220510,MIA,PHI
