,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0042100131,51,1629018,Gary Trent Jr.,1610612761,Toronto Raptors,1,7,59,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,165,212,1,0,20220416,PHI,TOR
1,Shot Chart Detail,0042100131,62,1629018,Gary Trent Jr.,1610612761,Toronto Raptors,1,6,52,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,-12,173,1,0,20220416,PHI,TOR
2,Shot Chart Detail,0042100131,217,1629018,Gary Trent Jr.,1610612761,Toronto Raptors,2,6,40,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-15,65,1,0,20220416,PHI,TOR
3,Shot Chart Detail,0042100131,249,1629018,Gary Trent Jr.,1610612761,Toronto Raptors,2,5,17,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,-37,273,1,0,20220416,PHI,TOR
4,Shot Chart Detail,0042100131,253,1629018,Gary Trent Jr.,1610612761,Toronto Raptors,2,4,41,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,185,206,1,0,20220416,PHI,TOR
5,Shot Chart Detail,0042100131,326,1629018,Gary Trent Jr.,1610612761,Toronto Raptors,3,10,33,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-124,222,1,0,20220416,PHI,TOR
6,Shot Chart Detail,0042100131,346,1629018,Gary Trent Jr.,1610612761,Toronto Raptors,3,9,27,Missed Shot,Floating Jump shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,18,8,1,0,20220416,PHI,TOR
7,Shot Chart Detail,0042100131,350,1629018,Gary Trent Jr.,1610612761,Toronto Raptors,3,9,3,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,238,-17,1,1,20220416,PHI,TOR
8,Shot Chart Detail,0042100131,469,1629018,Gary Trent Jr.,1610612761,Toronto Raptors,3,0,26,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,240,-20,1,1,20220416,PHI,TOR
9,Shot Chart Detail,0042100131,543,1629018,Gary Trent Jr.,1610612761,Toronto Raptors,4,7,55,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,5,104,1,0,20220416,PHI,TOR
