,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0042100131,98,1627777,Georges Niang,1610612755,Philadelphia 76ers,1,4,38,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-232,29,1,1,20220416,PHI,TOR
1,Shot Chart Detail,0042100131,145,1627777,Georges Niang,1610612755,Philadelphia 76ers,1,0,40,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,-5,1,1,20220416,PHI,TOR
2,Shot Chart Detail,0042100131,531,1627777,Georges Niang,1610612755,Philadelphia 76ers,4,8,47,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-152,221,1,1,20220416,PHI,TOR
3,Shot Chart Detail,0042100131,540,1627777,Georges Niang,1610612755,Philadelphia 76ers,4,8,6,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,232,33,1,0,20220416,PHI,TOR
4,Shot Chart Detail,0042100132,119,1627777,Georges Niang,1610612755,Philadelphia 76ers,1,3,8,Made Shot,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,31,-5,1,1,20220418,PHI,TOR
5,Shot Chart Detail,0042100132,152,1627777,Georges Niang,1610612755,Philadelphia 76ers,1,0,46,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,13,261,1,1,20220418,PHI,TOR
6,Shot Chart Detail,0042100132,419,1627777,Georges Niang,1610612755,Philadelphia 76ers,3,2,42,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,124,256,1,0,20220418,PHI,TOR
7,Shot Chart Detail,0042100133,102,1627777,Georges Niang,1610612755,Philadelphia 76ers,1,3,33,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,233,16,1,1,20220420,TOR,PHI
8,Shot Chart Detail,0042100133,143,1627777,Georges Niang,1610612755,Philadelphia 76ers,1,0,44,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,167,195,1,1,20220420,TOR,PHI
9,Shot Chart Detail,0042100133,382,1627777,Georges Niang,1610612755,Philadelphia 76ers,3,2,42,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-44,254,1,1,20220420,TOR,PHI
10,Shot Chart Detail,0042100133,484,1627777,Georges Niang,1610612755,Philadelphia 76ers,4,7,24,Missed Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,-148,200,1,0,20220420,TOR,PHI
11,Shot Chart Detail,0042100134,142,1627777,Georges Niang,1610612755,Philadelphia 76ers,1,0,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,28,-199,208,1,0,20220423,TOR,PHI
