,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0042100111,158,201609,Goran Dragic,1610612751,Brooklyn Nets,1,1,57,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,-172,30,1,1,20220417,BOS,BKN
1,Shot Chart Detail,0042100111,161,201609,Goran Dragic,1610612751,Brooklyn Nets,1,1,31,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,92,232,1,0,20220417,BOS,BKN
2,Shot Chart Detail,0042100111,227,201609,Goran Dragic,1610612751,Brooklyn Nets,2,10,29,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,29,56,1,1,20220417,BOS,BKN
3,Shot Chart Detail,0042100111,320,201609,Goran Dragic,1610612751,Brooklyn Nets,2,3,38,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,-32,162,1,1,20220417,BOS,BKN
4,Shot Chart Detail,0042100111,333,201609,Goran Dragic,1610612751,Brooklyn Nets,2,1,57,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,101,114,1,1,20220417,BOS,BKN
5,Shot Chart Detail,0042100111,343,201609,Goran Dragic,1610612751,Brooklyn Nets,2,1,6,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,27,63,1,1,20220417,BOS,BKN
6,Shot Chart Detail,0042100111,465,201609,Goran Dragic,1610612751,Brooklyn Nets,3,4,25,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,228,50,1,1,20220417,BOS,BKN
7,Shot Chart Detail,0042100111,523,201609,Goran Dragic,1610612751,Brooklyn Nets,3,0,0,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,-181,20,1,0,20220417,BOS,BKN
8,Shot Chart Detail,0042100111,571,201609,Goran Dragic,1610612751,Brooklyn Nets,4,8,20,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-15,18,1,0,20220417,BOS,BKN
9,Shot Chart Detail,0042100111,604,201609,Goran Dragic,1610612751,Brooklyn Nets,4,5,57,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,26,81,1,0,20220417,BOS,BKN
