,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0042100141,29,1630529,Herbert Jones,1610612740,New Orleans Pelicans,1,10,5,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,31,20,1,0,20220417,PHX,NOP
1,Shot Chart Detail,0042100141,60,1630529,Herbert Jones,1610612740,New Orleans Pelicans,1,7,50,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,21,-208,40,1,0,20220417,PHX,NOP
2,Shot Chart Detail,0042100141,111,1630529,Herbert Jones,1610612740,New Orleans Pelicans,1,4,7,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,249,-3,1,1,20220417,PHX,NOP
3,Shot Chart Detail,0042100141,277,1630529,Herbert Jones,1610612740,New Orleans Pelicans,2,4,9,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,120,233,1,0,20220417,PHX,NOP
4,Shot Chart Detail,0042100141,318,1630529,Herbert Jones,1610612740,New Orleans Pelicans,2,1,11,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,6,62,1,0,20220417,PHX,NOP
5,Shot Chart Detail,0042100141,390,1630529,Herbert Jones,1610612740,New Orleans Pelicans,3,9,20,Made Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,3,-4,1,1,20220417,PHX,NOP
6,Shot Chart Detail,0042100141,457,1630529,Herbert Jones,1610612740,New Orleans Pelicans,3,4,9,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,1,87,1,0,20220417,PHX,NOP
7,Shot Chart Detail,0042100141,589,1630529,Herbert Jones,1610612740,New Orleans Pelicans,4,6,9,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-10,32,1,0,20220417,PHX,NOP
8,Shot Chart Detail,0042100142,86,1630529,Herbert Jones,1610612740,New Orleans Pelicans,1,4,58,Missed Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,23,79,1,0,20220419,PHX,NOP
9,Shot Chart Detail,0042100142,110,1630529,Herbert Jones,1610612740,New Orleans Pelicans,1,3,30,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,243,-18,1,1,20220419,PHX,NOP
10,Shot Chart Detail,0042100142,249,1630529,Herbert Jones,1610612740,New Orleans Pelicans,2,4,14,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,238,57,1,1,20220419,PHX,NOP
11,Shot Chart Detail,0042100142,260,1630529,Herbert Jones,1610612740,New Orleans Pelicans,2,3,28,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,237,0,1,0,20220419,PHX,NOP
12,Shot Chart Detail,0042100142,355,1630529,Herbert Jones,1610612740,New Orleans Pelicans,3,9,18,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,16,9,1,1,20220419,PHX,NOP
13,Shot Chart Detail,0042100142,396,1630529,Herbert Jones,1610612740,New Orleans Pelicans,3,5,42,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-33,8,1,0,20220419,PHX,NOP
14,Shot Chart Detail,0042100142,398,1630529,Herbert Jones,1610612740,New Orleans Pelicans,3,5,37,Made Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-40,17,1,1,20220419,PHX,NOP
15,Shot Chart Detail,0042100142,590,1630529,Herbert Jones,1610612740,New Orleans Pelicans,4,3,17,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,11,1,1,20220419,PHX,NOP
16,Shot Chart Detail,0042100143,63,1630529,Herbert Jones,1610612740,New Orleans Pelicans,1,6,29,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-27,11,1,1,20220422,NOP,PHX
17,Shot Chart Detail,0042100143,114,1630529,Herbert Jones,1610612740,New Orleans Pelicans,1,2,38,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-17,19,1,1,20220422,NOP,PHX
18,Shot Chart Detail,0042100143,371,1630529,Herbert Jones,1610612740,New Orleans Pelicans,3,10,48,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-7,41,1,1,20220422,NOP,PHX
19,Shot Chart Detail,0042100143,390,1630529,Herbert Jones,1610612740,New Orleans Pelicans,3,9,26,Missed Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,29,36,1,0,20220422,NOP,PHX
20,Shot Chart Detail,0042100143,401,1630529,Herbert Jones,1610612740,New Orleans Pelicans,3,7,59,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,27,74,1,1,20220422,NOP,PHX
21,Shot Chart Detail,0042100143,441,1630529,Herbert Jones,1610612740,New Orleans Pelicans,3,4,49,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,13,27,1,1,20220422,NOP,PHX
22,Shot Chart Detail,0042100143,520,1630529,Herbert Jones,1610612740,New Orleans Pelicans,4,11,8,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-225,25,1,0,20220422,NOP,PHX
23,Shot Chart Detail,0042100144,255,1630529,Herbert Jones,1610612740,New Orleans Pelicans,2,3,24,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,17,31,1,0,20220424,NOP,PHX
24,Shot Chart Detail,0042100144,391,1630529,Herbert Jones,1610612740,New Orleans Pelicans,3,5,56,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,138,222,1,0,20220424,NOP,PHX
25,Shot Chart Detail,0042100144,402,1630529,Herbert Jones,1610612740,New Orleans Pelicans,3,5,27,Made Shot,Driving Bank Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,16,21,1,1,20220424,NOP,PHX
26,Shot Chart Detail,0042100144,409,1630529,Herbert Jones,1610612740,New Orleans Pelicans,3,4,56,Missed Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-45,52,1,0,20220424,NOP,PHX
27,Shot Chart Detail,0042100144,557,1630529,Herbert Jones,1610612740,New Orleans Pelicans,4,6,23,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,11,28,1,1,20220424,NOP,PHX
28,Shot Chart Detail,0042100144,613,1630529,Herbert Jones,1610612740,New Orleans Pelicans,4,3,29,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,20,43,1,0,20220424,NOP,PHX
29,Shot Chart Detail,0042100144,631,1630529,Herbert Jones,1610612740,New Orleans Pelicans,4,2,31,Made Shot,Running Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,4,27,1,1,20220424,NOP,PHX
30,Shot Chart Detail,0042100145,27,1630529,Herbert Jones,1610612740,New Orleans Pelicans,1,9,24,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-132,216,1,0,20220426,PHX,NOP
31,Shot Chart Detail,0042100145,45,1630529,Herbert Jones,1610612740,New Orleans Pelicans,1,7,33,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-21,-3,1,0,20220426,PHX,NOP
32,Shot Chart Detail,0042100145,66,1630529,Herbert Jones,1610612740,New Orleans Pelicans,1,5,45,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,118,230,1,1,20220426,PHX,NOP
33,Shot Chart Detail,0042100145,354,1630529,Herbert Jones,1610612740,New Orleans Pelicans,3,10,26,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,34,38,1,0,20220426,PHX,NOP
34,Shot Chart Detail,0042100145,657,1630529,Herbert Jones,1610612740,New Orleans Pelicans,4,1,9,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,230,5,1,0,20220426,PHX,NOP
35,Shot Chart Detail,0042100146,30,1630529,Herbert Jones,1610612740,New Orleans Pelicans,1,8,45,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,20,-206,20,1,0,20220428,NOP,PHX
36,Shot Chart Detail,0042100146,70,1630529,Herbert Jones,1610612740,New Orleans Pelicans,1,4,36,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,4,1,1,20220428,NOP,PHX
37,Shot Chart Detail,0042100146,230,1630529,Herbert Jones,1610612740,New Orleans Pelicans,2,6,57,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-4,21,1,1,20220428,NOP,PHX
