,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0042100151,49,1629630,Ja Morant,1610612763,Memphis Grizzlies,1,8,5,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,3,1,1,20220416,MEM,MIN
1,Shot Chart Detail,0042100151,67,1629630,Ja Morant,1610612763,Memphis Grizzlies,1,7,26,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,62,10,1,1,20220416,MEM,MIN
2,Shot Chart Detail,0042100151,100,1629630,Ja Morant,1610612763,Memphis Grizzlies,1,5,16,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-10,29,1,1,20220416,MEM,MIN
3,Shot Chart Detail,0042100151,129,1629630,Ja Morant,1610612763,Memphis Grizzlies,1,3,45,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-6,58,1,1,20220416,MEM,MIN
4,Shot Chart Detail,0042100151,148,1629630,Ja Morant,1610612763,Memphis Grizzlies,1,2,23,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,8,1,1,20220416,MEM,MIN
5,Shot Chart Detail,0042100151,338,1629630,Ja Morant,1610612763,Memphis Grizzlies,2,3,54,Missed Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,7,11,1,0,20220416,MEM,MIN
6,Shot Chart Detail,0042100151,361,1629630,Ja Morant,1610612763,Memphis Grizzlies,2,2,41,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,3,1,1,20220416,MEM,MIN
7,Shot Chart Detail,0042100151,369,1629630,Ja Morant,1610612763,Memphis Grizzlies,2,2,14,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-6,248,1,0,20220416,MEM,MIN
8,Shot Chart Detail,0042100151,384,1629630,Ja Morant,1610612763,Memphis Grizzlies,2,0,36,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,5,1,0,20220416,MEM,MIN
9,Shot Chart Detail,0042100151,388,1629630,Ja Morant,1610612763,Memphis Grizzlies,2,0,1,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,-48,69,1,0,20220416,MEM,MIN
