,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0042100151,9,1629020,Jarred Vanderbilt,1610612750,Minnesota Timberwolves,1,11,33,Missed Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,2,13,1,0,20220416,MEM,MIN
1,Shot Chart Detail,0042100151,433,1629020,Jarred Vanderbilt,1610612750,Minnesota Timberwolves,3,9,10,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-2,10,1,1,20220416,MEM,MIN
2,Shot Chart Detail,0042100151,459,1629020,Jarred Vanderbilt,1610612750,Minnesota Timberwolves,3,6,44,Missed Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,13,1,0,20220416,MEM,MIN
3,Shot Chart Detail,0042100153,52,1629020,Jarred Vanderbilt,1610612750,Minnesota Timberwolves,1,8,19,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20220421,MIN,MEM
4,Shot Chart Detail,0042100153,76,1629020,Jarred Vanderbilt,1610612750,Minnesota Timberwolves,1,6,12,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20220421,MIN,MEM
5,Shot Chart Detail,0042100153,128,1629020,Jarred Vanderbilt,1610612750,Minnesota Timberwolves,1,3,31,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,13,1,1,20220421,MIN,MEM
6,Shot Chart Detail,0042100153,301,1629020,Jarred Vanderbilt,1610612750,Minnesota Timberwolves,2,4,0,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20220421,MIN,MEM
7,Shot Chart Detail,0042100153,338,1629020,Jarred Vanderbilt,1610612750,Minnesota Timberwolves,2,0,8,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-17,31,1,0,20220421,MIN,MEM
8,Shot Chart Detail,0042100153,354,1629020,Jarred Vanderbilt,1610612750,Minnesota Timberwolves,3,11,43,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-15,22,1,0,20220421,MIN,MEM
9,Shot Chart Detail,0042100153,435,1629020,Jarred Vanderbilt,1610612750,Minnesota Timberwolves,3,4,52,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,15,17,1,1,20220421,MIN,MEM
10,Shot Chart Detail,0042100153,489,1629020,Jarred Vanderbilt,1610612750,Minnesota Timberwolves,3,2,16,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,25,21,1,0,20220421,MIN,MEM
11,Shot Chart Detail,0042100154,57,1629020,Jarred Vanderbilt,1610612750,Minnesota Timberwolves,1,8,21,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,15,1,1,20220423,MIN,MEM
12,Shot Chart Detail,0042100154,77,1629020,Jarred Vanderbilt,1610612750,Minnesota Timberwolves,1,6,45,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-4,26,1,1,20220423,MIN,MEM
13,Shot Chart Detail,0042100154,85,1629020,Jarred Vanderbilt,1610612750,Minnesota Timberwolves,1,6,12,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,17,1,0,20220423,MIN,MEM
14,Shot Chart Detail,0042100154,308,1629020,Jarred Vanderbilt,1610612750,Minnesota Timberwolves,2,4,47,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,6,25,1,1,20220423,MIN,MEM
15,Shot Chart Detail,0042100154,385,1629020,Jarred Vanderbilt,1610612750,Minnesota Timberwolves,3,11,14,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,-6,1,1,20220423,MIN,MEM
16,Shot Chart Detail,0042100154,407,1629020,Jarred Vanderbilt,1610612750,Minnesota Timberwolves,3,10,0,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,10,1,0,20220423,MIN,MEM
17,Shot Chart Detail,0042100154,553,1629020,Jarred Vanderbilt,1610612750,Minnesota Timberwolves,3,1,4,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-1,-10,1,1,20220423,MIN,MEM
18,Shot Chart Detail,0042100154,706,1629020,Jarred Vanderbilt,1610612750,Minnesota Timberwolves,4,2,47,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,-2,1,1,20220423,MIN,MEM
19,Shot Chart Detail,0042100155,407,1629020,Jarred Vanderbilt,1610612750,Minnesota Timberwolves,3,11,26,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,1,1,1,20220426,MEM,MIN
20,Shot Chart Detail,0042100155,428,1629020,Jarred Vanderbilt,1610612750,Minnesota Timberwolves,3,9,19,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,11,1,0,20220426,MEM,MIN
21,Shot Chart Detail,0042100155,491,1629020,Jarred Vanderbilt,1610612750,Minnesota Timberwolves,3,4,41,Missed Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-23,34,1,0,20220426,MEM,MIN
22,Shot Chart Detail,0042100155,500,1629020,Jarred Vanderbilt,1610612750,Minnesota Timberwolves,3,3,32,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,9,1,1,20220426,MEM,MIN
23,Shot Chart Detail,0042100155,644,1629020,Jarred Vanderbilt,1610612750,Minnesota Timberwolves,4,7,25,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,3,1,1,20220426,MEM,MIN
24,Shot Chart Detail,0042100156,66,1629020,Jarred Vanderbilt,1610612750,Minnesota Timberwolves,1,6,11,Missed Shot,Tip Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20220429,MIN,MEM
25,Shot Chart Detail,0042100156,330,1629020,Jarred Vanderbilt,1610612750,Minnesota Timberwolves,3,10,41,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,38,9,1,0,20220429,MIN,MEM
26,Shot Chart Detail,0042100156,336,1629020,Jarred Vanderbilt,1610612750,Minnesota Timberwolves,3,10,7,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20220429,MIN,MEM
