,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0042100111,16,1627759,Jaylen Brown,1610612738,Boston Celtics,1,11,0,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,16,1,1,20220417,BOS,BKN
1,Shot Chart Detail,0042100111,25,1627759,Jaylen Brown,1610612738,Boston Celtics,1,10,2,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,184,55,1,0,20220417,BOS,BKN
2,Shot Chart Detail,0042100111,28,1627759,Jaylen Brown,1610612738,Boston Celtics,1,9,37,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,20,-195,57,1,0,20220417,BOS,BKN
3,Shot Chart Detail,0042100111,37,1627759,Jaylen Brown,1610612738,Boston Celtics,1,9,3,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,80,168,1,0,20220417,BOS,BKN
4,Shot Chart Detail,0042100111,207,1627759,Jaylen Brown,1610612738,Boston Celtics,1,0,0,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-224,71,1,0,20220417,BOS,BKN
5,Shot Chart Detail,0042100111,289,1627759,Jaylen Brown,1610612738,Boston Celtics,2,5,48,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-36,29,1,1,20220417,BOS,BKN
6,Shot Chart Detail,0042100111,324,1627759,Jaylen Brown,1610612738,Boston Celtics,2,2,59,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-15,12,1,1,20220417,BOS,BKN
7,Shot Chart Detail,0042100111,356,1627759,Jaylen Brown,1610612738,Boston Celtics,2,0,7,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-170,189,1,0,20220417,BOS,BKN
8,Shot Chart Detail,0042100111,378,1627759,Jaylen Brown,1610612738,Boston Celtics,3,11,17,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-15,25,1,0,20220417,BOS,BKN
9,Shot Chart Detail,0042100111,381,1627759,Jaylen Brown,1610612738,Boston Celtics,3,11,12,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,224,105,1,0,20220417,BOS,BKN
10,Shot Chart Detail,0042100111,407,1627759,Jaylen Brown,1610612738,Boston Celtics,3,8,23,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-9,20,1,1,20220417,BOS,BKN
11,Shot Chart Detail,0042100111,517,1627759,Jaylen Brown,1610612738,Boston Celtics,3,0,45,Made Shot,Running Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-29,29,1,1,20220417,BOS,BKN
12,Shot Chart Detail,0042100111,565,1627759,Jaylen Brown,1610612738,Boston Celtics,4,8,37,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-17,13,1,0,20220417,BOS,BKN
13,Shot Chart Detail,0042100111,573,1627759,Jaylen Brown,1610612738,Boston Celtics,4,8,13,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-20,29,1,0,20220417,BOS,BKN
14,Shot Chart Detail,0042100111,597,1627759,Jaylen Brown,1610612738,Boston Celtics,4,6,31,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-2,20,1,1,20220417,BOS,BKN
15,Shot Chart Detail,0042100111,611,1627759,Jaylen Brown,1610612738,Boston Celtics,4,5,48,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,16,19,1,1,20220417,BOS,BKN
16,Shot Chart Detail,0042100111,619,1627759,Jaylen Brown,1610612738,Boston Celtics,4,4,49,Missed Shot,Running Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,10,1,0,20220417,BOS,BKN
17,Shot Chart Detail,0042100111,630,1627759,Jaylen Brown,1610612738,Boston Celtics,4,4,5,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-87,242,1,1,20220417,BOS,BKN
18,Shot Chart Detail,0042100111,663,1627759,Jaylen Brown,1610612738,Boston Celtics,4,0,38,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-17,21,1,1,20220417,BOS,BKN
19,Shot Chart Detail,0042100112,18,1627759,Jaylen Brown,1610612738,Boston Celtics,1,10,18,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,17,1,0,20220420,BOS,BKN
20,Shot Chart Detail,0042100112,104,1627759,Jaylen Brown,1610612738,Boston Celtics,1,4,37,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-2,27,1,1,20220420,BOS,BKN
21,Shot Chart Detail,0042100112,225,1627759,Jaylen Brown,1610612738,Boston Celtics,2,7,50,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,99,248,1,0,20220420,BOS,BKN
22,Shot Chart Detail,0042100112,279,1627759,Jaylen Brown,1610612738,Boston Celtics,2,4,4,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,-169,183,1,0,20220420,BOS,BKN
23,Shot Chart Detail,0042100112,300,1627759,Jaylen Brown,1610612738,Boston Celtics,2,2,37,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,11,-61,99,1,1,20220420,BOS,BKN
24,Shot Chart Detail,0042100112,328,1627759,Jaylen Brown,1610612738,Boston Celtics,2,0,26,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,16,1,1,20220420,BOS,BKN
25,Shot Chart Detail,0042100112,342,1627759,Jaylen Brown,1610612738,Boston Celtics,3,11,41,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-229,111,1,0,20220420,BOS,BKN
26,Shot Chart Detail,0042100112,371,1627759,Jaylen Brown,1610612738,Boston Celtics,3,9,11,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,8,1,1,20220420,BOS,BKN
27,Shot Chart Detail,0042100112,385,1627759,Jaylen Brown,1610612738,Boston Celtics,3,8,33,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,80,145,1,0,20220420,BOS,BKN
28,Shot Chart Detail,0042100112,401,1627759,Jaylen Brown,1610612738,Boston Celtics,3,7,1,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,67,155,1,0,20220420,BOS,BKN
