,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0042100101,13,202710,Jimmy Butler,1610612748,Miami Heat,1,10,50,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,-192,51,1,0,20220417,MIA,ATL
1,Shot Chart Detail,0042100101,33,202710,Jimmy Butler,1610612748,Miami Heat,1,9,42,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-232,61,1,1,20220417,MIA,ATL
2,Shot Chart Detail,0042100101,66,202710,Jimmy Butler,1610612748,Miami Heat,1,7,44,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,-8,1,1,20220417,MIA,ATL
3,Shot Chart Detail,0042100101,72,202710,Jimmy Butler,1610612748,Miami Heat,1,7,20,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,-189,52,1,0,20220417,MIA,ATL
4,Shot Chart Detail,0042100101,151,202710,Jimmy Butler,1610612748,Miami Heat,1,1,29,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,-164,0,1,0,20220417,MIA,ATL
5,Shot Chart Detail,0042100101,183,202710,Jimmy Butler,1610612748,Miami Heat,1,0,16,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,14,1,0,20220417,MIA,ATL
6,Shot Chart Detail,0042100101,201,202710,Jimmy Butler,1610612748,Miami Heat,2,10,45,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-34,14,1,1,20220417,MIA,ATL
7,Shot Chart Detail,0042100101,264,202710,Jimmy Butler,1610612748,Miami Heat,2,6,42,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,8,1,1,20220417,MIA,ATL
8,Shot Chart Detail,0042100101,367,202710,Jimmy Butler,1610612748,Miami Heat,3,10,15,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-232,0,1,0,20220417,MIA,ATL
9,Shot Chart Detail,0042100101,385,202710,Jimmy Butler,1610612748,Miami Heat,3,8,28,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,2,1,1,20220417,MIA,ATL
10,Shot Chart Detail,0042100101,408,202710,Jimmy Butler,1610612748,Miami Heat,3,6,27,Made Shot,Jump Bank Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,23,17,1,1,20220417,MIA,ATL
11,Shot Chart Detail,0042100101,497,202710,Jimmy Butler,1610612748,Miami Heat,3,0,25,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,1,1,1,20220417,MIA,ATL
12,Shot Chart Detail,0042100101,524,202710,Jimmy Butler,1610612748,Miami Heat,4,10,24,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,11,1,0,20220417,MIA,ATL
13,Shot Chart Detail,0042100101,571,202710,Jimmy Butler,1610612748,Miami Heat,4,6,37,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,7,1,1,20220417,MIA,ATL
