,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0042100131,17,203954,Joel Embiid,1610612755,Philadelphia 76ers,1,11,2,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20220416,PHI,TOR
1,Shot Chart Detail,0042100131,47,203954,Joel Embiid,1610612755,Philadelphia 76ers,1,8,38,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20220416,PHI,TOR
2,Shot Chart Detail,0042100131,49,203954,Joel Embiid,1610612755,Philadelphia 76ers,1,8,9,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,230,132,1,0,20220416,PHI,TOR
3,Shot Chart Detail,0042100131,102,203954,Joel Embiid,1610612755,Philadelphia 76ers,1,4,4,Missed Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,5,69,1,0,20220416,PHI,TOR
4,Shot Chart Detail,0042100131,143,203954,Joel Embiid,1610612755,Philadelphia 76ers,1,1,5,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,11,8,1,1,20220416,PHI,TOR
5,Shot Chart Detail,0042100131,270,203954,Joel Embiid,1610612755,Philadelphia 76ers,2,3,59,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-2,48,1,1,20220416,PHI,TOR
6,Shot Chart Detail,0042100131,293,203954,Joel Embiid,1610612755,Philadelphia 76ers,2,2,3,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,-10,1,1,20220416,PHI,TOR
7,Shot Chart Detail,0042100131,301,203954,Joel Embiid,1610612755,Philadelphia 76ers,2,0,37,Missed Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,7,57,1,0,20220416,PHI,TOR
8,Shot Chart Detail,0042100131,360,203954,Joel Embiid,1610612755,Philadelphia 76ers,3,8,22,Missed Shot,Driving Reverse Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,13,44,1,0,20220416,PHI,TOR
9,Shot Chart Detail,0042100131,364,203954,Joel Embiid,1610612755,Philadelphia 76ers,3,8,2,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,2,58,1,1,20220416,PHI,TOR
10,Shot Chart Detail,0042100131,387,203954,Joel Embiid,1610612755,Philadelphia 76ers,3,6,40,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,126,64,1,0,20220416,PHI,TOR
11,Shot Chart Detail,0042100131,421,203954,Joel Embiid,1610612755,Philadelphia 76ers,3,4,9,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,26,185,1,0,20220416,PHI,TOR
12,Shot Chart Detail,0042100131,502,203954,Joel Embiid,1610612755,Philadelphia 76ers,4,10,31,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,-100,8,1,0,20220416,PHI,TOR
