,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0042100151,140,1629162,Jordan McLaughlin,1610612750,Minnesota Timberwolves,1,3,7,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,116,238,1,0,20220416,MEM,MIN
1,Shot Chart Detail,0042100152,189,1629162,Jordan McLaughlin,1610612750,Minnesota Timberwolves,1,0,1,Made Shot,Turnaround Fadeaway Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,4,57,1,1,20220419,MEM,MIN
2,Shot Chart Detail,0042100152,707,1629162,Jordan McLaughlin,1610612750,Minnesota Timberwolves,4,0,39,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-5,84,1,1,20220419,MEM,MIN
3,Shot Chart Detail,0042100154,253,1629162,Jordan McLaughlin,1610612750,Minnesota Timberwolves,2,8,25,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,-176,175,1,1,20220423,MIN,MEM
4,Shot Chart Detail,0042100154,264,1629162,Jordan McLaughlin,1610612750,Minnesota Timberwolves,2,7,15,Made Shot,Running Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,237,-9,1,1,20220423,MIN,MEM
5,Shot Chart Detail,0042100154,284,1629162,Jordan McLaughlin,1610612750,Minnesota Timberwolves,2,6,48,Missed Shot,Running Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-37,26,1,0,20220423,MIN,MEM
6,Shot Chart Detail,0042100154,542,1629162,Jordan McLaughlin,1610612750,Minnesota Timberwolves,3,1,44,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-143,224,1,1,20220423,MIN,MEM
7,Shot Chart Detail,0042100154,592,1629162,Jordan McLaughlin,1610612750,Minnesota Timberwolves,4,10,52,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,-164,-18,1,1,20220423,MIN,MEM
8,Shot Chart Detail,0042100154,604,1629162,Jordan McLaughlin,1610612750,Minnesota Timberwolves,4,10,4,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,40,252,1,1,20220423,MIN,MEM
9,Shot Chart Detail,0042100155,549,1629162,Jordan McLaughlin,1610612750,Minnesota Timberwolves,3,0,49,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,9,47,78,1,1,20220426,MEM,MIN
10,Shot Chart Detail,0042100155,555,1629162,Jordan McLaughlin,1610612750,Minnesota Timberwolves,3,0,30,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,33,242,1,0,20220426,MEM,MIN
11,Shot Chart Detail,0042100155,597,1629162,Jordan McLaughlin,1610612750,Minnesota Timberwolves,4,10,28,Missed Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,8,1,0,20220426,MEM,MIN
12,Shot Chart Detail,0042100156,223,1629162,Jordan McLaughlin,1610612750,Minnesota Timberwolves,2,6,8,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,28,20,1,1,20220429,MIN,MEM
13,Shot Chart Detail,0042100156,424,1629162,Jordan McLaughlin,1610612750,Minnesota Timberwolves,3,3,18,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,18,8,1,1,20220429,MIN,MEM
14,Shot Chart Detail,0042100156,512,1629162,Jordan McLaughlin,1610612750,Minnesota Timberwolves,4,10,8,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-23,13,1,1,20220429,MIN,MEM
15,Shot Chart Detail,0042100156,537,1629162,Jordan McLaughlin,1610612750,Minnesota Timberwolves,4,7,57,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,29,243,1,0,20220429,MIN,MEM
16,Shot Chart Detail,0042100156,635,1629162,Jordan McLaughlin,1610612750,Minnesota Timberwolves,4,0,57,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-17,3,1,1,20220429,MIN,MEM
