,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0042100161,50,1629673,Jordan Poole,1610612744,Golden State Warriors,1,6,15,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,30,-108,280,1,1,20220416,GSW,DEN
1,Shot Chart Detail,0042100161,169,1629673,Jordan Poole,1610612744,Golden State Warriors,2,10,0,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,-96,147,1,1,20220416,GSW,DEN
2,Shot Chart Detail,0042100161,181,1629673,Jordan Poole,1610612744,Golden State Warriors,2,8,52,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-48,31,1,1,20220416,GSW,DEN
3,Shot Chart Detail,0042100161,184,1629673,Jordan Poole,1610612744,Golden State Warriors,2,8,31,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,27,29,1,1,20220416,GSW,DEN
4,Shot Chart Detail,0042100161,271,1629673,Jordan Poole,1610612744,Golden State Warriors,2,3,17,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,188,191,1,1,20220416,GSW,DEN
5,Shot Chart Detail,0042100161,274,1629673,Jordan Poole,1610612744,Golden State Warriors,2,2,54,Made Shot,Running Reverse Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,29,42,1,1,20220416,GSW,DEN
6,Shot Chart Detail,0042100161,324,1629673,Jordan Poole,1610612744,Golden State Warriors,3,11,18,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,185,189,1,0,20220416,GSW,DEN
7,Shot Chart Detail,0042100161,335,1629673,Jordan Poole,1610612744,Golden State Warriors,3,10,31,Missed Shot,Step Back Jump shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-232,16,1,0,20220416,GSW,DEN
8,Shot Chart Detail,0042100161,348,1629673,Jordan Poole,1610612744,Golden State Warriors,3,9,28,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-20,87,1,0,20220416,GSW,DEN
9,Shot Chart Detail,0042100161,398,1629673,Jordan Poole,1610612744,Golden State Warriors,3,6,24,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,91,267,1,1,20220416,GSW,DEN
10,Shot Chart Detail,0042100161,402,1629673,Jordan Poole,1610612744,Golden State Warriors,3,5,53,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-194,180,1,1,20220416,GSW,DEN
11,Shot Chart Detail,0042100161,557,1629673,Jordan Poole,1610612744,Golden State Warriors,4,8,12,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,167,185,1,1,20220416,GSW,DEN
12,Shot Chart Detail,0042100161,564,1629673,Jordan Poole,1610612744,Golden State Warriors,4,7,39,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,33,17,1,0,20220416,GSW,DEN
13,Shot Chart Detail,0042100162,30,1629673,Jordan Poole,1610612744,Golden State Warriors,1,10,0,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,-5,272,1,0,20220418,GSW,DEN
