,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0042100171,75,1630182,Josh Green,1610612742,Dallas Mavericks,1,4,24,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-88,243,1,0,20220416,DAL,UTA
1,Shot Chart Detail,0042100171,109,1630182,Josh Green,1610612742,Dallas Mavericks,1,1,39,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-18,252,1,0,20220416,DAL,UTA
2,Shot Chart Detail,0042100171,370,1630182,Josh Green,1610612742,Dallas Mavericks,3,5,1,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,238,-5,1,0,20220416,DAL,UTA
3,Shot Chart Detail,0042100171,382,1630182,Josh Green,1610612742,Dallas Mavericks,3,4,10,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,229,47,1,0,20220416,DAL,UTA
4,Shot Chart Detail,0042100172,127,1630182,Josh Green,1610612742,Dallas Mavericks,1,1,18,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-228,32,1,0,20220418,DAL,UTA
5,Shot Chart Detail,0042100172,132,1630182,Josh Green,1610612742,Dallas Mavericks,1,0,39,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-1,11,1,0,20220418,DAL,UTA
6,Shot Chart Detail,0042100172,233,1630182,Josh Green,1610612742,Dallas Mavericks,2,5,31,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,-184,62,1,1,20220418,DAL,UTA
7,Shot Chart Detail,0042100172,236,1630182,Josh Green,1610612742,Dallas Mavericks,2,4,49,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-222,11,1,0,20220418,DAL,UTA
8,Shot Chart Detail,0042100172,463,1630182,Josh Green,1610612742,Dallas Mavericks,4,10,7,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,15,71,134,1,0,20220418,DAL,UTA
9,Shot Chart Detail,0042100173,118,1630182,Josh Green,1610612742,Dallas Mavericks,1,2,22,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-234,6,1,1,20220421,UTA,DAL
10,Shot Chart Detail,0042100173,130,1630182,Josh Green,1610612742,Dallas Mavericks,1,1,34,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,47,245,1,1,20220421,UTA,DAL
11,Shot Chart Detail,0042100173,160,1630182,Josh Green,1610612742,Dallas Mavericks,1,0,2,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,230,-2,1,0,20220421,UTA,DAL
12,Shot Chart Detail,0042100173,194,1630182,Josh Green,1610612742,Dallas Mavericks,2,10,0,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,201,147,1,1,20220421,UTA,DAL
13,Shot Chart Detail,0042100173,508,1630182,Josh Green,1610612742,Dallas Mavericks,3,1,3,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-23,23,1,1,20220421,UTA,DAL
14,Shot Chart Detail,0042100173,538,1630182,Josh Green,1610612742,Dallas Mavericks,4,10,58,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,161,201,1,0,20220421,UTA,DAL
15,Shot Chart Detail,0042100174,119,1630182,Josh Green,1610612742,Dallas Mavericks,1,2,20,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-234,8,1,0,20220423,UTA,DAL
16,Shot Chart Detail,0042100174,210,1630182,Josh Green,1610612742,Dallas Mavericks,2,9,4,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,-239,32,1,1,20220423,UTA,DAL
17,Shot Chart Detail,0042100174,231,1630182,Josh Green,1610612742,Dallas Mavericks,2,7,30,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,67,235,1,0,20220423,UTA,DAL
18,Shot Chart Detail,0042100174,240,1630182,Josh Green,1610612742,Dallas Mavericks,2,6,51,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-232,10,1,0,20220423,UTA,DAL
19,Shot Chart Detail,0042100175,273,1630182,Josh Green,1610612742,Dallas Mavericks,2,2,50,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-124,220,1,0,20220425,DAL,UTA
20,Shot Chart Detail,0042100175,499,1630182,Josh Green,1610612742,Dallas Mavericks,4,8,35,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-228,1,1,0,20220425,DAL,UTA
21,Shot Chart Detail,0042100175,515,1630182,Josh Green,1610612742,Dallas Mavericks,4,7,28,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-229,-10,1,0,20220425,DAL,UTA
22,Shot Chart Detail,0042100176,144,1630182,Josh Green,1610612742,Dallas Mavericks,1,0,20,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,224,-1,1,0,20220428,UTA,DAL
23,Shot Chart Detail,0042100227,576,1630182,Josh Green,1610612742,Dallas Mavericks,4,3,27,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-224,119,1,1,20220515,PHX,DAL
24,Shot Chart Detail,0042100311,539,1630182,Josh Green,1610612742,Dallas Mavericks,4,6,48,Made Shot,Running Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,42,32,1,1,20220518,GSW,DAL
25,Shot Chart Detail,0042100311,544,1630182,Josh Green,1610612742,Dallas Mavericks,4,6,9,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,235,13,1,0,20220518,GSW,DAL
26,Shot Chart Detail,0042100311,548,1630182,Josh Green,1610612742,Dallas Mavericks,4,5,39,Missed Shot,Driving Floating Bank Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,-92,44,1,0,20220518,GSW,DAL
27,Shot Chart Detail,0042100312,443,1630182,Josh Green,1610612742,Dallas Mavericks,3,4,54,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,238,7,1,0,20220520,GSW,DAL
