,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0042100161,651,1629308,Juan Toscano-Anderson,1610612744,Golden State Warriors,4,1,59,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,-174,216,1,1,20220416,GSW,DEN
1,Shot Chart Detail,0042100162,684,1629308,Juan Toscano-Anderson,1610612744,Golden State Warriors,4,1,3,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-9,52,1,1,20220418,GSW,DEN
2,Shot Chart Detail,0042100233,492,1629308,Juan Toscano-Anderson,1610612744,Golden State Warriors,3,0,0,Missed Shot,Reverse Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-42,34,1,0,20220507,GSW,MEM
3,Shot Chart Detail,0042100233,636,1629308,Juan Toscano-Anderson,1610612744,Golden State Warriors,4,3,22,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,47,48,1,0,20220507,GSW,MEM
4,Shot Chart Detail,0042100235,532,1629308,Juan Toscano-Anderson,1610612744,Golden State Warriors,3,0,22,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,-131,173,1,0,20220511,MEM,GSW
5,Shot Chart Detail,0042100235,537,1629308,Juan Toscano-Anderson,1610612744,Golden State Warriors,3,0,0,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-96,237,1,1,20220511,MEM,GSW
6,Shot Chart Detail,0042100235,568,1629308,Juan Toscano-Anderson,1610612744,Golden State Warriors,4,8,44,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,5,1,1,20220511,MEM,GSW
7,Shot Chart Detail,0042100235,604,1629308,Juan Toscano-Anderson,1610612744,Golden State Warriors,4,6,17,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,104,230,1,0,20220511,MEM,GSW
8,Shot Chart Detail,0042100235,637,1629308,Juan Toscano-Anderson,1610612744,Golden State Warriors,4,3,23,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,97,239,1,0,20220511,MEM,GSW
9,Shot Chart Detail,0042100402,636,1629308,Juan Toscano-Anderson,1610612744,Golden State Warriors,4,3,18,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-234,50,1,0,20220605,GSW,BOS
