,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0042100171,161,1627823,Juancho Hernangomez,1610612762,Utah Jazz,2,10,26,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,13,1,0,20220416,DAL,UTA
1,Shot Chart Detail,0042100172,129,1627823,Juancho Hernangomez,1610612762,Utah Jazz,1,1,3,Missed Shot,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,18,19,1,0,20220418,DAL,UTA
2,Shot Chart Detail,0042100172,386,1627823,Juancho Hernangomez,1610612762,Utah Jazz,3,4,20,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,119,219,1,0,20220418,DAL,UTA
3,Shot Chart Detail,0042100173,157,1627823,Juancho Hernangomez,1610612762,Utah Jazz,1,0,26,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,4,1,0,20220421,UTA,DAL
4,Shot Chart Detail,0042100173,208,1627823,Juancho Hernangomez,1610612762,Utah Jazz,2,8,34,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-85,242,1,0,20220421,UTA,DAL
5,Shot Chart Detail,0042100174,208,1627823,Juancho Hernangomez,1610612762,Utah Jazz,2,9,23,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,159,212,1,1,20220423,UTA,DAL
6,Shot Chart Detail,0042100174,457,1627823,Juancho Hernangomez,1610612762,Utah Jazz,3,2,38,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-186,169,1,0,20220423,UTA,DAL
7,Shot Chart Detail,0042100174,462,1627823,Juancho Hernangomez,1610612762,Utah Jazz,3,2,27,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,92,224,1,1,20220423,UTA,DAL
8,Shot Chart Detail,0042100175,162,1627823,Juancho Hernangomez,1610612762,Utah Jazz,2,11,43,Missed Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,146,204,1,0,20220425,DAL,UTA
9,Shot Chart Detail,0042100175,183,1627823,Juancho Hernangomez,1610612762,Utah Jazz,2,9,24,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,126,218,1,1,20220425,DAL,UTA
10,Shot Chart Detail,0042100175,188,1627823,Juancho Hernangomez,1610612762,Utah Jazz,2,8,58,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,228,11,1,0,20220425,DAL,UTA
11,Shot Chart Detail,0042100175,603,1627823,Juancho Hernangomez,1610612762,Utah Jazz,4,3,21,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,-145,194,1,0,20220425,DAL,UTA
12,Shot Chart Detail,0042100175,610,1627823,Juancho Hernangomez,1610612762,Utah Jazz,4,2,51,Made Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,4,15,1,1,20220425,DAL,UTA
13,Shot Chart Detail,0042100175,632,1627823,Juancho Hernangomez,1610612762,Utah Jazz,4,0,52,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,98,231,1,0,20220425,DAL,UTA
14,Shot Chart Detail,0042100176,130,1627823,Juancho Hernangomez,1610612762,Utah Jazz,1,1,27,Missed Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,0,53,1,0,20220428,UTA,DAL
15,Shot Chart Detail,0042100176,184,1627823,Juancho Hernangomez,1610612762,Utah Jazz,2,9,47,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,233,17,1,1,20220428,UTA,DAL
16,Shot Chart Detail,0042100176,188,1627823,Juancho Hernangomez,1610612762,Utah Jazz,2,9,31,Missed Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,20,34,1,0,20220428,UTA,DAL
17,Shot Chart Detail,0042100176,401,1627823,Juancho Hernangomez,1610612762,Utah Jazz,3,2,2,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-43,248,1,0,20220428,UTA,DAL
