,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0042100101,43,1628989,Kevin Huerter,1610612737,Atlanta Hawks,1,8,59,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,176,189,1,0,20220417,MIA,ATL
1,Shot Chart Detail,0042100101,200,1628989,Kevin Huerter,1610612737,Atlanta Hawks,2,11,2,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,44,257,1,1,20220417,MIA,ATL
2,Shot Chart Detail,0042100101,257,1628989,Kevin Huerter,1610612737,Atlanta Hawks,2,7,1,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,49,272,1,0,20220417,MIA,ATL
3,Shot Chart Detail,0042100101,304,1628989,Kevin Huerter,1610612737,Atlanta Hawks,2,3,13,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-214,134,1,0,20220417,MIA,ATL
4,Shot Chart Detail,0042100101,308,1628989,Kevin Huerter,1610612737,Atlanta Hawks,2,2,56,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,6,1,1,20220417,MIA,ATL
5,Shot Chart Detail,0042100101,375,1628989,Kevin Huerter,1610612737,Atlanta Hawks,3,9,17,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-229,42,1,0,20220417,MIA,ATL
6,Shot Chart Detail,0042100101,393,1628989,Kevin Huerter,1610612737,Atlanta Hawks,3,7,45,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,165,192,1,1,20220417,MIA,ATL
7,Shot Chart Detail,0042100101,565,1628989,Kevin Huerter,1610612737,Atlanta Hawks,4,7,23,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,-74,158,1,0,20220417,MIA,ATL
8,Shot Chart Detail,0042100102,9,1628989,Kevin Huerter,1610612737,Atlanta Hawks,1,11,24,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,194,163,1,1,20220419,MIA,ATL
9,Shot Chart Detail,0042100102,36,1628989,Kevin Huerter,1610612737,Atlanta Hawks,1,8,59,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,158,237,1,0,20220419,MIA,ATL
10,Shot Chart Detail,0042100102,151,1628989,Kevin Huerter,1610612737,Atlanta Hawks,1,1,42,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,-240,-14,1,0,20220419,MIA,ATL
11,Shot Chart Detail,0042100102,194,1628989,Kevin Huerter,1610612737,Atlanta Hawks,2,11,1,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-136,227,1,0,20220419,MIA,ATL
12,Shot Chart Detail,0042100102,207,1628989,Kevin Huerter,1610612737,Atlanta Hawks,2,9,47,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,-74,196,1,0,20220419,MIA,ATL
13,Shot Chart Detail,0042100102,267,1628989,Kevin Huerter,1610612737,Atlanta Hawks,2,5,53,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,172,209,1,1,20220419,MIA,ATL
14,Shot Chart Detail,0042100102,277,1628989,Kevin Huerter,1610612737,Atlanta Hawks,2,4,51,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,31,13,1,0,20220419,MIA,ATL
15,Shot Chart Detail,0042100102,392,1628989,Kevin Huerter,1610612737,Atlanta Hawks,3,10,22,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,228,46,1,0,20220419,MIA,ATL
