,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0042100161,14,1626172,Kevon Looney,1610612744,Golden State Warriors,1,10,54,Made Shot,Cutting Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,45,28,1,1,20220416,GSW,DEN
1,Shot Chart Detail,0042100161,31,1626172,Kevon Looney,1610612744,Golden State Warriors,1,9,1,Made Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-44,13,1,1,20220416,GSW,DEN
2,Shot Chart Detail,0042100161,360,1626172,Kevon Looney,1610612744,Golden State Warriors,3,9,2,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,18,36,1,0,20220416,GSW,DEN
3,Shot Chart Detail,0042100162,55,1626172,Kevon Looney,1610612744,Golden State Warriors,1,7,24,Missed Shot,Reverse Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-42,38,1,0,20220418,GSW,DEN
4,Shot Chart Detail,0042100162,382,1626172,Kevon Looney,1610612744,Golden State Warriors,3,9,56,Missed Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,42,22,1,0,20220418,GSW,DEN
5,Shot Chart Detail,0042100164,9,1626172,Kevon Looney,1610612744,Golden State Warriors,1,11,35,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20220424,DEN,GSW
6,Shot Chart Detail,0042100164,91,1626172,Kevon Looney,1610612744,Golden State Warriors,1,7,55,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-26,8,1,0,20220424,DEN,GSW
7,Shot Chart Detail,0042100165,72,1626172,Kevon Looney,1610612744,Golden State Warriors,1,6,43,Made Shot,Reverse Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-39,39,1,1,20220427,GSW,DEN
8,Shot Chart Detail,0042100165,215,1626172,Kevon Looney,1610612744,Golden State Warriors,2,8,53,Made Shot,Cutting Dunk Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-16,47,1,1,20220427,GSW,DEN
9,Shot Chart Detail,0042100231,162,1626172,Kevon Looney,1610612744,Golden State Warriors,1,1,52,Missed Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,4,11,1,0,20220501,MEM,GSW
10,Shot Chart Detail,0042100231,172,1626172,Kevon Looney,1610612744,Golden State Warriors,1,0,57,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20220501,MEM,GSW
11,Shot Chart Detail,0042100231,192,1626172,Kevon Looney,1610612744,Golden State Warriors,2,11,37,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,10,1,1,20220501,MEM,GSW
12,Shot Chart Detail,0042100231,413,1626172,Kevon Looney,1610612744,Golden State Warriors,3,10,56,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,5,1,1,20220501,MEM,GSW
13,Shot Chart Detail,0042100231,475,1626172,Kevon Looney,1610612744,Golden State Warriors,3,5,41,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,4,1,1,20220501,MEM,GSW
14,Shot Chart Detail,0042100232,59,1626172,Kevon Looney,1610612744,Golden State Warriors,1,7,45,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,34,62,1,1,20220503,MEM,GSW
15,Shot Chart Detail,0042100232,82,1626172,Kevon Looney,1610612744,Golden State Warriors,1,6,32,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,8,1,1,20220503,MEM,GSW
16,Shot Chart Detail,0042100233,134,1626172,Kevon Looney,1610612744,Golden State Warriors,1,1,37,Made Shot,Cutting Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-49,11,1,1,20220507,GSW,MEM
17,Shot Chart Detail,0042100233,473,1626172,Kevon Looney,1610612744,Golden State Warriors,3,1,31,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20220507,GSW,MEM
18,Shot Chart Detail,0042100233,477,1626172,Kevon Looney,1610612744,Golden State Warriors,3,1,9,Made Shot,Cutting Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-32,25,1,1,20220507,GSW,MEM
19,Shot Chart Detail,0042100234,102,1626172,Kevon Looney,1610612744,Golden State Warriors,1,2,43,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,6,31,1,1,20220509,GSW,MEM
20,Shot Chart Detail,0042100234,154,1626172,Kevon Looney,1610612744,Golden State Warriors,2,11,41,Missed Shot,Reverse Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-59,41,1,0,20220509,GSW,MEM
21,Shot Chart Detail,0042100234,168,1626172,Kevon Looney,1610612744,Golden State Warriors,2,10,30,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,114,94,1,0,20220509,GSW,MEM
22,Shot Chart Detail,0042100234,479,1626172,Kevon Looney,1610612744,Golden State Warriors,3,0,3,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20220509,GSW,MEM
23,Shot Chart Detail,0042100234,516,1626172,Kevon Looney,1610612744,Golden State Warriors,4,9,33,Made Shot,Cutting Dunk Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,1,53,1,1,20220509,GSW,MEM
24,Shot Chart Detail,0042100235,114,1626172,Kevon Looney,1610612744,Golden State Warriors,1,3,10,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-5,12,1,1,20220511,MEM,GSW
25,Shot Chart Detail,0042100236,52,1626172,Kevon Looney,1610612744,Golden State Warriors,1,7,16,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20220513,GSW,MEM
26,Shot Chart Detail,0042100236,54,1626172,Kevon Looney,1610612744,Golden State Warriors,1,7,14,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20220513,GSW,MEM
27,Shot Chart Detail,0042100236,124,1626172,Kevon Looney,1610612744,Golden State Warriors,1,3,4,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20220513,GSW,MEM
28,Shot Chart Detail,0042100236,431,1626172,Kevon Looney,1610612744,Golden State Warriors,3,6,35,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,37,21,1,1,20220513,GSW,MEM
29,Shot Chart Detail,0042100236,534,1626172,Kevon Looney,1610612744,Golden State Warriors,4,11,22,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20220513,GSW,MEM
30,Shot Chart Detail,0042100236,536,1626172,Kevon Looney,1610612744,Golden State Warriors,4,11,21,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20220513,GSW,MEM
31,Shot Chart Detail,0042100236,622,1626172,Kevon Looney,1610612744,Golden State Warriors,4,4,23,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20220513,GSW,MEM
32,Shot Chart Detail,0042100311,12,1626172,Kevon Looney,1610612744,Golden State Warriors,1,10,44,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,17,1,1,20220518,GSW,DAL
33,Shot Chart Detail,0042100311,30,1626172,Kevon Looney,1610612744,Golden State Warriors,1,8,56,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20220518,GSW,DAL
34,Shot Chart Detail,0042100311,60,1626172,Kevon Looney,1610612744,Golden State Warriors,1,6,37,Made Shot,Alley Oop Layup shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,10,50,1,1,20220518,GSW,DAL
35,Shot Chart Detail,0042100311,192,1626172,Kevon Looney,1610612744,Golden State Warriors,2,8,37,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,-87,186,1,1,20220518,GSW,DAL
36,Shot Chart Detail,0042100311,404,1626172,Kevon Looney,1610612744,Golden State Warriors,3,4,28,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,11,1,1,20220518,GSW,DAL
37,Shot Chart Detail,0042100312,128,1626172,Kevon Looney,1610612744,Golden State Warriors,1,2,2,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20220520,GSW,DAL
38,Shot Chart Detail,0042100312,250,1626172,Kevon Looney,1610612744,Golden State Warriors,2,6,25,Missed Shot,Cutting Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,53,25,1,0,20220520,GSW,DAL
39,Shot Chart Detail,0042100312,267,1626172,Kevon Looney,1610612744,Golden State Warriors,2,5,44,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,29,20,1,1,20220520,GSW,DAL
40,Shot Chart Detail,0042100312,277,1626172,Kevon Looney,1610612744,Golden State Warriors,2,4,42,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20220520,GSW,DAL
41,Shot Chart Detail,0042100312,306,1626172,Kevon Looney,1610612744,Golden State Warriors,2,3,16,Made Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-33,31,1,1,20220520,GSW,DAL
42,Shot Chart Detail,0042100312,361,1626172,Kevon Looney,1610612744,Golden State Warriors,3,11,16,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-39,22,1,1,20220520,GSW,DAL
43,Shot Chart Detail,0042100312,370,1626172,Kevon Looney,1610612744,Golden State Warriors,3,10,32,Missed Shot,Cutting Dunk Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-42,32,1,0,20220520,GSW,DAL
44,Shot Chart Detail,0042100312,373,1626172,Kevon Looney,1610612744,Golden State Warriors,3,10,26,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20220520,GSW,DAL
