,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0042100101,9,200768,Kyle Lowry,1610612748,Miami Heat,1,11,13,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-234,10,1,0,20220417,MIA,ATL
1,Shot Chart Detail,0042100101,40,200768,Kyle Lowry,1610612748,Miami Heat,1,9,4,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,34,6,1,0,20220417,MIA,ATL
2,Shot Chart Detail,0042100101,76,200768,Kyle Lowry,1610612748,Miami Heat,1,6,46,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,11,1,1,20220417,MIA,ATL
3,Shot Chart Detail,0042100101,270,200768,Kyle Lowry,1610612748,Miami Heat,2,5,57,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,241,34,1,1,20220417,MIA,ATL
4,Shot Chart Detail,0042100101,295,200768,Kyle Lowry,1610612748,Miami Heat,2,4,23,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,118,130,1,0,20220417,MIA,ATL
5,Shot Chart Detail,0042100101,310,200768,Kyle Lowry,1610612748,Miami Heat,2,2,32,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-224,131,1,1,20220417,MIA,ATL
6,Shot Chart Detail,0042100101,339,200768,Kyle Lowry,1610612748,Miami Heat,2,0,30,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,235,93,1,0,20220417,MIA,ATL
7,Shot Chart Detail,0042100101,479,200768,Kyle Lowry,1610612748,Miami Heat,3,1,13,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,123,-1,1,1,20220417,MIA,ATL
8,Shot Chart Detail,0042100102,61,200768,Kyle Lowry,1610612748,Miami Heat,1,7,12,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,-87,257,1,1,20220419,MIA,ATL
9,Shot Chart Detail,0042100102,90,200768,Kyle Lowry,1610612748,Miami Heat,1,5,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,127,248,1,0,20220419,MIA,ATL
10,Shot Chart Detail,0042100102,407,200768,Kyle Lowry,1610612748,Miami Heat,3,9,21,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,36,256,1,0,20220419,MIA,ATL
11,Shot Chart Detail,0042100102,526,200768,Kyle Lowry,1610612748,Miami Heat,3,0,0,Missed Shot,Jump Shot,3PT Field Goal,Backcourt,Back Court(BC),Back Court Shot,47,-194,433,1,0,20220419,MIA,ATL
12,Shot Chart Detail,0042100102,536,200768,Kyle Lowry,1610612748,Miami Heat,4,11,42,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-214,137,1,0,20220419,MIA,ATL
13,Shot Chart Detail,0042100102,563,200768,Kyle Lowry,1610612748,Miami Heat,4,9,20,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-113,239,1,0,20220419,MIA,ATL
14,Shot Chart Detail,0042100102,593,200768,Kyle Lowry,1610612748,Miami Heat,4,6,53,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-29,25,1,0,20220419,MIA,ATL
15,Shot Chart Detail,0042100102,604,200768,Kyle Lowry,1610612748,Miami Heat,4,5,41,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,21,8,1,1,20220419,MIA,ATL
16,Shot Chart Detail,0042100103,35,200768,Kyle Lowry,1610612748,Miami Heat,1,8,44,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,-4,274,1,1,20220422,ATL,MIA
17,Shot Chart Detail,0042100103,42,200768,Kyle Lowry,1610612748,Miami Heat,1,7,56,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,11,65,93,1,0,20220422,ATL,MIA
18,Shot Chart Detail,0042100103,62,200768,Kyle Lowry,1610612748,Miami Heat,1,6,2,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,28,61,279,1,0,20220422,ATL,MIA
19,Shot Chart Detail,0042100103,221,200768,Kyle Lowry,1610612748,Miami Heat,2,6,59,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,109,227,1,0,20220422,ATL,MIA
20,Shot Chart Detail,0042100103,244,200768,Kyle Lowry,1610612748,Miami Heat,2,5,40,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,230,22,1,0,20220422,ATL,MIA
21,Shot Chart Detail,0042100103,358,200768,Kyle Lowry,1610612748,Miami Heat,3,8,56,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,22,254,1,0,20220422,ATL,MIA
22,Shot Chart Detail,0042100103,387,200768,Kyle Lowry,1610612748,Miami Heat,3,6,9,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,96,244,1,1,20220422,ATL,MIA
23,Shot Chart Detail,0042100203,8,200768,Kyle Lowry,1610612748,Miami Heat,1,11,35,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-12,100,1,0,20220506,PHI,MIA
24,Shot Chart Detail,0042100203,223,200768,Kyle Lowry,1610612748,Miami Heat,2,6,56,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,39,110,377,1,0,20220506,PHI,MIA
25,Shot Chart Detail,0042100203,342,200768,Kyle Lowry,1610612748,Miami Heat,3,9,54,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,15,71,135,1,0,20220506,PHI,MIA
26,Shot Chart Detail,0042100203,503,200768,Kyle Lowry,1610612748,Miami Heat,4,9,36,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,135,229,1,0,20220506,PHI,MIA
27,Shot Chart Detail,0042100204,8,200768,Kyle Lowry,1610612748,Miami Heat,1,11,23,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,112,237,1,0,20220508,PHI,MIA
28,Shot Chart Detail,0042100204,14,200768,Kyle Lowry,1610612748,Miami Heat,1,10,42,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,16,17,1,0,20220508,PHI,MIA
29,Shot Chart Detail,0042100204,36,200768,Kyle Lowry,1610612748,Miami Heat,1,8,51,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,120,253,1,0,20220508,PHI,MIA
30,Shot Chart Detail,0042100204,177,200768,Kyle Lowry,1610612748,Miami Heat,2,11,27,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-7,13,1,1,20220508,PHI,MIA
31,Shot Chart Detail,0042100204,281,200768,Kyle Lowry,1610612748,Miami Heat,2,3,50,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,121,243,1,0,20220508,PHI,MIA
32,Shot Chart Detail,0042100204,337,200768,Kyle Lowry,1610612748,Miami Heat,2,0,0,Missed Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,30,167,260,1,0,20220508,PHI,MIA
33,Shot Chart Detail,0042100204,383,200768,Kyle Lowry,1610612748,Miami Heat,3,8,37,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,10,24,1,1,20220508,PHI,MIA
34,Shot Chart Detail,0042100204,390,200768,Kyle Lowry,1610612748,Miami Heat,3,8,12,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-16,242,1,0,20220508,PHI,MIA
35,Shot Chart Detail,0042100204,414,200768,Kyle Lowry,1610612748,Miami Heat,3,6,50,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-62,245,1,0,20220508,PHI,MIA
36,Shot Chart Detail,0042100204,421,200768,Kyle Lowry,1610612748,Miami Heat,3,6,29,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,3,1,1,20220508,PHI,MIA
37,Shot Chart Detail,0042100303,30,200768,Kyle Lowry,1610612748,Miami Heat,1,8,58,Made Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,64,242,1,1,20220521,BOS,MIA
38,Shot Chart Detail,0042100303,243,200768,Kyle Lowry,1610612748,Miami Heat,2,6,29,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,-88,264,1,0,20220521,BOS,MIA
39,Shot Chart Detail,0042100303,251,200768,Kyle Lowry,1610612748,Miami Heat,2,6,5,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,232,73,1,0,20220521,BOS,MIA
40,Shot Chart Detail,0042100303,289,200768,Kyle Lowry,1610612748,Miami Heat,2,3,40,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,14,74,124,1,1,20220521,BOS,MIA
41,Shot Chart Detail,0042100303,351,200768,Kyle Lowry,1610612748,Miami Heat,3,11,6,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,65,196,1,0,20220521,BOS,MIA
42,Shot Chart Detail,0042100303,365,200768,Kyle Lowry,1610612748,Miami Heat,3,10,25,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,98,262,1,1,20220521,BOS,MIA
43,Shot Chart Detail,0042100303,380,200768,Kyle Lowry,1610612748,Miami Heat,3,8,41,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,-227,95,1,0,20220521,BOS,MIA
44,Shot Chart Detail,0042100303,415,200768,Kyle Lowry,1610612748,Miami Heat,3,5,9,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,-109,136,1,1,20220521,BOS,MIA
45,Shot Chart Detail,0042100303,418,200768,Kyle Lowry,1610612748,Miami Heat,3,4,37,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-81,254,1,0,20220521,BOS,MIA
46,Shot Chart Detail,0042100303,566,200768,Kyle Lowry,1610612748,Miami Heat,4,7,47,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,185,191,1,0,20220521,BOS,MIA
47,Shot Chart Detail,0042100303,622,200768,Kyle Lowry,1610612748,Miami Heat,4,2,51,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,71,152,1,0,20220521,BOS,MIA
48,Shot Chart Detail,0042100304,48,200768,Kyle Lowry,1610612748,Miami Heat,1,8,21,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,67,190,1,0,20220523,BOS,MIA
49,Shot Chart Detail,0042100304,77,200768,Kyle Lowry,1610612748,Miami Heat,1,6,29,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,22,-118,190,1,0,20220523,BOS,MIA
