,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0042100111,52,203935,Marcus Smart,1610612738,Boston Celtics,1,8,11,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-175,183,1,1,20220417,BOS,BKN
1,Shot Chart Detail,0042100111,315,203935,Marcus Smart,1610612738,Boston Celtics,2,4,14,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-72,26,1,0,20220417,BOS,BKN
2,Shot Chart Detail,0042100111,341,203935,Marcus Smart,1610612738,Boston Celtics,2,1,11,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,228,37,1,0,20220417,BOS,BKN
3,Shot Chart Detail,0042100111,350,203935,Marcus Smart,1610612738,Boston Celtics,2,0,36,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,10,78,71,1,0,20220417,BOS,BKN
4,Shot Chart Detail,0042100111,353,203935,Marcus Smart,1610612738,Boston Celtics,2,0,35,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,2,15,1,1,20220417,BOS,BKN
5,Shot Chart Detail,0042100111,358,203935,Marcus Smart,1610612738,Boston Celtics,2,0,4,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,6,21,1,1,20220417,BOS,BKN
6,Shot Chart Detail,0042100111,361,203935,Marcus Smart,1610612738,Boston Celtics,2,0,0,Missed Shot,Jump Shot,3PT Field Goal,Backcourt,Back Court(BC),Back Court Shot,47,162,442,1,0,20220417,BOS,BKN
7,Shot Chart Detail,0042100111,396,203935,Marcus Smart,1610612738,Boston Celtics,3,10,4,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,4,1,1,20220417,BOS,BKN
8,Shot Chart Detail,0042100111,401,203935,Marcus Smart,1610612738,Boston Celtics,3,9,19,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,192,162,1,0,20220417,BOS,BKN
9,Shot Chart Detail,0042100111,403,203935,Marcus Smart,1610612738,Boston Celtics,3,9,12,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,151,203,1,1,20220417,BOS,BKN
10,Shot Chart Detail,0042100111,417,203935,Marcus Smart,1610612738,Boston Celtics,3,7,51,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,97,232,1,1,20220417,BOS,BKN
11,Shot Chart Detail,0042100111,428,203935,Marcus Smart,1610612738,Boston Celtics,3,6,57,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,230,-4,1,1,20220417,BOS,BKN
12,Shot Chart Detail,0042100111,554,203935,Marcus Smart,1610612738,Boston Celtics,4,9,24,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,-224,110,1,0,20220417,BOS,BKN
13,Shot Chart Detail,0042100111,602,203935,Marcus Smart,1610612738,Boston Celtics,4,6,5,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-6,34,1,0,20220417,BOS,BKN
14,Shot Chart Detail,0042100111,637,203935,Marcus Smart,1610612738,Boston Celtics,4,3,16,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-4,29,1,1,20220417,BOS,BKN
15,Shot Chart Detail,0042100111,651,203935,Marcus Smart,1610612738,Boston Celtics,4,1,35,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,170,178,1,0,20220417,BOS,BKN
16,Shot Chart Detail,0042100111,655,203935,Marcus Smart,1610612738,Boston Celtics,4,1,6,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-44,50,1,0,20220417,BOS,BKN
17,Shot Chart Detail,0042100112,12,203935,Marcus Smart,1610612738,Boston Celtics,1,10,41,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,116,241,1,0,20220420,BOS,BKN
18,Shot Chart Detail,0042100112,218,203935,Marcus Smart,1610612738,Boston Celtics,2,8,46,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,225,46,1,0,20220420,BOS,BKN
19,Shot Chart Detail,0042100112,237,203935,Marcus Smart,1610612738,Boston Celtics,2,7,4,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,-232,86,1,1,20220420,BOS,BKN
20,Shot Chart Detail,0042100112,240,203935,Marcus Smart,1610612738,Boston Celtics,2,6,38,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,15,1,1,20220420,BOS,BKN
21,Shot Chart Detail,0042100112,245,203935,Marcus Smart,1610612738,Boston Celtics,2,5,54,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-72,252,1,0,20220420,BOS,BKN
22,Shot Chart Detail,0042100112,285,203935,Marcus Smart,1610612738,Boston Celtics,2,3,27,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-17,264,1,0,20220420,BOS,BKN
23,Shot Chart Detail,0042100112,359,203935,Marcus Smart,1610612738,Boston Celtics,3,10,12,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,237,95,1,0,20220420,BOS,BKN
24,Shot Chart Detail,0042100112,486,203935,Marcus Smart,1610612738,Boston Celtics,3,2,19,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-29,47,1,0,20220420,BOS,BKN
25,Shot Chart Detail,0042100112,650,203935,Marcus Smart,1610612738,Boston Celtics,4,1,9,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,100,66,1,1,20220420,BOS,BKN
26,Shot Chart Detail,0042100113,9,203935,Marcus Smart,1610612738,Boston Celtics,1,11,32,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,227,26,1,0,20220423,BKN,BOS
27,Shot Chart Detail,0042100113,61,203935,Marcus Smart,1610612738,Boston Celtics,1,9,23,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-82,257,1,1,20220423,BKN,BOS
28,Shot Chart Detail,0042100113,104,203935,Marcus Smart,1610612738,Boston Celtics,1,3,23,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,172,195,1,1,20220423,BKN,BOS
29,Shot Chart Detail,0042100113,119,203935,Marcus Smart,1610612738,Boston Celtics,1,2,32,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,0,267,1,0,20220423,BKN,BOS
30,Shot Chart Detail,0042100113,219,203935,Marcus Smart,1610612738,Boston Celtics,2,6,0,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,74,241,1,0,20220423,BKN,BOS
31,Shot Chart Detail,0042100113,288,203935,Marcus Smart,1610612738,Boston Celtics,2,0,11,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,4,1,1,20220423,BKN,BOS
32,Shot Chart Detail,0042100113,334,203935,Marcus Smart,1610612738,Boston Celtics,3,8,22,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-18,262,1,0,20220423,BKN,BOS
33,Shot Chart Detail,0042100113,428,203935,Marcus Smart,1610612738,Boston Celtics,3,2,7,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,229,-18,1,0,20220423,BKN,BOS
34,Shot Chart Detail,0042100113,446,203935,Marcus Smart,1610612738,Boston Celtics,3,0,48,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20220423,BKN,BOS
35,Shot Chart Detail,0042100113,451,203935,Marcus Smart,1610612738,Boston Celtics,3,0,29,Made Shot,Running Pull-Up Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,107,180,1,1,20220423,BKN,BOS
36,Shot Chart Detail,0042100113,463,203935,Marcus Smart,1610612738,Boston Celtics,4,11,40,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,116,221,1,0,20220423,BKN,BOS
37,Shot Chart Detail,0042100113,572,203935,Marcus Smart,1610612738,Boston Celtics,4,3,12,Made Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-39,30,1,1,20220423,BKN,BOS
38,Shot Chart Detail,0042100113,589,203935,Marcus Smart,1610612738,Boston Celtics,4,1,20,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,85,236,1,0,20220423,BKN,BOS
39,Shot Chart Detail,0042100113,591,203935,Marcus Smart,1610612738,Boston Celtics,4,1,6,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,147,203,1,0,20220423,BKN,BOS
40,Shot Chart Detail,0042100113,595,203935,Marcus Smart,1610612738,Boston Celtics,4,0,33,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,70,166,1,0,20220423,BKN,BOS
41,Shot Chart Detail,0042100114,47,203935,Marcus Smart,1610612738,Boston Celtics,1,8,12,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,233,6,1,0,20220425,BKN,BOS
42,Shot Chart Detail,0042100114,144,203935,Marcus Smart,1610612738,Boston Celtics,1,2,36,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,5,6,1,1,20220425,BKN,BOS
43,Shot Chart Detail,0042100114,154,203935,Marcus Smart,1610612738,Boston Celtics,1,2,4,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-71,244,1,0,20220425,BKN,BOS
44,Shot Chart Detail,0042100114,269,203935,Marcus Smart,1610612738,Boston Celtics,2,5,45,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,7,50,1,0,20220425,BKN,BOS
45,Shot Chart Detail,0042100114,283,203935,Marcus Smart,1610612738,Boston Celtics,2,4,55,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,87,241,1,1,20220425,BKN,BOS
46,Shot Chart Detail,0042100114,291,203935,Marcus Smart,1610612738,Boston Celtics,2,3,54,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-64,249,1,0,20220425,BKN,BOS
47,Shot Chart Detail,0042100114,355,203935,Marcus Smart,1610612738,Boston Celtics,3,11,13,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,237,-25,1,0,20220425,BKN,BOS
48,Shot Chart Detail,0042100114,378,203935,Marcus Smart,1610612738,Boston Celtics,3,9,31,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-60,245,1,1,20220425,BKN,BOS
49,Shot Chart Detail,0042100114,428,203935,Marcus Smart,1610612738,Boston Celtics,3,6,0,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,7,25,1,0,20220425,BKN,BOS
50,Shot Chart Detail,0042100114,445,203935,Marcus Smart,1610612738,Boston Celtics,3,4,42,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,16,-2,1,1,20220425,BKN,BOS
51,Shot Chart Detail,0042100114,456,203935,Marcus Smart,1610612738,Boston Celtics,3,3,37,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,7,16,1,0,20220425,BKN,BOS
52,Shot Chart Detail,0042100114,579,203935,Marcus Smart,1610612738,Boston Celtics,4,6,54,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,238,56,1,1,20220425,BKN,BOS
53,Shot Chart Detail,0042100114,607,203935,Marcus Smart,1610612738,Boston Celtics,4,4,35,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20220425,BKN,BOS
54,Shot Chart Detail,0042100114,614,203935,Marcus Smart,1610612738,Boston Celtics,4,3,22,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-27,15,1,1,20220425,BKN,BOS
55,Shot Chart Detail,0042100114,646,203935,Marcus Smart,1610612738,Boston Celtics,4,0,32,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-69,-1,1,0,20220425,BKN,BOS
56,Shot Chart Detail,0042100114,659,203935,Marcus Smart,1610612738,Boston Celtics,4,0,13,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,8,1,0,20220425,BKN,BOS
57,Shot Chart Detail,0042100211,17,203935,Marcus Smart,1610612738,Boston Celtics,1,10,36,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,218,109,1,1,20220501,BOS,MIL
