,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0042100131,287,1629680,Matisse Thybulle,1610612755,Philadelphia 76ers,2,2,34,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,-183,203,1,1,20220416,PHI,TOR
1,Shot Chart Detail,0042100132,393,1629680,Matisse Thybulle,1610612755,Philadelphia 76ers,3,4,39,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,228,52,1,0,20220418,PHI,TOR
2,Shot Chart Detail,0042100132,397,1629680,Matisse Thybulle,1610612755,Philadelphia 76ers,3,4,10,Made Shot,Running Alley Oop Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-13,17,1,1,20220418,PHI,TOR
3,Shot Chart Detail,0042100132,438,1629680,Matisse Thybulle,1610612755,Philadelphia 76ers,3,1,26,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,235,43,1,1,20220418,PHI,TOR
4,Shot Chart Detail,0042100135,124,1629680,Matisse Thybulle,1610612755,Philadelphia 76ers,1,1,54,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,-234,78,1,0,20220425,PHI,TOR
5,Shot Chart Detail,0042100135,150,1629680,Matisse Thybulle,1610612755,Philadelphia 76ers,1,0,36,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,234,-15,1,0,20220425,PHI,TOR
6,Shot Chart Detail,0042100135,152,1629680,Matisse Thybulle,1610612755,Philadelphia 76ers,1,0,34,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20220425,PHI,TOR
7,Shot Chart Detail,0042100135,179,1629680,Matisse Thybulle,1610612755,Philadelphia 76ers,2,11,15,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,-121,11,1,0,20220425,PHI,TOR
8,Shot Chart Detail,0042100135,414,1629680,Matisse Thybulle,1610612755,Philadelphia 76ers,3,1,5,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,9,32,1,0,20220425,PHI,TOR
9,Shot Chart Detail,0042100135,576,1629680,Matisse Thybulle,1610612755,Philadelphia 76ers,4,1,4,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-221,132,1,0,20220425,PHI,TOR
10,Shot Chart Detail,0042100201,120,1629680,Matisse Thybulle,1610612755,Philadelphia 76ers,1,2,34,Made Shot,Running Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-15,4,1,1,20220502,MIA,PHI
11,Shot Chart Detail,0042100201,510,1629680,Matisse Thybulle,1610612755,Philadelphia 76ers,4,10,13,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,25,238,79,1,0,20220502,MIA,PHI
12,Shot Chart Detail,0042100201,641,1629680,Matisse Thybulle,1610612755,Philadelphia 76ers,4,0,32,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,238,38,1,0,20220502,MIA,PHI
