,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0042100171,115,1628467,Maxi Kleber,1610612742,Dallas Mavericks,1,1,1,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-172,192,1,0,20220416,DAL,UTA
1,Shot Chart Detail,0042100171,163,1628467,Maxi Kleber,1610612742,Dallas Mavericks,2,10,8,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,199,156,1,1,20220416,DAL,UTA
2,Shot Chart Detail,0042100171,174,1628467,Maxi Kleber,1610612742,Dallas Mavericks,2,9,36,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,29,22,1,0,20220416,DAL,UTA
3,Shot Chart Detail,0042100171,199,1628467,Maxi Kleber,1610612742,Dallas Mavericks,2,7,34,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,138,209,1,0,20220416,DAL,UTA
4,Shot Chart Detail,0042100171,264,1628467,Maxi Kleber,1610612742,Dallas Mavericks,2,2,47,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,23,64,1,0,20220416,DAL,UTA
5,Shot Chart Detail,0042100171,614,1628467,Maxi Kleber,1610612742,Dallas Mavericks,4,2,12,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-224,21,1,1,20220416,DAL,UTA
6,Shot Chart Detail,0042100171,618,1628467,Maxi Kleber,1610612742,Dallas Mavericks,4,1,35,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,237,10,1,0,20220416,DAL,UTA
7,Shot Chart Detail,0042100172,88,1628467,Maxi Kleber,1610612742,Dallas Mavericks,1,3,40,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-2,242,1,0,20220418,DAL,UTA
8,Shot Chart Detail,0042100172,91,1628467,Maxi Kleber,1610612742,Dallas Mavericks,1,3,8,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,-93,248,1,1,20220418,DAL,UTA
9,Shot Chart Detail,0042100172,209,1628467,Maxi Kleber,1610612742,Dallas Mavericks,2,7,0,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,53,245,1,1,20220418,DAL,UTA
10,Shot Chart Detail,0042100172,400,1628467,Maxi Kleber,1610612742,Dallas Mavericks,3,2,53,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,-174,179,1,1,20220418,DAL,UTA
