,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0042100141,70,1628969,Mikal Bridges,1610612756,Phoenix Suns,1,6,35,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,5,1,1,20220417,PHX,NOP
1,Shot Chart Detail,0042100141,283,1628969,Mikal Bridges,1610612756,Phoenix Suns,2,3,41,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,-244,-6,1,0,20220417,PHX,NOP
2,Shot Chart Detail,0042100141,316,1628969,Mikal Bridges,1610612756,Phoenix Suns,2,1,34,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,9,1,1,20220417,PHX,NOP
3,Shot Chart Detail,0042100141,436,1628969,Mikal Bridges,1610612756,Phoenix Suns,3,4,59,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,-112,27,1,0,20220417,PHX,NOP
4,Shot Chart Detail,0042100141,484,1628969,Mikal Bridges,1610612756,Phoenix Suns,3,2,29,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,241,41,1,0,20220417,PHX,NOP
5,Shot Chart Detail,0042100141,599,1628969,Mikal Bridges,1610612756,Phoenix Suns,4,5,20,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,-81,110,1,1,20220417,PHX,NOP
6,Shot Chart Detail,0042100141,613,1628969,Mikal Bridges,1610612756,Phoenix Suns,4,4,10,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-39,16,1,0,20220417,PHX,NOP
7,Shot Chart Detail,0042100141,643,1628969,Mikal Bridges,1610612756,Phoenix Suns,4,2,5,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-237,15,1,0,20220417,PHX,NOP
8,Shot Chart Detail,0042100141,647,1628969,Mikal Bridges,1610612756,Phoenix Suns,4,1,19,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,22,1,1,20220417,PHX,NOP
9,Shot Chart Detail,0042100142,52,1628969,Mikal Bridges,1610612756,Phoenix Suns,1,7,57,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,103,247,1,1,20220419,PHX,NOP
10,Shot Chart Detail,0042100142,70,1628969,Mikal Bridges,1610612756,Phoenix Suns,1,6,19,Missed Shot,Running Pull-Up Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,15,87,1,0,20220419,PHX,NOP
11,Shot Chart Detail,0042100142,232,1628969,Mikal Bridges,1610612756,Phoenix Suns,2,5,23,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-235,30,1,1,20220419,PHX,NOP
12,Shot Chart Detail,0042100142,298,1628969,Mikal Bridges,1610612756,Phoenix Suns,2,0,51,Made Shot,Tip Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20220419,PHX,NOP
13,Shot Chart Detail,0042100142,361,1628969,Mikal Bridges,1610612756,Phoenix Suns,3,8,29,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,-189,175,1,0,20220419,PHX,NOP
14,Shot Chart Detail,0042100142,376,1628969,Mikal Bridges,1610612756,Phoenix Suns,3,7,16,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-17,10,1,0,20220419,PHX,NOP
