,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0042100161,677,1630541,Moses Moody,1610612744,Golden State Warriors,4,0,13,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,180,180,1,0,20220416,GSW,DEN
1,Shot Chart Detail,0042100162,649,1630541,Moses Moody,1610612744,Golden State Warriors,4,4,11,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-18,101,1,0,20220418,GSW,DEN
2,Shot Chart Detail,0042100233,643,1630541,Moses Moody,1610612744,Golden State Warriors,4,2,55,Missed Shot,Cutting Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,34,39,1,0,20220507,GSW,MEM
3,Shot Chart Detail,0042100233,662,1630541,Moses Moody,1610612744,Golden State Warriors,4,1,40,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,-227,5,1,1,20220507,GSW,MEM
4,Shot Chart Detail,0042100233,673,1630541,Moses Moody,1610612744,Golden State Warriors,4,0,38,Made Shot,Driving Dunk Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-39,13,1,1,20220507,GSW,MEM
5,Shot Chart Detail,0042100235,470,1630541,Moses Moody,1610612744,Golden State Warriors,3,4,46,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,-232,0,1,1,20220511,MEM,GSW
6,Shot Chart Detail,0042100235,488,1630541,Moses Moody,1610612744,Golden State Warriors,3,3,30,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,100,231,1,0,20220511,MEM,GSW
7,Shot Chart Detail,0042100235,610,1630541,Moses Moody,1610612744,Golden State Warriors,4,5,57,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,3,1,1,20220511,MEM,GSW
8,Shot Chart Detail,0042100235,613,1630541,Moses Moody,1610612744,Golden State Warriors,4,5,35,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,123,215,1,1,20220511,MEM,GSW
9,Shot Chart Detail,0042100235,617,1630541,Moses Moody,1610612744,Golden State Warriors,4,4,59,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,113,172,1,0,20220511,MEM,GSW
10,Shot Chart Detail,0042100235,656,1630541,Moses Moody,1610612744,Golden State Warriors,4,1,1,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,4,1,1,20220511,MEM,GSW
11,Shot Chart Detail,0042100235,661,1630541,Moses Moody,1610612744,Golden State Warriors,4,0,18,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,-62,150,1,0,20220511,MEM,GSW
12,Shot Chart Detail,0042100311,618,1630541,Moses Moody,1610612744,Golden State Warriors,4,0,48,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,37,258,1,1,20220518,GSW,DAL
13,Shot Chart Detail,0042100312,613,1630541,Moses Moody,1610612744,Golden State Warriors,4,3,10,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,37,19,1,1,20220520,GSW,DAL
14,Shot Chart Detail,0042100313,163,1630541,Moses Moody,1610612744,Golden State Warriors,2,11,41,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,174,179,1,0,20220522,DAL,GSW
15,Shot Chart Detail,0042100313,213,1630541,Moses Moody,1610612744,Golden State Warriors,2,7,27,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,228,9,1,0,20220522,DAL,GSW
16,Shot Chart Detail,0042100313,232,1630541,Moses Moody,1610612744,Golden State Warriors,2,6,28,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,126,210,1,0,20220522,DAL,GSW
17,Shot Chart Detail,0042100314,177,1630541,Moses Moody,1610612744,Golden State Warriors,2,10,38,Made Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,91,63,1,1,20220524,DAL,GSW
18,Shot Chart Detail,0042100314,258,1630541,Moses Moody,1610612744,Golden State Warriors,2,4,8,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,-74,37,1,0,20220524,DAL,GSW
19,Shot Chart Detail,0042100314,466,1630541,Moses Moody,1610612744,Golden State Warriors,3,0,50,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,224,65,1,0,20220524,DAL,GSW
