,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
0,Shot Chart Detail,0042100141,198,1630230,Naji Marshall,1610612740,New Orleans Pelicans,2,9,35,Missed Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,22,26,1,0,20220417,PHX,NOP
1,Shot Chart Detail,0042100141,466,1630230,Naji Marshall,1610612740,New Orleans Pelicans,3,3,50,Made Shot,Pullup Jump shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-8,-8,1,1,20220417,PHX,NOP
2,Shot Chart Detail,0042100141,469,1630230,Naji Marshall,1610612740,New Orleans Pelicans,3,3,28,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-21,8,1,1,20220417,PHX,NOP
3,Shot Chart Detail,0042100141,500,1630230,Naji Marshall,1610612740,New Orleans Pelicans,3,1,4,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,9,1,1,20220417,PHX,NOP
4,Shot Chart Detail,0042100143,491,1630230,Naji Marshall,1610612740,New Orleans Pelicans,3,1,43,Made Shot,Running Pull-Up Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,4,117,1,1,20220422,NOP,PHX
5,Shot Chart Detail,0042100144,679,1630230,Naji Marshall,1610612740,New Orleans Pelicans,4,0,57,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,10,18,1,1,20220424,NOP,PHX
6,Shot Chart Detail,0042100145,178,1630230,Naji Marshall,1610612740,New Orleans Pelicans,2,10,30,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,18,4,1,1,20220426,PHX,NOP
7,Shot Chart Detail,0042100145,202,1630230,Naji Marshall,1610612740,New Orleans Pelicans,2,8,10,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,6,20,1,0,20220426,PHX,NOP
8,Shot Chart Detail,0042100145,463,1630230,Naji Marshall,1610612740,New Orleans Pelicans,3,2,57,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,10,47,1,1,20220426,PHX,NOP
9,Shot Chart Detail,0042100145,468,1630230,Naji Marshall,1610612740,New Orleans Pelicans,3,2,13,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,7,73,1,0,20220426,PHX,NOP
